[(12.9578293, 77.56160879999993)],[ChIJa76PVAI-rjsRJwVWJHgxKBQ]
[(12.9718231, 77.59607619999997)],[ChIJEyHJXncWrjsR3A9y5sZt4Lc]
[(12.963783, 77.58667500000001)],[ChIJx0F5TN4VrjsRBGBBgQqqHFA]
[(12.955591, 77.56328299999996)],[ChIJQ3CiFfgVrjsRGbfPZ3BctE4]
[(12.95415, 77.57356700000003)],[ChIJh6LW4u8VrjsRpBGtjpfy9eE]
[(12.969655, 77.58448299999998)],[ChIJcSWPKQsWrjsRgvOuqBPJWmo]
[(12.9791593, 77.55342799999994)],[ChIJay5RGIUWrjsR3Gm8AH79-Jw]
[(12.9647296, 77.59892070000001)],[ChIJ4Qc2qtcVrjsR5oDfPIAdDow]
[(12.9623213, 77.59218429999999)],[ChIJb3ysadkVrjsRjaL82TQcwYE]
[(12.963377, 77.59116100000006)],[ChIJ6Y1OMNkVrjsRnL8So4xUWxY]
[(12.969442, 77.58366699999999)],[ChIJnRB-2AoWrjsRGkjH0fdg9I4]
[(12.959334, 77.57545800000003)],[ChIJ8xbtkuQVrjsRaxuFgQs5sSw]
[(12.9789554, 77.57483760000002)],[ChIJAQAA8A8XrjsRVrLvnFsJ8ss]
[(12.954017, 77.57996700000001)],[ChIJmfC7uegVrjsRQK2-ac2PZU4]
[(12.9718879, 77.53692810000007)],[ChIJWTYRut09rjsRUTyYWzRQQEo]
[(12.9818813, 77.5879109)],[ChIJlZ459mwWrjsRB3fcs7MM3nQ]
[(12.958641, 77.53618200000005)],[ChIJU9Dyf3M-rjsRG4h8PadEQqI]
[(12.95865, 77.56031699999994)],[ChIJbbYBPwI-rjsRcZvno-ooy9E]
[(12.960048, 77.587583)],[ChIJaaWjpN0VrjsRvmpsslFCIRc]
[(12.9785999, 77.55065560000003)],[ChIJ2V1fKPA9rjsRY9Uyy7W76Hw]
[(12.9704721, 77.60657709999998)],[ChIJ9wB3_n0WrjsRMZ6w6GQ2iMU]
[(12.980133, 77.55361700000003)],[ChIJ_cG_CPE9rjsRdyZ02urXTao]
[(12.970707, 77.57383600000003)],[ChIJs0rqowgWrjsRbjYjNU0o1GM]
[(12.964757, 77.53524500000003)],[ChIJP0LgZN89rjsRq6x9OOy01jA]
[(12.9774734, 77.57950159999996)],[ChIJtWmV-w0WrjsRRqR5xaY4Dyg]
[(12.9738534, 77.61246440000002)],[ChIJLU6lP4cWrjsRKg7cThrYllE]
[(12.974347, 77.57690400000001)],[ChIJ4YNA-g4WrjsRPCw0jMXnxDs]
[(12.9710912, 77.59723150000002)],[ChIJM29AyGUWrjsRMcxh1smx3hw]
[(12.9586268, 77.56337489999999)],[ChIJEXlFaAI-rjsRQAzppFmLWlk]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRtYdr5XGGKM0]
[(12.9806822, 77.55352779999998)],[ChIJO7kgC_E9rjsRd1oxbrSII_4]
[(12.975174, 77.60799470000006)],[ChIJ4bTT9IMWrjsRl-Wm8MJjCQI]
[(12.9578751, 77.59225130000004)],[ChIJpwN6EtsVrjsRAd0AFIoQ42k]
[(12.9725196, 77.57036779999999)],[ChIJDWToMgQWrjsRNspuQGdnfOM]
[(12.962332, 77.53349200000002)],[ChIJZzUE2XU-rjsR_SiAAlhwF7c]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsR6jVF0-0-uHE]
[(12.967699, 77.52397399999995)],[ChIJTUsC5tY9rjsR99W7cJNV8BM]
[(12.9766232, 77.54116249999993)],[ChIJq6qqeug9rjsR7zf3tRngbgc]
[(12.9730772, 77.60235620000003)],[ChIJr2n5q34WrjsRycuQqw2PNRw]
[(12.9608684, 77.56615690000001)],[ChIJBec40f4VrjsRMwinbyZXRuY]
[(12.971598, 77.594562)],[ChIJF8V9PncWrjsR7LqbrKmiOYc]
[(12.964711, 77.531747)],[ChIJNYglUHA-rjsRE5tHi7rQt50]
[(12.955767, 77.57826699999998)],[ChIJn-Yx8OUVrjsRTc4Z3pUide4]
[(12.953383, 77.57916699999998)],[ChIJy9CpzOgVrjsRQEPqFQzkFOQ]
[(12.951781, 77.56974500000001)],[ChIJ3wdvHfEVrjsRgBp31czOjdY]
[(12.973767, 77.61271699999998)],[ChIJXUO4soYWrjsRKUajV4hXTyE]
[(12.9684486, 77.57139559999996)],[ChIJyx1jsQcWrjsR71c915LK8yU]
[(12.9806125, 77.55872909999994)],[ChIJh6Ct9vY9rjsRU58B6zNnP84]
[(12.9539237, 77.56865670000002)],[ChIJobJTu_AVrjsRMjJx9bR_S2o]
[(12.9580672, 77.60595349999994)],[ChIJ6Rym1tYVrjsRkr5IbE4Dzb0]
[(12.9607708, 77.59481920000007)],[ChIJUw9BPdoVrjsRZLCqksEyu4A]
[(12.9512103, 77.59404949999998)],[ChIJ-XmZ7wcWrjsR22e8fCBSb-c]
[(12.960313, 77.594965)],[ChIJMc11FdoVrjsRAeT8Enw5IEk]
[(12.965187, 77.60112099999992)],[ChIJZfFRZNYVrjsR1rzrPDKt83k]
[(12.9790495, 77.58784709999998)],[ChIJo-8JnW0WrjsRIWYU9FP3it0]
[(12.972017, 77.57433300000002)],[ChIJE8R9PncWrjsResER0H0ClO8]
[(12.96021, 77.57484)],[ChIJ6dypmOQVrjsRNayJ4rO3L0U]
[(12.969811, 77.58444299999996)],[ChIJZ-dDKQsWrjsR4DqI7JjuU3o]
[(12.9753759, 77.57800069999996)],[ChIJacmOZg4WrjsR2KqiyHRt9d0]
[(12.9613679, 77.58933000000002)],[ChIJW1lhoN4VrjsRekck_gZUzQY]
[(12.9806997, 77.61374169999999)],[ChIJy-pBT48WrjsRbCYCa7q4lBI]
[(12.969183, 77.57946700000002)],[ChIJXbxmKwoWrjsR0pknCjDpFSQ]
[(12.955838, 77.59178399999996)],[ChIJHfVuUdwVrjsR2SWaNylSR20]
[(12.9753263, 77.60495289999994)],[ChIJX9DRsn0WrjsRdthfeft1ad4]
[(12.9805236, 77.60445770000001)],[ChIJcZjAg2QWrjsRQs1_pciKLVs]
[(12.9752114, 77.5980472)],[ChIJb9zB-HoWrjsRxFbD8ENnNIc]
[(12.9756145, 77.59346210000001)],[ChIJz14vH3wWrjsRoPo1XSuegu0]
[(12.964712, 77.57370330000003)],[ChIJ1YoEEwgWrjsRoc0YxwLiDEM]
[(12.953433, 77.57791700000007)],[ChIJGyzyPu8VrjsRmcB9UYupHNk]
[(12.9613323, 77.58930149999992)],[ChIJQQZhpN0VrjsR46PdNpbLyHU]
[(12.9726059, 77.57831050000004)],[ChIJqWs4QQkWrjsRoXp3Kqz-t2I]
[(12.973533, 77.60743300000001)],[ChIJE8R9PncWrjsRvtYa1u39yRY]
[(12.9562979, 77.57244319999995)],[ChIJj6PBwPoVrjsRmAlRc2s0ogY]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRwl1PLwc5cN4]
[(12.9719702, 77.58062789999997)],[ChIJu2sDwwsWrjsRYxyUMK85gQY]
[(12.9789554, 77.57483760000002)],[ChIJAQAA8A8XrjsRqLnbGuVGAIE]
[(12.9679648, 77.51959729999999)],[ChIJL6nOZ9Q9rjsR-4jootKypTg]
[(12.95979, 77.60272200000009)],[ChIJ8zYP0NMVrjsRp-0weV4aTo8]
[(12.958189, 77.57097899999997)],[ChIJHW3GBfsVrjsRoaEclP30N6A]
[(12.975117, 77.60376700000006)],[ChIJLSjqQ3wWrjsRyBu2LWJBWFk]
[(13.0077618, 77.56355170000006)],[ChIJ--sGYyoWrjsRhdqoZ-KAHWQ]
[(12.9729033, 77.62665859999993)],[ChIJR8v9s54WrjsRYa6RKc2NfBg]
[(12.9398198, 77.58276479999995)],[ChIJvWqHv5UVrjsRhoz2S4fbd7Y]
[(12.9642476, 77.71650390000002)],[ChIJO-wbgSQSrjsRTdtCWzwOnf0]
[(13.0250644, 77.60648309999999)],[ChIJ6wbL9gsXrjsRFpXxUJASHFs]
[(12.9392262, 77.58228959999997)],[ChIJdUYhKb0VrjsR19cRngNrkrA]
[(12.9407244, 77.57013619999998)],[ChIJmcUf_4wVrjsRDJFpIZTre_o]
[(12.948193, 77.59718699999996)],[ChIJt2DAlMgVrjsRt7jDPQD1cm8]
[(12.9838743, 77.57971999999995)],[ChIJE8R9PncWrjsRWnd2xxaxH3A]
[(12.920613, 77.58612199999993)],[ChIJVxG0h4MWrjsRHDQnrxitfT0]
[(12.948707, 77.597669)],[ChIJS-_gb5YVrjsR_SLCvlYcqBc]
[(12.9718915, 77.64115449999997)],[ChIJVVVV0ZA9rjsRsz3z1kkXQY4]
[(12.939236, 77.577767)],[ChIJFw8a6pMVrjsR8Vox8VIfE2U]
[(12.9775073, 77.61877230000005)],[ChIJv3okLoUWrjsR-_dwOpzYsf8]
[(12.9243443, 77.5822306)],[ChIJVT_uAJ8VrjsRB6EWO7CCUT8]
[(12.957068, 77.64243899999997)],[ChIJT1VVFZU9rjsRINNFirPD5_U]
[(12.9489814, 77.59775960000002)],[ChIJq6qq6sgVrjsRr90jdFjFbD8]
[(13.0085444, 77.566911)],[ChIJVVVVxTYWrjsRGD3MNv7_92M]
[(12.9871105, 77.57875899999999)],[ChIJOe4rcRYWrjsR1dEHihV0ljw]
[(12.996161, 77.61791210000001)],[ChIJb2aGCfMWrjsRR5kZWz90pgY]
[(12.986075, 77.61199599999998)],[ChIJq9bKw4sWrjsRN57RKmT1xj4]
[(12.983461, 77.67360800000006)],[ChIJN6OQIEMRrjsRuNMnG0qNjjw]
[(13.0131161, 77.57783569999992)],[ChIJVfvE6swXrjsRZhDhNqYfKNc]
[(12.9915758, 77.61158269999999)],[ChIJv_zBvPQWrjsRie_NcMDTF0c]
[(13.009306, 77.56629199999998)],[ChIJcfZV2ygWrjsRsxNwOz1rubE]
[(13.0010177, 77.57407179999996)],[ChIJG10dTy4WrjsRzdp2XM0o0wc]
[(12.9308465, 77.63314489999993)],[ChIJTxl-W10UrjsRpez0hMwuYG4]
[(12.925392, 77.57345199999997)],[ChIJ9fontZwVrjsRK9IRE6C1VlQ]
[(12.992734, 77.54244799999992)],[ChIJC3v5KJQ9rjsRlcuC-Qfjz9A]
[(12.9271154, 77.5744307)],[ChIJXU_tW5sVrjsR2Sh2Giycsgg]
[(12.93269, 77.61376199999995)],[ChIJAwAUi1EUrjsRgn6X7UxeRa8]
[(12.940876, 77.53867000000002)],[ChIJqRqmCUA-rjsRr6ytRYDvCck]
[(12.946376, 77.596273)],[ChIJLY5CesgVrjsReBxbQRvUtB8]
[(12.9240116, 77.56706340000005)],[ChIJF1FeeoEVrjsRdPrMcxUqdeo]
[(13.027346, 77.59283499999992)],[ChIJ0ZkLJ2c9rjsR9ptGT1rSdVI]
[(12.99227, 77.59220299999993)],[ChIJKb5MSkIWrjsR_9YiH0z9qm4]
[(12.990364, 77.58913400000006)],[ChIJFQ-bwkEWrjsR2vsoKa9onCY]
[(12.9467316, 77.60040750000007)],[ChIJ10GctLcVrjsRYUNwfQL296g]
[(12.978725, 77.63320299999998)],[ChIJ2dzS5qIWrjsRh2UUieaYEAg]
[(12.9408472, 77.57040469999993)],[ChIJN1Vb_owVrjsRtCv85F7V1jE]
[(12.928607, 77.56624199999999)],[ChIJz6KAxYYVrjsR7SDVj-W4TGQ]
[(12.9869976, 77.59696129999998)],[ChIJE8R9PncWrjsRRnBXzZbLUzc]
[(12.983565, 77.56076299999995)],[ChIJq6Vh6fU9rjsRI0rJCfgatcY]
[(13.0047028, 77.58310299999994)],[ChIJAUHzQTYWrjsRDmwtJo7zqYM]
[(12.995389, 77.56999900000005)],[ChIJ9fdhZiQWrjsRtQFrRRceQa4]
[(12.938037, 77.58544200000006)],[ChIJ0ZBF_dQWrjsRo-oryIf0Is4]
[(12.9965266, 77.57204619999993)],[ChIJASRG3SQWrjsRR-nA-8hrtwQ]
[(13.0197734, 77.60692599999993)],[ChIJtdEXSyYWrjsREr0A-D8xAaQ]
[(13.012583, 77.67859999999996)],[ChIJU1GxEB8RrjsRT-Z6NlbXsI8]
[(12.9268814, 77.58429049999995)],[ChIJI8I3Up8VrjsRDNIHD09KGP4]
[(13.0027236, 77.5405141)],[ChIJSbKg6pg9rjsRxA5jxT9WVnE]
[(12.9655617, 77.71551929999998)],[ChIJ____ayQSrjsR6b7Ad2UgHVY]
[(13.0121813, 77.55599110000003)],[ChIJ7Y5UPHcWrjsRdMDcul6Iaxc]
[(12.984117, 77.579433)],[ChIJ-8BMAxQWrjsRfN2qwMmTai8]
[(12.9462, 77.56945799999994)],[ChIJnbVFkvMVrjsRF7kqZs_hjj4]
[(12.960181, 77.65886499999999)],[ChIJlTy9-vkTrjsRRlE6FT01Jo8]
[(12.919637, 77.66769299999999)],[ChIJlWFr1HATrjsRxFVMTXMm-wY]
[(12.996848, 77.6189822)],[ChIJsfTfofYWrjsRAUBuhKLbfzg]
[(12.970424, 77.71187699999996)],[ChIJ82mfULITrjsRlKtbDa5tLl4]
[(12.937254, 77.56828199999995)],[ChIJI4SYbZ0VrjsRTQlAzqnaBag]
[(12.9636492, 77.51296660000003)],[ChIJNUncO38-rjsRQfPuzE0kmbU]
[(13.016901, 77.66670099999999)],[ChIJXVFwbNgQrjsRIyQblGriMFk]
[(12.9365451, 77.54474540000001)],[ChIJVVVVVTk-rjsR-_3uqdvmsyk]
[(12.9805037, 77.63479419999999)],[ChIJVVVV0ZA9rjsRy-C1mN7TKmQ]
[(13.0059344, 77.56985320000001)],[ChIJa9hTLywWrjsRvXpUgJfDzZw]
[(13.003297, 77.63266099999998)],[ChIJG6x_Md0WrjsRnS9GHWHMzbE]
[(13.0056581, 77.56877409999993)],[ChIJ_fRUYCkWrjsREl4wEem6RN0]
[(13.0038786, 77.5793142)],[ChIJAQAAQDAWrjsRf2haPa17xRA]
[(12.946954, 77.59651299999996)],[ChIJKZesecgVrjsRYRpA2VaAX8E]
[(12.9249403, 77.66562580000004)],[ChIJKXPzBXgTrjsRtqwDuKPYiXw]
[(12.9900581, 77.55445359999999)],[ChIJD1QY8ow9rjsRloUpp1PzQ6s]
[(12.9356517, 77.63041539999995)],[ChIJbRm8qEIUrjsRMXCp8TbIiUg]
[(12.958973, 77.70170299999995)],[ChIJuS9m8DISrjsRT73dN7B__Bk]
[(12.99671, 77.55029000000002)],[ChIJ84f3KJA9rjsRgvALvmaOO_4]
[(12.930083, 77.57836700000007)],[ChIJn7B_MpoVrjsRfNxneCDUwkU]
[(13.020974, 77.634364)],[ChIJE5HpxSMXrjsRaxtJrDCiXQM]
[(12.9984504, 77.57338700000003)],[ChIJQz7SNCUWrjsRhCpkAjFBnIY]
[(12.9613987, 77.64439879999998)],[ChIJ7Y5UPHcWrjsRiaJX9vgfeys]
[(12.9271782, 77.5740687)],[ChIJMY2Olr8VrjsRM-9viDbQs_4]
[(12.972268, 77.63787000000002)],[ChIJ2cIKp6EWrjsRk9FKOJrG5rg]
[(12.996537, 77.57853720000003)],[ChIJJxMT2zsWrjsRQ-gPAqaXbcs]
[(12.93655, 77.58263299999999)],[ChIJ____P5cVrjsR_FJxWVMF-Y0]
[(13.0100847, 77.53859220000004)],[ChIJhd-wrgo9rjsRqqi-z7FvyKw]
[(12.91553, 77.605905)],[ChIJG9qXOAIVrjsRqkY8PADZ9v8]
[(12.987111, 77.57875899999999)],[ChIJOe4rcRYWrjsRWG_f-asIdjo]
[(12.9722147, 77.65381070000001)],[ChIJT4ucMlURrjsRPtP4a0dbYHk]
[(12.9967207, 77.63007459999994)],[ChIJY-C_BOoWrjsRBuLQalccjOw]
[(12.934178, 77.57399199999998)],[ChIJmUdwJJAVrjsRn_qYsxq8TtQ]
[(12.947325, 77.56852800000001)],[ChIJw7UrkvMVrjsRCvNy6dUgiO0]
[(12.9279203, 77.57355380000001)],[ChIJ76btwIQVrjsRvRzm_p1agy8]
[(13.0051222, 77.57116380000002)],[ChIJXY5dei4WrjsRe1Fo-bI9gRs]
[(13.007012, 77.57109200000002)],[ChIJLSnqyC0WrjsRCNqXRy20DnI]
[(12.9834101, 77.61373040000001)],[ChIJXxTNPvUWrjsR4PG_drsa3qo]
[(13.0266674, 77.56136509999999)],[ChIJPwAAQNkXrjsRv0gsVpamoP4]
[(12.9489814, 77.59775960000002)],[ChIJq6qq6sgVrjsRwUbKA5hmchg]
[(12.985311, 77.545344)],[ChIJlfTMmuw9rjsRsDyS1iEZhoc]
[(12.955768, 77.63870700000007)],[ChIJPTXu-hAUrjsRxLj5uA6Zz6s]
[(12.948645, 77.59765199999993)],[ChIJpbSelMgVrjsRjfNfbV1Vz4w]
[(12.9330026, 77.58759499999996)],[ChIJk6jaKr0VrjsReFBMSfv6tVk]
[(12.9226801, 77.59333709999999)],[ChIJGzHVd6cVrjsRASmRhrqnqBk]
[(12.917518, 77.51591600000006)],[ChIJI_vLAAA_rjsRVy_iH3W2BJI]
[(12.997078, 77.55379300000004)],[ChIJ4wFqD489rjsR6jLSI42mcLs]
[(12.9764044, 77.6387929)],[ChIJVVVV0ZA9rjsRRrKfjCPXI2c]
[(12.974426, 77.61951399999998)],[ChIJ55_MrIQWrjsR9ADS8uTVj04]
[(12.9915597, 77.57957920000001)],[ChIJU4tZez4WrjsRuW1jeCMqW34]
[(12.9968342, 77.62128630000007)],[ChIJm4q4d-4WrjsRQD6e6MQZWiY]
[(12.924927, 77.67503999999997)],[ChIJmS_OaXUTrjsRNt8E77UBuD0]
[(13.0027634, 77.57981289999998)],[ChIJ8RC_NTEWrjsRKMwT3vMYjBA]
[(12.9924756, 77.57904680000001)],[ChIJC5sagz4WrjsRPzsySCXkwmw]
[(12.9282761, 77.59614179999994)],[ChIJ1-qs-aUVrjsRN3zHa14Dci4]
[(13.0016698, 77.57121710000001)],[ChIJyXUVDzcWrjsRIgwZ_iTpMDc]
[(13.0025682, 77.57146420000004)],[ChIJS17pQi4WrjsRRLvLeHj7BSQ]
[(13.0044649, 77.57044300000007)],[ChIJOcM9ii4WrjsReyXqpU32iYw]
[(12.946733, 77.57157000000007)],[ChIJSeBgQ_IVrjsRe8PeTWzSFCI]
[(12.929417, 77.58396700000003)],[ChIJ_9tUjpgVrjsRp-ByLZK30XA]
[(12.948981, 77.597759)],[ChIJDVVVlcgVrjsRmZaWodtqk14]
[(12.979969, 77.63821299999995)],[ChIJ12i1yKQWrjsRVeRhEb2X2k4]
[(12.920642, 77.59251900000004)],[ChIJmbocxwkVrjsR-hfMcXrbys4]
[(12.950609, 77.57986800000003)],[ChIJqy40T-kVrjsRo1t2VDfe-tU]
[(13.023786, 77.62643300000002)],[ChIJpb_kvxkXrjsRaR8DO5H4T1k]
[(12.9246968, 77.62019499999997)],[ChIJGdmQPVgUrjsR65mfWYO6-mQ]
[(12.934134, 77.61649)],[ChIJWXgZK1AUrjsRm2V9OC8KdZo]
[(12.9453934, 77.57123619999993)],[ChIJUxF6kYFxBRERrq9OZZmTr3Q]
[(13.0092507, 77.65571069999999)],[ChIJAWg4mywRrjsRFoj4W6FvHUk]
[(12.9945353, 77.58064339999999)],[ChIJ9R4JGDkWrjsRzwLzMGtOEH8]
[(12.955421, 77.64252699999997)],[ChIJXVVY0w8UrjsRN1rTocRl14E]
[(12.9392059, 77.62175890000003)],[ChIJe-KpzkUUrjsRYH4IPkR7LkI]
[(12.9920217, 77.59627980000005)],[ChIJG4pi0kIWrjsRZBr9PydAmrw]
[(12.9707117, 77.63920340000004)],[ChIJlaGiCqcWrjsR82vDfi85K9U]
[(12.974596, 77.61939800000005)],[ChIJnSm97IQWrjsRvaR3ukyQQfA]
[(12.977732, 77.64396399999998)],[ChIJS95ZCa8WrjsR_M20Thr9Lc4]
[(12.979273, 77.64395000000002)],[ChIJM_uffqQWrjsRAgyElQNqTs0]
[(12.9783357, 77.63328869999998)],[ChIJUXsP2KIWrjsRDjp1Nx-vLyQ]
[(12.91001, 77.59219000000007)],[ChIJobMc3REVrjsRQK--wULPMVA]
[(12.903988, 77.55909099999997)],[ChIJv2Ph19g_rjsRxdxkld-jMQA]
[(12.8946076, 77.58780150000007)],[ChIJp09Q5D4VrjsRYgh2uJNs4dc]
[(13.0505235, 77.62153030000002)],[ChIJk_dx_WQXrjsRRTC_07Rit-c]
[(13.0419242, 77.51504390000002)],[ChIJQZctGtg8rjsRBKK0vcjTv2Y]
[(12.902916, 77.71665200000007)],[ChIJK0R2h8ESrjsRhnP4iOdLYa0]
[(12.910369, 77.63278170000001)],[ChIJMd7DSZIUrjsRlFggDSL0VQE]
[(12.9124308, 77.58553499999994)],[ChIJme_vLw0VrjsRPiYv4vSiqwM]
[(12.913981, 77.62437299999999)],[ChIJvxFCjvEUrjsRxa323850fDM]
