[(12.965291, 77.60040500000002)],[ChIJV0HbXNYVrjsR-vVB8BaHJrk]
[(12.9730719, 77.58033160000002)],[ChIJh1ukYgsWrjsRsKIG5vH9288]
[(12.972267, 77.58670000000006)],[ChIJsUq6r_IVrjsRNEugtRecQp4]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRelxFD4aZTsc]
[(12.973201, 77.60941400000002)],[ChIJezZqpYAWrjsRzKXRNxc4ZoA]
[(12.9572195, 77.55019130000005)],[ChIJi1LUfA8-rjsRjDJwDm4k9Ts]
[(12.9739734, 77.53851120000002)],[ChIJU_J6Zt09rjsRGOJOlRYL_6U]
[(12.971617, 77.60640000000001)],[ChIJezZqpYAWrjsRH_mxMNQQsvg]
[(12.9744193, 77.59657779999998)],[ChIJp5-0CnoWrjsR7G85aNyskwI]
[(12.9725, 77.58113300000002)],[ChIJu2sDwwsWrjsRqCwvwFSNar4]
[(12.9671819, 77.54285219999997)],[ChIJFf-epuE9rjsR4_e2ALRaflc]
[(12.9707555, 77.58056850000003)],[ChIJdXmbNm8WrjsRTA-nPnDEakY]
[(12.9689415, 77.6002724)],[ChIJec6D7HgWrjsRGuWQbozoLpI]
[(12.9570599, 77.6042056)],[ChIJVVVVZdIVrjsRU6u1rIlKO7A]
[(12.9727787, 77.58361400000001)],[ChIJu81OogwWrjsR_GGCejQORMQ]
[(12.976973, 77.57924000000003)],[ChIJVVVVhVkYrjsRFyeB4ko5Pko]
[(12.9750646, 77.55201280000006)],[ChIJP9JkB-E9rjsRryLZgvRg0Zo]
[(12.9540338, 77.58012610000003)],[ChIJaYJiuegVrjsRutgyw0-KFPc]
[(12.9729405, 77.60706379999999)],[ChIJ78B9D34WrjsRTs8Undy-6MQ]
[(12.981589, 77.60427060000006)],[ChIJC_szBmMWrjsR-kkWnGEJ9UQ]
[(12.9715987, 77.59456269999998)],[ChIJ7Y5UPHcWrjsRBSZZY78TYQM]
[(12.956749, 77.58565799999997)],[ChIJF8V9PncWrjsRAJc_x8cF1b8]
[(12.9649763, 77.5996652)],[ChIJMyD2xtUVrjsRr4T6wenm_0g]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsRRuqOKOUg-24]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsRujuetqq0JPM]
[(12.960549, 77.56950940000002)],[ChIJobHFePwVrjsRiHuj4_YNW8I]
[(12.9739885, 77.57865190000007)],[ChIJbwhPnA4WrjsRYd7sh90I2BI]
[(12.96024, 77.57283000000007)],[ChIJa0wYV_sVrjsREwOobjjDDQ0]
[(12.9813913, 77.60447139999997)],[ChIJYRcXpWMWrjsR-2F5BPlfw3g]
[(12.9655109, 77.60107149999999)],[ChIJh_XYbtYVrjsRyioLbDEBp8g]
[(12.958647, 77.52628000000004)],[ChIJR58piXk-rjsRQ_nDP0m7KRU]
[(12.9753638, 77.60375120000003)],[ChIJ4eZT5Y4WrjsRAX76gLhlzyI]
[(12.97335, 77.58015)],[ChIJx16OFgwWrjsRla1WAJLaYjY]
[(12.97422, 77.57547999999997)],[ChIJuTNqqnsWrjsRRtNgduVzLvM]
[(12.975433, 77.59741699999995)],[ChIJ7Y5UPHcWrjsR8y_5eqFsD_Q]
[(12.96619, 77.53599469999995)],[ChIJtWtgCN89rjsRQYz7KoCFkEc]
[(12.9749566, 77.60751260000006)],[ChIJY0j1jH0WrjsRAZO8uOKc3hs]
[(12.9623318, 77.59133670000006)],[ChIJCeVL5PkVrjsRKTIYrT2MKxU]
[(12.9614954, 77.58405449999998)],[ChIJ4WrMseAVrjsRs8OFI59y0ao]
[(12.9513096, 77.56877970000005)],[ChIJC-RiJPEVrjsRp4YC7QUXHsA]
[(12.9680139, 77.5919834)],[ChIJG5D70nwVrjsR4OWYAI7jH54]
[(12.9734427, 77.59556999999995)],[ChIJm6Qm_eQRrjsR1ZjJAiXNuIM]
[(12.9799708, 77.55539369999997)],[ChIJWQzLL_E9rjsRTcwHuugUSkw]
[(12.9689282, 77.60023649999994)],[ChIJO-UQI3kWrjsR2aeivvjHzps]
[(12.958067, 77.58281699999998)],[ChIJe3SVp-cVrjsRUrij-vUuU2E]
[(12.9739076, 77.53067850000002)],[ChIJWXRsH9s9rjsRjpEuU5IhuRM]
[(12.958883, 77.58286699999996)],[ChIJuc4uEOcVrjsR6j2P5lxtX64]
[(12.9599294, 77.56197529999997)],[ChIJ-R1VVf8VrjsR7A6Ulv57zAI]
[(12.973144, 77.54125499999998)],[ChIJXzUfqOc9rjsRsrhh-TYGmhw]
[(12.972817, 77.61091699999997)],[ChIJO0uEJYEWrjsRVJ7Gxiojrk8]
[(12.979683, 77.60621700000002)],[ChIJqzJmyGIWrjsR62BcmGvFDR8]
[(12.9622, 77.60473300000001)],[ChIJiUkAf9QVrjsRZxH3f3rJE9Y]
[(12.9747421, 77.53095209999992)],[ChIJVVVVVdk9rjsRVa90jU83QqA]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsRqgFrLPS4wHs]
[(12.9642661, 77.59691090000001)],[ChIJPYV3gtcVrjsROrHCzHDwh_o]
[(12.9600277, 77.59381340000004)],[ChIJd1i4GtsVrjsRb8eWQv_4d2Q]
[(12.9584939, 77.59341829999994)],[ChIJ634tANsVrjsROSkutnuD0Qc]
[(12.9733564, 77.61390069999993)],[ChIJZaRY-YMWrjsRqgzmM4e_I3g]
[(12.9719349, 77.59570329999997)],[ChIJB79yX3cWrjsRM2vJYjKspTE]
[(12.9726199, 77.60703799999999)],[ChIJ7Y5UPHcWrjsRJiOXabxm8yI]
[(12.973046, 77.58231999999998)],[ChIJu-C3iAwWrjsR1m_yKJs2HWc]
[(12.9767409, 77.5781455)],[ChIJz4nFWjcSrjsRasJanYtXuq4]
[(12.976667, 77.575783)],[ChIJx2rwzg8WrjsR1LFo3voWx-o]
[(12.9706356, 77.5733841)],[ChIJ5xgoHgYWrjsRyHAtDGSbPeM]
[(12.969185, 77.60240999999996)],[ChIJX3v_NH8WrjsRcAWuswPEOjE]
[(12.9762162, 77.54545209999992)],[ChIJY9mKV-89rjsRSKn7XmP6nZQ]
[(12.9740394, 77.57897330000003)],[ChIJDzGIawgWrjsR78DcCjcDAV4]
[(12.968466, 77.58459399999992)],[ChIJvdj0ywoWrjsRudR19KgdUBI]
[(12.9762947, 77.54730820000009)],[ChIJneMSfu89rjsRVYjPT9hfvR8]
[(12.9580525, 77.52682460000005)],[ChIJUVLTe3c-rjsRU_OljblVpN4]
[(12.9732, 77.58064999999999)],[ChIJD3e8EwwWrjsR45OjKyUGp4o]
[(12.971383, 77.60666700000002)],[ChIJRebjyH8WrjsRbIxXMeuY6Ew]
[(12.97479, 77.60936700000002)],[ChIJUX0HP4cWrjsROO2jZM2dSss]
[(12.965367, 77.60133300000007)],[ChIJh_XYbtYVrjsRj75465xkGgw]
[(12.96344, 77.57954999999993)],[ChIJ1TQkeeEVrjsR03HO3QE87Go]
[(12.9666505, 77.60891219999996)],[ChIJz1kmvyoUrjsRpamnpxzzEkI]
[(12.967, 77.59924999999998)],[ChIJ_yFsmHgWrjsR4XFUELsXJ1g]
[(12.9738112, 77.53726710000001)],[ChIJqxjXE909rjsRSQaLE3s_Bak]
[(12.9607879, 77.59417150000002)],[ChIJs8BCMNoVrjsR4Ojbost03jI]
[(12.9571897, 77.5672399)],[ChIJvQhdgfkVrjsRbJP0AAtfjBU]
[(12.9553353, 77.52819569999997)],[ChIJXepqfXA-rjsRcfTac7GjJow]
[(12.9685736, 77.53762010000003)],[ChIJ2VCLJts9rjsRYKB8LsqMEXE]
