[(12.9745516, 77.60716070000001)],[ChIJL28L8n0WrjsRTb5qqKMx8h4]
[(12.9701311, 77.61002789999998)],[ChIJ9wB3_n0WrjsRo_dadrKG2ZU]
[(12.962572, 77.59923400000002)],[ChIJCYp-2NYVrjsRSSgrQPoNfsA]
[(12.9742113, 77.60798109999996)],[ChIJQ0huWIcWrjsRPyfM9vtw8c0]
[(12.9647866, 77.60711760000004)],[ChIJP_x-2dQVrjsRa_eA_pEGdLc]
[(12.9715987, 77.59456269999998)],[ChIJZw87IU4UrjsRKYu5CX14cWo]
[(12.9736277, 77.57512640000004)],[ChIJgcBCsggWrjsRfXqI_8jwGng]
[(12.9518023, 77.57704319999993)],[ChIJPZcr5e4VrjsRyF-ZYvIA2uA]
[(12.965758, 77.53621499999997)],[ChIJV1nJjXM-rjsRqDrVydaVFus]
[(12.9584885, 77.5352891)],[ChIJk7ZMj3M-rjsRDclL0VazG_A]
[(12.9608998, 77.60190409999996)],[ChIJA909UdEVrjsR93Z-2CwxWu8]
[(12.9701259, 77.61040530000002)],[ChIJdwwMRYAWrjsRI3wok8Giqps]
[(12.972817, 77.53898300000003)],[ChIJ87t9gN09rjsRT6YElR59DRs]
[(12.9684488, 77.60088259999998)],[ChIJRTLKvXgWrjsRfLnW2DfYGmE]
[(12.9623867, 77.59440369999993)],[ChIJO8AkjtkVrjsRtC_hMtIDYvw]
[(12.9689572, 77.60629340000003)],[ChIJIbC_MH4WrjsRlPhkL6w-V8o]
[(12.957219, 77.55240400000002)],[ChIJxR34pAU-rjsRJ1kxQDBNPTQ]
[(12.970002, 77.60980110000003)],[ChIJNVsHUIAWrjsRgQ-B70cT1ag]
[(12.952479, 77.56711599999994)],[ChIJu8rXMfcVrjsRMurQDOJpJDU]
[(12.9700124, 77.61042329999998)],[ChIJV5maNgQ-rjsRLrmJZoNTlIQ]
[(12.967629, 77.60593799999992)],[ChIJCx2pmNUVrjsRNIl65oUXpbc]
[(12.982517, 77.60916700000007)],[ChIJ8bPPyYkWrjsR2JDgv9At8Cs]
[(12.9779204, 77.58435570000006)],[ChIJt242Vg0WrjsRhkRMafNLpzk]
[(12.9728916, 77.53971750000005)],[ChIJ77z0d-c9rjsRglN99ZLpAPo]
[(12.960467, 77.53008299999999)],[ChIJQ2uiHHc-rjsRds3RLuyjXZc]
[(12.962667, 77.53771699999993)],[ChIJlUTXPXU-rjsRL6aucW9v7ac]
[(12.9563889, 77.58374019999997)],[ChIJeeta6ecVrjsRB_OyR3OZxh0]
[(12.954458, 77.58552170000007)],[ChIJi45Su8IVrjsRn_dTC2e0CpI]
[(12.955456, 77.53059200000007)],[ChIJUTUlego-rjsR4i0pbvD03TY]
[(12.9588475, 77.52477829999998)],[ChIJqy9rnXk-rjsRVc1wSXYYIPg]
[(12.9726351, 77.52936539999996)],[ChIJqQNs9to9rjsR7V4ZEQOK0Z4]
[(12.961733, 77.54676700000005)],[ChIJi3TOCAk-rjsR11u7fdbtFqs]
[(12.961653, 77.56449199999997)],[ChIJ22UvH_8VrjsRNvica1mhsSU]
[(12.9719705, 77.54407409999999)],[ChIJ43cumOY9rjsRXufctU7Y9pU]
[(12.98195, 77.54288729999996)],[ChIJWXga2es9rjsRDdriQSycDUc]
[(12.972419, 77.53884300000004)],[ChIJy_ush909rjsRItU17mipv1c]
[(12.954164, 77.54815639999993)],[ChIJZ3b-0A8-rjsR-sWb1pQnYI0]
[(12.958042, 77.5620083)],[ChIJa3J6nfgVrjsRjcCOfNZU2E8]
[(12.9711328, 77.55688429999998)],[ChIJe6yeUvk9rjsRWqtFRoZWmzw]
[(12.9574637, 77.56204090000006)],[ChIJo3ONgfgVrjsRypFxoCDd7qE]
[(12.9669844, 77.58729919999996)],[ChIJzePIfXUWrjsR03douBXeZIM]
[(12.965884, 77.59864029999994)],[ChIJsY-1t9cVrjsRsnEcqg3wyYw]
[(12.9702181, 77.60984540000004)],[ChIJHfxPRYAWrjsRkG7ZxVbmCfQ]
[(12.9734, 77.57455200000004)],[ChIJ-7U-ag8WrjsRumcLuv7hi9o]
[(12.9628134, 77.59025969999993)],[ChIJZakeyt4VrjsRDVxI_POmMhs]
[(12.964639, 77.53515100000004)],[ChIJ04jyY989rjsRd0pFiu7ZDLI]
[(12.9717978, 77.5956926)],[ChIJLbqTW3cWrjsRwklbA85e_B0]
[(12.958302, 77.55914699999994)],[ChIJv53DSgI-rjsRSUmtmUNOilc]
[(12.9511497, 77.60009079999998)],[ChIJ3xB2z84VrjsReERtn-VHRk4]
[(12.9761587, 77.55249019999997)],[ChIJg--PnPo9rjsRzzOa_XOBeZk]
[(12.9677208, 77.59179089999998)],[ChIJrzPbGXYWrjsRTh-PArYONmI]
[(12.95788, 77.60198000000003)],[ChIJASpmitEVrjsRZhWT6bBkwyE]
[(12.957391, 77.60013040000001)],[ChIJGU79xtEVrjsRcgHGi2epW0w]
[(12.9799439, 77.57475219999992)],[ChIJO59dQBAWrjsRmW2TblLdNYk]
[(12.9819701, 77.60894589999998)],[ChIJn5FRvWIWrjsRyjhuyJJSraU]
[(12.9623932, 77.59411840000007)],[ChIJR3tqm9kVrjsRLT4tEw2s_Yk]
[(12.9725116, 77.53903639999999)],[ChIJkRcxG3U-rjsRL0Q_EDhpipM]
[(12.963018, 77.57642899999996)],[ChIJrX2mqeMVrjsR8AcGgvjWDPI]
[(12.9724913, 77.53769310000007)],[ChIJq6qqeug9rjsRVDrIRzCzw7Y]
[(12.956283, 77.59220000000005)],[ChIJHXpWNtsVrjsRHlcOw8-sOvg]
[(12.958167, 77.54610000000002)],[ChIJN9O1uA4-rjsRigMu1zaabds]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR3LSgON0hiTE]
[(12.982775, 77.61305199999993)],[ChIJjexcLokWrjsRDBp3aysgImI]
[(12.966984, 77.60677899999996)],[ChIJ-fVcRNUVrjsRMIXeWQzOVeI]
[(12.966667, 77.577452)],[ChIJu2sDwwsWrjsRvempvlRudR4]
[(12.9732524, 77.57785430000001)],[ChIJNSo8vw4WrjsRgAlnOEp_pxA]
[(12.9666579, 77.58083480000005)],[ChIJz2fLdQoWrjsRlefKykiueQU]
[(12.955977, 77.54671600000006)],[ChIJ8yQzXw4-rjsRV5JFuOsahV0]
[(12.9598863, 77.57478600000002)],[ChIJf8lIveQVrjsRyKlq46SlxWA]
[(12.9806791, 77.57909110000003)],[ChIJDfpvhyYWrjsRW7EFIXwrO5o]
[(12.9516412, 77.52950600000008)],[ChIJ91Kdxm8-rjsRUaEF9YuRaW4]
[(12.9715987, 77.59456269999998)],[ChIJVVVV0ZA9rjsRREAHpHKwINc]
[(12.963304, 77.57057899999995)],[ChIJVVVVxfwVrjsR4Pfw-T35Fg0]
[(12.9758581, 77.55896299999995)],[ChIJk6PNzPk9rjsR_OXJI29Ez3g]
[(12.9616285, 77.57783180000001)],[ChIJv8Qvc-QVrjsRjerh1NIHagA]
[(12.9586529, 77.55939469999998)],[ChIJG4CLSgI-rjsRRVqMCIPndEE]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR49O2gesp0aE]
[(12.9649188, 77.52349049999998)],[ChIJPauavXg-rjsRUDiWLXR6Kkw]
[(12.95515, 77.56773299999998)],[ChIJ0zOJAvoVrjsRia7UtkP2hms]
[(12.966922, 77.57743600000003)],[ChIJ____LwgWrjsRHUQFB7hZfok]
[(12.9698871, 77.5767869)],[ChIJ1YoEEwgWrjsRDwyfvKHLHd4]
[(12.982479, 77.55881)],[ChIJZc9sKvQ9rjsRS_fBDH7n4lA]
[(12.975617, 77.53501699999993)],[ChIJiyVNy9w9rjsR24Wobh-s9RA]
[(12.956989, 77.56373299999996)],[ChIJTZYE-_kVrjsRWLyS7NkDA5U]
[(12.9548148, 77.58277739999994)],[ChIJ5zOJcOgVrjsRYOpjklsCHTg]
[(12.9636, 77.52621699999997)],[ChIJQxBpC3g-rjsRBr_FkB2zTn4]
[(12.9812221, 77.60934499999996)],[ChIJ85JIRogWrjsR2SV1BoL5D4A]
[(12.9661549, 77.606266)],[ChIJc7idFdUVrjsReLbcItao9iI]
[(12.9694939, 77.60757349999994)],[ChIJ2bkf338WrjsRp6Kh9Rz1I4Q]
[(12.9676254, 77.54148140000007)],[ChIJb1jc-OA9rjsRqOigzFBJJ7E]
[(12.9753531, 77.60680769999999)],[ChIJLU6lP4cWrjsRGLpX-GA7zlY]
[(12.967576, 77.53654000000006)],[ChIJMclXUd49rjsRk5VYVe7vE_4]
[(12.9746395, 77.60535279999999)],[ChIJs_kKuH0WrjsRNIOrWWe582s]
[(12.9698399, 77.60722520000002)],[ChIJySX72n8WrjsRkFm9vKM5_NI]
[(12.9578881, 77.58635000000004)],[ChIJv31Oc90VrjsRq_nmACFcU1A]
[(12.9715987, 77.59456269999998)],[ChIJqcxN3d4XrjsRWsV0BZE0bc0]
[(12.9756882, 77.53552820000004)],[ChIJQZmm0tw9rjsRbEMkeJQ5B4s]
[(12.974805, 77.53156899999999)],[ChIJ809CN9s9rjsRbyvOcjJ8o0c]
[(12.980759, 77.61117000000002)],[ChIJ3WMm84gWrjsRdN5UbavuI50]
[(12.9761783, 77.52679499999999)],[ChIJ0ff_8c89rjsR85r5GMsvQg0]
[(12.962783, 77.54870000000005)],[ChIJpa-hXAg-rjsRwCr7Pt-9tys]
[(12.968702, 77.57901420000007)],[ChIJu2sDwwsWrjsRaw7wMyS1izk]
[(12.961933, 77.52633300000002)],[ChIJy0WvOXg-rjsR06wSszO1FpE]
[(12.9543495, 77.57849699999997)],[ChIJzy6ju-8VrjsRI2zI3AulN5Q]
[(12.976242, 77.52654299999995)],[ChIJZ2iNJ8U9rjsRDm-6DD42d1Y]
[(12.970684, 77.56138399999998)],[ChIJ9c5WUP89rjsRUjtUi9P6aM0]
[(12.9645366, 77.55193370000006)],[ChIJjQJKjQc-rjsR6bcE1ADIzw8]
[(12.954233, 77.54416700000002)],[ChIJNbsk5Q0-rjsRkFj55Ec5Zo4]
[(12.976083, 77.55258300000003)],[ChIJOYBQm_o9rjsRaxXVpZnB2lE]
[(12.9594598, 77.53302810000002)],[ChIJP5m5mHY-rjsRCF23wtmiboc]
[(12.953803, 77.58007999999995)],[ChIJBe-PuOgVrjsRzlQ0VrsggGU]
[(12.960617, 77.52906699999994)],[ChIJ-fI9DXc-rjsRxRvglT83zD4]
[(12.9712121, 77.53649580000001)],[ChIJd2DYy909rjsR9xqLYyjVJwY]
[(12.9599584, 77.53216909999992)],[ChIJbSYLlnY-rjsRNGkULxNjacI]
[(12.9732535, 77.60932320000006)],[ChIJN_Y8yoAWrjsRzRUsgi1rEmY]
[(12.969267, 77.60891700000002)],[ChIJdXWxFIAWrjsRLRwa8uKzBSA]
[(12.981817, 77.53341699999999)],[ChIJl2iNUsE9rjsR7sDBO_8HlyI]
[(12.96, 77.52936699999998)],[ChIJQ-aGFnc-rjsRLM1_o6u9xvk]
[(12.9531733, 77.54744559999995)],[ChIJ2RsL0xE-rjsRwR90PObZv60]
[(12.9734245, 77.54191600000001)],[ChIJ8XWXVOY9rjsRzW1VLRM-fS4]
[(12.977633, 77.53641700000003)],[ChIJU05148I9rjsR02y67-znSUw]
[(12.961129, 77.51945599999999)],[ChIJy597BH8-rjsR2DbdJEDticc]
[(12.9668909, 77.59253460000002)],[ChIJI7HHm9gVrjsRswuJiuoJjp4]
[(12.9792923, 77.57711749999999)],[ChIJL2u4uREWrjsRth1z4YzRfJA]
[(12.9713285, 77.53650960000004)],[ChIJET-Iyd09rjsRRK85opiH7QA]
[(12.964233, 77.55596700000001)],[ChIJRRKOSwc-rjsR71CxMWl6T-w]
