[(12.9528204, 77.54359199999999)],[ChIJZ44YFxI-rjsR24D8j3EsIWQ]
[(12.958833, 77.527017)],[ChIJG5AB-3k-rjsRsIOtNkg_7-A]
[(12.975746, 77.57274600000005)],[ChIJw9sWZgUWrjsR1rAjzN2i21E]
[(12.968228, 77.57593199999997)],[ChIJl3orTAgWrjsRLgd3HaGoObE]
[(12.971598, 77.594562)],[ChIJF8V9PncWrjsRgyul_mJ9mTk]
[(12.9655327, 77.5345337)],[ChIJiYD4Qd89rjsRmWhDILnU5H0]
[(12.9543433, 77.59221070000001)],[ChIJqQd-6sQVrjsRzkibfooLPDU]
[(12.9636246, 77.53455489999999)],[ChIJHUyG8nU-rjsRx5cmM7mop2c]
[(12.9788625, 77.54061009999998)],[ChIJNZYbtek9rjsRxmNcJybHI38]
[(12.9763747, 77.52368230000002)],[ChIJbQ-9OM49rjsRhv5FWVpPEZ0]
[(12.957782, 77.53382999999997)],[ChIJGeQc5XM-rjsRYP9-lNp-Xe0]
[(12.962635, 77.59095309999998)],[ChIJz9MpStkVrjsRyP4VmPkKAB8]
[(12.9691376, 77.55453250000005)],[ChIJkZo8R_w9rjsRF_5Io0SBO6g]
[(12.959622, 77.52037500000006)],[ChIJTel16n4-rjsRev2UjEj4RWI]
[(12.9703681, 77.61038039999994)],[ChIJKX0HU4AWrjsRIf2P04PkcNw]
[(12.9577653, 77.59302649999995)],[ChIJKzwPG9sVrjsRlPsKO32ibSA]
[(12.968444, 77.58966699999996)],[ChIJmVZmwnUWrjsRwPqirr7h1SA]
[(12.953032, 77.52169300000003)],[ChIJ30RuqHw-rjsRN_rRI2LCbW0]
[(12.9598303, 77.53160120000007)],[ChIJ21XHwXY-rjsRI_qXSNobTKk]
[(12.9785592, 77.59164729999998)],[ChIJHUGdHm4WrjsRGPdM-9OZFVo]
[(12.9782863, 77.54885319999994)],[ChIJW6uzue89rjsRl_b6N1cat34]
[(12.9667447, 77.60923939999998)],[ChIJQ6K5lSoUrjsRyvVYGEaU_bE]
[(12.974017, 77.61386399999992)],[ChIJ_4s0AYQWrjsRffX7yiDIr9Q]
[(12.973841, 77.59544200000005)],[ChIJS0wKu3AWrjsRjvScrSPmYnY]
[(12.965211, 77.538094)],[ChIJiXcu7t89rjsRqvMUZs8LuSs]
[(12.960473, 77.56442100000004)],[ChIJe-2uLv8VrjsREvNykIjN0o8]
[(12.963639, 77.568446)],[ChIJg9XMz_0VrjsRP_ItyY4JVbk]
[(12.958301, 77.52649900000006)],[ChIJx_IF9nk-rjsRKvI_rzz47DI]
[(12.9553336, 77.59399929999995)],[ChIJ5Qw9MMUVrjsRdvHY1MVrhww]
[(12.972069, 77.52941699999997)],[ChIJda2VW9o9rjsRcvHyu2RQzMQ]
[(12.9775597, 77.60701419999998)],[ChIJm_huaH0WrjsRavEvefuzGJ0]
[(12.982337, 77.588529)],[ChIJOaPBQmwWrjsRYPG4EyImTQI]
[(12.981718, 77.60808900000006)],[ChIJ6VKSK4gWrjsR9vB_vYVZUfQ]
[(12.966293, 77.59450400000003)],[ChIJtf6GbtgVrjsR6_BIOIdz-08]
[(12.975539, 77.55310199999997)],[ChIJpZQTifo9rjsRwPCx8h7nbOg]
[(12.9613542, 77.59950400000002)],[ChIJNRlGKdEVrjsRuvB4m__gQls]
[(12.9759157, 77.5637716)],[ChIJAfX6wwIWrjsRgvCiwxBt51w]
[(12.9615, 77.55963999999994)],[ChIJgzwPowE-rjsREfB5-2tO2us]
[(12.971842, 77.537872)],[ChIJS9EblN09rjsRhO-jUkDTwDY]
[(12.977233, 77.59914400000002)],[ChIJcU4X4HoWrjsRTO99ECm6R6k]
[(12.976147, 77.53073799999993)],[ChIJa6D72cQ9rjsRP-8BmGi7I-A]
[(12.962643, 77.56550199999992)],[ChIJO3b8-f4VrjsRrO5EqZjBOaI]
[(12.9669483, 77.5881832)],[ChIJvRV9fd8VrjsRgu1fWT-00vo]
[(12.9653215, 77.52316189999999)],[ChIJ4Y6EatY9rjsRIu1FrnMvVpQ]
[(12.9677282, 77.53604940000002)],[ChIJgR9--N49rjsRIOyFrs1yOF8]
[(12.973751, 77.58676700000001)],[ChIJ0eXtbHMWrjsRCOw5a5YeDrw]
[(12.9747748, 77.571372)],[ChIJvxbuCAUWrjsR4uvCJYUrU24]
[(12.960577, 77.57774199999994)],[ChIJucrQCuQVrjsRnOvsJTmS8hI]
[(12.967466, 77.52390400000002)],[ChIJiY-b79Y9rjsRL-mAf6wVezo]
[(12.9757727, 77.55692709999994)],[ChIJd_Qk7vk9rjsR9egUgdo36Ts]
[(12.979157, 77.58523400000001)],[ChIJMVFYSW0WrjsRQOdyIatRpNg]
[(12.962238, 77.56915600000002)],[ChIJKUt3R_wVrjsRIudlacphBPs]
[(12.9767048, 77.57197989999997)],[ChIJt5TuCAUWrjsRHeecFB8bcn0]
[(12.9549828, 77.59192410000003)],[ChIJneg-uMQVrjsRCOcxHpJnT7g]
[(12.96361, 77.58503080000003)],[ChIJ-cEyKt4VrjsR0OYsHKhL6gg]
[(12.9514766, 77.52084480000008)],[ChIJh5P5O2M-rjsRxuaGK5hZKu4]
[(12.9720153, 77.52924080000003)],[ChIJdUZ8XNo9rjsRcuZpFls8idk]
