[(12.9690579, 77.56802889999994)],[ChIJOxn7QtMUrjsRdqqsmfn3dUg]
[(12.966509, 77.57038869999997)],[ChIJC43QeAcWrjsRZpu9knKyw7I]
[(12.9677633, 77.60688540000001)],[ChIJ65pO9n8WrjsRZyTnI5O-UPQ]
[(12.9663316, 77.59631749999994)],[ChIJ____vzQWrjsRbpgsjGeq7NI]
[(12.9746708, 77.60961339999994)],[ChIJE8R9PncWrjsRPu7TmxiasUs]
[(12.9728254, 77.61444789999996)],[ChIJ2XzV7oMWrjsRbJ6-3mpi7WE]
[(12.9669112, 77.59939129999998)],[ChIJ27OrLNYVrjsRnBuUnKItju0]
[(12.9654282, 77.60036319999995)],[ChIJc7idFdUVrjsRBfdF522FUlA]
[(12.967585, 77.600236)],[ChIJ_8DBftcVrjsRSLqN4h2NvL8]
[(12.973767, 77.61271699999998)],[ChIJXUO4soYWrjsRENJ7tIjR6Zc]
[(12.9720835, 77.59490759999994)],[ChIJPy70R3cWrjsRYyel42Q-S2U]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRWW2y3xk0qC0]
[(12.9732785, 77.61701889999995)],[ChIJgRIxeIMWrjsRlYaXrF-6f7Y]
[(12.9719428, 77.60456629999999)],[ChIJceqXjH4WrjsRWpzADK4xQAM]
[(12.9659124, 77.59552559999997)],[ChIJh7TqF9gVrjsRdeOIXTpkRWk]
[(12.9589163, 77.58609189999993)],[ChIJaaWjpN0VrjsRI8sEv-LqXs0]
[(12.9599001, 77.53332619999992)],[ChIJIwAAANw9rjsR2lTOGvLbFyE]
[(12.967729, 77.53659500000003)],[ChIJz1QfUd49rjsRFWqxQ7o-KcA]
[(12.9590716, 77.60027309999998)],[ChIJv74fCtEVrjsRqPWAwZaRXIU]
[(12.9610667, 77.58569599999998)],[ChIJE8R9PncWrjsRMQtmvmaZ9RI]
[(12.9703539, 77.60869219999995)],[ChIJKauBY4AWrjsR3eqCGJuoICw]
[(12.973445, 77.61244199999999)],[ChIJzWJ1TIEWrjsRQcNSEH-fQcU]
[(12.971598, 77.594562)],[ChIJF8V9PncWrjsRMuKD0L7ROHU]
[(12.9727975, 77.61436879999997)],[ChIJZbAk74MWrjsR-v35OFTugw0]
[(12.9670968, 77.60479329999998)],[ChIJWwvvgtUVrjsR4QhUYl1vm2o]
[(12.959821, 77.52928700000007)],[ChIJN_xnvYQ9rjsR16PAfythohk]
[(12.975212, 77.59960000000001)],[ChIJ3SIdrnsWrjsRvffhW11c-WA]
[(12.9567695, 77.58522659999994)],[ChIJcYgYMqkXrjsRDilPoLCSvlk]
[(12.9578196, 77.53429510000001)],[ChIJF0NX7nM-rjsR06qG8EPtwvs]
[(12.9656717, 77.61596589999999)],[ChIJpV1IqSkUrjsR45TN-L-zJWo]
[(12.9740625, 77.60919209999997)],[ChIJQyR2mXgWrjsReSZa3nN0-yw]
[(12.961945, 77.59920220000004)],[ChIJNTSA1dYVrjsR1mLEnVp6fTw]
[(12.966393, 77.61432400000001)],[ChIJ5eUhkikUrjsRUJLZT4B8S4k]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsRB0yykMrReZ0]
[(12.967167, 77.54263300000002)],[ChIJkbsHpuE9rjsRUzsmzIzzsuA]
[(12.960648, 77.60037299999999)],[ChIJLz4yDncWrjsR8vFy_ZKgAWM]
[(12.9719838, 77.6069771)],[ChIJx7OtroAWrjsRQa_ABkET1Tg]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRhHsxl-YHBWc]
[(12.9709072, 77.60085720000006)],[ChIJO-UQI3kWrjsRhowUcBYQMtI]
[(12.9714806, 77.60700729999996)],[ChIJ9wB3_n0WrjsRL7Ph2hDLkHM]
[(12.9672752, 77.60739079999996)],[ChIJKyunTIEWrjsR-263-PKtprI]
[(12.9715987, 77.59456269999998)],[ChIJAQAAJJFwrjsRVW1Hy8-TNEc]
[(12.9576181, 77.60583670000005)],[ChIJxWEHP4cWrjsRHJXk2P8or_M]
[(12.9661229, 77.59587940000006)],[ChIJbdF2HtgVrjsRs05Xgz1uCgE]
[(12.971151, 77.60837800000002)],[ChIJ9wB3_n0WrjsRSRTL9rIFxv4]
[(12.9660916, 77.60627649999992)],[ChIJc7idFdUVrjsRVCqRk-qoVNw]
[(12.9737786, 77.59925090000002)],[ChIJn7u-x3kWrjsROlK8K1KleZs]
[(12.9710912, 77.59723150000002)],[ChIJeylBxHkWrjsRcLySTtskpQo]
[(12.975733, 77.60194999999999)],[ChIJkTfpgHsWrjsRzNXfK905N98]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRDqHPMau81Bk]
[(12.963874, 77.5967091)],[ChIJ2wNke9cVrjsRaiInUILIXNo]
[(12.9644274, 77.59744839999996)],[ChIJiZ_wntcVrjsRpJp3yVC8omg]
[(12.9745691, 77.61007040000004)],[ChIJLU6lP4cWrjsRfG6IZn_kbGQ]
[(12.963778, 77.60627199999999)],[ChIJkS3JVtEVrjsR8ZwAEvy-OKw]
[(12.974223, 77.61436100000003)],[ChIJL-2MDoQWrjsRjM15OgFvJls]
[(12.9698964, 77.53263379999999)],[ChIJg51F8-A9rjsRGBtZtgR2awY]
[(12.9758137, 77.61646089999999)],[ChIJKdWi9oQWrjsRQ2CwgCAYfik]
[(12.974867, 77.61913299999992)],[ChIJmwrmsoQWrjsRzu_IC5VO6Qk]
[(12.973749, 77.57764900000006)],[ChIJuSDs-w4WrjsRguYVtA8KtoU]
[(12.9562558, 77.58345629999997)],[ChIJV_XT6ecVrjsRc-LIKraKBJw]
[(12.9599503, 77.52713270000004)],[ChIJX1WV4nk-rjsRelY9ECunStU]
[(12.9472251, 77.59411599999999)],[ChIJmWKYUhsUrjsRUYDtdQENe6M]
[(12.9479075, 77.57301580000001)],[ChIJs-6ns_YVrjsRzi8shGfeOVY]
[(12.9475797, 77.59492939999996)],[ChIJ3U16NcYVrjsRrKz3UibbPTI]
[(12.9489814, 77.59775960000002)],[ChIJQxCLQ8YVrjsRqhaRJjMkPbo]
[(12.9505496, 77.56784349999998)],[ChIJF2uANPcVrjsRCnh7ltjoW5U]
[(12.9474167, 77.5996126)],[ChIJm7ZuqckVrjsRItbN5hCeM8k]
[(12.9505446, 77.6079125)],[ChIJz2-EsRsVrjsRywF4ZYYfnlk]
[(12.9426147, 77.69191150000006)],[ChIJCcEJarETrjsRls4mO74NaBY]
[(13.0218543, 77.65001459999996)],[ChIJTVnIaCwXrjsRaM3qwicDuRM]
[(12.9404884, 77.56696720000002)],[ChIJdeJteIsVrjsRXq6h0Q-_shk]
[(12.950976, 77.64407099999994)],[ChIJt2EQuQ0UrjsR6vZO-raM1F4]
[(13.0509886, 77.62043059999996)],[ChIJ49Xt3GQXrjsRbmN3flLkLnI]
[(13.0119829, 77.5562976)],[ChIJAyt6NX89rjsRZvv-FrfIBSg]
[(12.924928, 77.62785499999995)],[ChIJGyTDv5MUrjsRWm0GLb3JwZ8]
[(12.9132975, 77.63509690000001)],[ChIJvYaX8o0UrjsRdRKMOsdXAJk]
[(12.9174893, 77.50049899999999)],[ChIJDfWlkOI-rjsR0Sg93HAJH0k]
[(12.9903029, 77.59417189999999)],[ChIJJ4l-sGwWrjsR_7swtHn5z9o]
[(12.9559984, 77.63841230000003)],[ChIJ-TL7ORoUrjsRS2S_DCJI6co]
[(12.9323498, 77.68370049999999)],[ChIJkQwjGKQTrjsRPs37b4pS24s]
[(12.9859436, 77.73411820000001)],[ChIJq2QaMOURrjsRyFu81w98kK8]
[(12.982939, 77.73332499999992)],[ChIJt_0UevARrjsRfseJICi-L6Q]
[(12.9343776, 77.69436300000007)],[ChIJ5eXpOqwTrjsRytxQlWYuaK0]
[(12.9351252, 77.61427589999994)],[ChIJDVQSEE4UrjsRGyUBr-IHAuc]
[(12.9257874, 77.6317656)],[ChIJbYk0b2AUrjsRMsY0vfp6HUM]
[(12.9903783, 77.59410600000001)],[ChIJy8I-hUIWrjsRnId40OcK8oA]
[(12.990477, 77.66952400000002)],[ChIJIW0v4EYRrjsRZGENW0qFcqU]
[(12.98803, 77.5922084)],[ChIJw5-eClwWrjsRRWsIlnLklO8]
[(12.9309975, 77.69104240000001)],[ChIJZSWpIakTrjsRqjDpA9rrTjg]
[(12.920558, 77.500723)],[ChIJF_2Ss-M-rjsR-ri9kYmBQ7c]
[(12.9254117, 77.61921189999998)],[ChIJpUXrh1cUrjsRKsxS1nuDido]
[(13.005645, 77.57842699999992)],[ChIJzyXEUDEWrjsRmLKPhqwHZv4]
[(13.0015706, 77.66233480000005)],[ChIJ4Yf9_jARrjsRkJ4m78ORsmE]
[(12.9738848, 77.72126019999996)],[ChIJ63ShpIoRrjsR5XCJerih9g8]
[(12.91602, 77.63174400000003)],[ChIJc1GsxIwUrjsRU5v6KCpK38c]
[(12.915142, 77.58603700000003)],[ChIJzyd22wwVrjsRgzQsFefDAow]
[(12.908606, 77.59990779999998)],[ChIJnySAb3AVrjsRkQjCa-8ZyKc]
[(12.8379421, 77.66381330000002)],[ChIJ0x_ONIZsrjsRKWxyD-7NcQ0]
[(12.924903, 77.58902799999998)],[ChIJK17H6aAVrjsRIQieYCg7nbY]
[(12.9555003, 77.63706350000007)],[ChIJAQAAwBoUrjsR5Pkqrkw8Cec]
[(12.892152, 77.597532)],[ChIJnUlwwSQVrjsROe4HPcj4I5Q]
[(12.963164, 77.71747200000004)],[ChIJ1SVLJL5xBRER1u9TQEaBlo4]
[(12.9695956, 77.64157920000002)],[ChIJ8RsG-KcWrjsRgMomwTOSiEQ]
[(12.9174298, 77.59343280000007)],[ChIJT0miIAkVrjsRymS2lrWcEZA]
[(12.9221892, 77.68363679999993)],[ChIJayAoawkTrjsRwZ_NI3pPB-w]
[(12.932654, 77.60372299999995)],[ChIJASwtzJ0VrjsR7XYmd4vvPe4]
[(12.923456, 77.64701539999999)],[ChIJuS9RWY4UrjsR8mJ_qy_XWF0]
[(12.9337229, 77.61299680000002)],[ChIJU56Z-1cUrjsRpy7E9OgTvwg]
[(13.0191532, 77.55240700000002)],[ChIJtaXa9no9rjsRpZCcoqxbGgc]
[(12.991605, 77.591857)],[ChIJTZL_OEIWrjsRzyeOnhoBEu0]
[(12.977607, 77.64296100000001)],[ChIJyy22cK8WrjsRVdD_zZ8j9ws]
[(12.896247, 77.56537800000001)],[ChIJjyxqcYcVrjsRAKQs24khBYY]
[(12.9586735, 77.63964429999999)],[ChIJE8R9PncWrjsRmuSC8YrNCo8]
[(12.9332007, 77.68364939999992)],[ChIJUaHfP6QTrjsRfjMx1R75Bvc]
[(12.9705601, 77.62764570000002)],[ChIJnYdiTJ4WrjsRwazOqX_aXrg]
[(12.9612653, 77.63531139999998)],[ChIJddMKCxkUrjsRYTcVj2R0AwU]
[(12.9191837, 77.56258200000002)],[ChIJhY7I538VrjsRQ8oPncOFMGc]
[(12.991063, 77.7295858)],[ChIJVVVVVfkNrjsR0HNE9f31YVY]
[(12.956989, 77.6648748)],[ChIJLXD3dvATrjsROZ6yDjGXUOI]
[(12.930974, 77.57850299999996)],[ChIJHd-sRU0UrjsRIlMW_6tXtZ0]
[(12.9403764, 77.57554149999999)],[ChIJ7Y5UPHcWrjsRPS_mcNSVqlY]
[(13.0352811, 77.56715229999998)],[ChIJF_roao4XrjsRgNmYzMZ7P3s]
[(12.983904, 77.63895500000001)],[ChIJ2WCljqMWrjsR3ksRbGliGO0]
[(13.076457, 77.59186)],[ChIJ1Q9uzTgYrjsRKV9EB13Fgn8]
[(12.9233718, 77.68054959999995)],[ChIJkz8VSwoTrjsR-CbvNqyKBl4]
[(12.9147951, 77.59488710000005)],[ChIJmb1hFA8VrjsRLTnXd2HUjmQ]
[(12.962972, 77.71771100000001)],[ChIJq6qqav0UrjsRQs76wscsw8o]
[(12.962524, 77.701997)],[ChIJafp-OuURrjsR1K2QLE1vjo0]
[(12.9818184, 77.6384974)],[ChIJha-LIrsWrjsRF0q879PROvQ]
[(12.9837332, 77.5930452)],[ChIJy5jE25oWrjsRB9UvUi41ncM]
[(12.9330202, 77.63135149999994)],[ChIJg_bpj2cUrjsRrKXAX5mICbo]
[(12.8866553, 77.58199650000006)],[ChIJlT2SoGgVrjsRcpRcZ90LpDs]
[(12.9484165, 77.6438114)],[ChIJ5YSaFQ0UrjsRlyry3YoqMms]
[(12.9366624, 77.57448969999996)],[ChIJj1Mg6pEVrjsRIFohmBCz_L0]
[(12.980524, 77.64605699999993)],[ChIJVVVV4bEWrjsRWJxmGK3mQQ8]
[(13.045939, 77.62033539999993)],[ChIJF8p8wW8XrjsRznzDxlrha5w]
[(12.9866627, 77.73076760000004)],[ChIJW4BF-_IRrjsRz3Oul4OwXr4]
[(13.0270777, 77.59318680000001)],[ChIJGbTBqLsXrjsRLyShliCNgVc]
[(12.8997301, 77.6355797)],[ChIJkf-obb4UrjsR7r32NBDsH4o]
[(12.9715759, 77.71872340000004)],[ChIJMeII2YwRrjsRGKHTsEM2o0E]
[(12.909336, 77.56509919999996)],[ChIJNSe61HwVrjsR_eF-PrtezYk]
[(12.9840632, 77.72940070000004)],[ChIJHc4-tScSrjsRic97cf-5huA]
[(12.9247785, 77.631482)],[ChIJFXHGFWAUrjsRU0f-pP6Q0Ag]
