[(12.969289, 77.60769700000003)],[ChIJ_Sno338WrjsRXhzV6TMO2-s]
[(12.975067, 77.58870000000002)],[ChIJq6qqanEWrjsRCrsLL2fXW-s]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRagVRK1C_00c]
[(12.968238, 77.53459699999996)],[ChIJE5yRwd49rjsR3dqTFUR7dCw]
[(12.962336, 77.54051900000002)],[ChIJk2CX5wo-rjsRE31-Zz8EFc4]
[(12.971081, 77.61206700000002)],[ChIJOZU8C4EWrjsRDMK19ypPcTs]
[(12.9706713, 77.56073019999997)],[ChIJpaLhSP89rjsR_Cz2odRSD7Y]
[(12.961443, 77.52022899999997)],[ChIJ7yAuGH8-rjsRvzbktYWSW6Y]
[(12.957306, 77.56727999999998)],[ChIJofAigvkVrjsR-wBGC9sv2WQ]
[(12.9691784, 77.55924860000005)],[ChIJ8QQcHf89rjsRXCmdIF2D_Kg]
[(12.958663, 77.52378399999998)],[ChIJeU8jx3g-rjsRWh5kJZHZB6o]
[(12.972567, 77.549083)],[ChIJIWZ7wuQ9rjsRl27uC9MsXW8]
[(12.9765024, 77.59860609999998)],[ChIJSXQE4HAWrjsRyeiku6FOYT4]
[(12.9815194, 77.55352149999999)],[ChIJDVBIePE9rjsR9OUB2sa4tD8]
[(12.9715987, 77.59456269999998)],[ChIJq6qqqmEWrjsRyFzr2XaSUpI]
[(12.9759, 77.53698299999996)],[ChIJtxqnzcI9rjsR_f6n6qZ9B4Y]
[(12.976333, 77.52488300000005)],[ChIJ8dauy889rjsRSNWwK7Za3Mo]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRpPs6KqKaD6c]
[(12.952692, 77.52867200000003)],[ChIJSZ_k4W8-rjsRY1tSWoP5JU0]
[(12.952183, 77.52715)],[ChIJmz43UWU-rjsRVLPBOUDs6Eo]
[(12.973435, 77.532331)],[ChIJEyU6bts9rjsRbMuSibCCXnE]
[(12.9518732, 77.5273545)],[ChIJ72HFVmU-rjsResY6rai6WRo]
[(12.979717, 77.54271700000004)],[ChIJv8mzEek9rjsRsuXsDEl3gF0]
[(12.9591394, 77.52489519999995)],[ChIJTzQynHk-rjsR3A2BleRONAA]
[(12.964833, 77.59251700000004)],[ChIJgTew5dgVrjsRjFVAAirUXQY]
[(12.9673, 77.545433)],[ChIJtZX9LeI9rjsREN8eiBUBwqI]
[(12.974021, 77.55364699999996)],[ChIJ43QbVPo9rjsRLvrf3SDy6Jk]
[(12.962381, 77.53655900000001)],[ChIJq5g5D3U-rjsRPPRoe09MA7c]
[(12.979734, 77.55492800000002)],[ChIJGz6EIfE9rjsRxOczA1GUneQ]
[(12.9737433, 77.56048179999993)],[ChIJMb629Pg9rjsRCOfEL3vC8LM]
[(12.9665759, 77.54405010000005)],[ChIJ9zECjuE9rjsRqeLhhxpVWtM]
[(12.969968, 77.543768)],[ChIJiceVTuE9rjsRAeItL3qMu3A]
[(12.955456, 77.53059200000007)],[ChIJ_f__qnE-rjsRcsLSTVBOA9I]
[(12.9614754, 77.52037480000001)],[ChIJabkAGH8-rjsRwb5UMCeeqes]
[(12.9668079, 77.5439437)],[ChIJN8ZGkOE9rjsReJiJpfVeAL8]
[(12.9541489, 77.56489639999995)],[ChIJER9If_cVrjsReXG--nsq6Ak]
[(12.9798718, 77.52584839999997)],[ChIJTb8UOc89rjsRHkwAIHBdbKE]
[(12.970768, 77.54712199999994)],[ChIJg8UaeeQ9rjsRn0uSbshKd4A]
[(12.9628, 77.56631500000003)],[ChIJk7sji_4VrjsRTxsWwrs5bmk]
[(12.96666, 77.60682700000007)],[ChIJ2UeRRtUVrjsRehHdNIdnPGk]
[(12.955849, 77.54019500000004)],[ChIJaxQUIQ0-rjsRIQk8lEF-ZLw]
[(12.975611, 77.53996000000006)],[ChIJkZS84-c9rjsRogIwPkgQNSU]
[(12.941138, 77.54048999999998)],[ChIJ44CFwj8-rjsR9bNzNQ8dFR8]
[(12.996748, 77.60369800000001)],[ChIJE8yuOVkWrjsRBpNQ7N5K33I]
[(12.992889, 77.55955300000005)],[ChIJYQctMoo9rjsRK67eaT2OtI4]
[(13.0009172, 77.57094919999997)],[ChIJeUSSmy8WrjsR3AbVOwUuzL4]
[(12.9769876, 77.63279690000002)],[ChIJTxtjWqIWrjsR66XcsZNNJT0]
[(12.937631, 77.55645400000003)],[ChIJHSXiViE-rjsRtyPeAh8CxzA]
