[(12.971182, 77.59781799999996)],[ChIJv_AWuHkWrjsRxsSlTpVUmeg]
[(12.9534063, 77.59440419999999)],[ChIJ27LMccUVrjsRxUulUOJ-M28]
[(12.970183, 77.597533)],[ChIJrZpXvnkWrjsRkNYMv1NBGMA]
[(12.957388, 77.60456199999999)],[ChIJff23Z9IVrjsRcZo3lqa_JIY]
[(12.9742357, 77.59530229999996)],[ChIJKW2JvnAWrjsRUhxNZVxBjBc]
[(12.956166, 77.58115610000004)],[ChIJdcBKOuYVrjsRrpcfIqHyOZE]
[(12.965217, 77.60325899999998)],[ChIJiQ1tydUVrjsR5XCHCy71LOM]
[(12.981789, 77.61202500000002)],[ChIJeUg6pY4WrjsR9j2W6ln3F3E]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRkHVRJNFxQ50]
[(12.981685, 77.610005)],[ChIJNYxx0okWrjsRnSqL4VWWNmk]
[(12.9743828, 77.59730909999996)],[ChIJnb5SInoWrjsRo2A_V-9jJFc]
[(12.966891, 77.58220800000004)],[ChIJ____JAsWrjsRVwV4zB9UkbY]
[(12.9745001, 77.6087334)],[ChIJDyvGQ4cWrjsRLDttOWUAB-0]
[(12.9753334, 77.60505599999999)],[ChIJk4Qjsn0WrjsR6_N6qXikSl0]
[(12.961307, 77.59393499999999)],[ChIJ1bwOKdoVrjsRCUlwlKIEjI4]
[(12.9622063, 77.58411350000006)],[ChIJDc7IvOAVrjsRjHEIPOdwvCo]
[(12.979967, 77.57698299999993)],[ChIJbe99rxEWrjsRX70T8K8RxaE]
[(12.9739468, 77.54659100000003)],[ChIJXc7FsOU9rjsRpTcwCDDlKN4]
[(12.971771, 77.61256639999999)],[ChIJh__0boEWrjsRhsnK2NG4UVA]
[(12.9581928, 77.58634940000002)],[ChIJxzfJoN0VrjsR-6J4y77VSOA]
[(12.9723708, 77.53758249999998)],[ChIJQ3RxmN09rjsRWfywyYYdK38]
[(12.9744389, 77.53409429999999)],[ChIJdaiVvNw9rjsR9Zyq3HSs2g8]
[(12.9763051, 77.60379020000005)],[ChIJL8oz9HwWrjsRzjhm5CWU1p8]
[(12.9746939, 77.60882200000003)],[ChIJBdHnQ4cWrjsRjjftCJTfGSo]
[(12.974406, 77.60958699999992)],[ChIJhyAHO4cWrjsRAj9NpWcVCug]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRcaPL3Q6Rftw]
[(12.97552, 77.56130899999994)],[ChIJfWIkc_g9rjsR5LewVfN_bBI]
[(12.9753531, 77.60680769999999)],[ChIJE8R9PncWrjsRy72JatQqAyQ]
[(12.9811577, 77.60169799999994)],[ChIJUaZ4hGQWrjsRHN7s4pmRVAo]
[(12.9713471, 77.60670929999992)],[ChIJ-xH4OX4WrjsRCxFHInHtrrM]
[(12.9582918, 77.58638470000005)],[ChIJaaWjpN0VrjsRZ1f6B1-Aa0E]
[(12.9819648, 77.60925509999993)],[ChIJ1Xe1NIgWrjsR52FtXo3Z7Z4]
[(12.964383, 77.58944999999994)],[ChIJk10_Id8VrjsRQ6f1GncXXL0]
[(12.968667, 77.57972799999993)],[ChIJcUO-LwoWrjsR4CAQpa7puyw]
[(12.975967, 77.60243300000002)],[ChIJE8R9PncWrjsRpSenVfxvd3A]
[(12.9673964, 77.58923279999999)],[ChIJJaw-83UWrjsR33GVPR2rSdI]
[(12.950733, 77.538317)],[ChIJV6lWL20-rjsRIgJ4vjnWZUw]
[(12.9722473, 77.55007619999992)],[ChIJK0qFyeQ9rjsRbuthS5NAAlA]
[(12.9562692, 77.55495109999993)],[ChIJJWcAjQQ-rjsRdNnkm2_bI3w]
[(12.958707, 77.55597)],[ChIJ1cBsCQQ-rjsRZdBMAeu8OAs]
[(12.982181, 77.60832700000003)],[ChIJhVlT0okWrjsRys6ERsWolxs]
[(12.9714091, 77.5964209)],[ChIJ1wu-33kWrjsRe87PvHiCRRk]
[(12.9652306, 77.61189709999996)],[ChIJX7EpSyoUrjsR2cxqjWxcYDU]
[(12.9691582, 77.57525169999997)],[ChIJ1YoEEwgWrjsRVcykHtPVNUw]
[(12.9762398, 77.53154889999996)],[ChIJhxQTxsQ9rjsRubvxf66fajw]
[(12.9711404, 77.57577850000007)],[ChIJC61C2ggWrjsRkbv0DS-RSkk]
[(12.965584, 77.57749130000002)],[ChIJD_mYbeIVrjsRJbgtwsTc0VQ]
[(12.9718231, 77.59607619999997)],[ChIJ-5i3XncWrjsRbKPblqAHMEk]
[(12.9546044, 77.591453)],[ChIJ-5-NvMQVrjsRtYgu-U7Rd8U]
[(12.9706843, 77.57282940000005)],[ChIJOeyaGQYWrjsRPYcF4f9pY7I]
[(12.9671962, 77.59749369999997)],[ChIJ16Si4dcVrjsRU4AwvYqZ0Tw]
[(12.969867, 77.58175000000006)],[ChIJs70WqQsWrjsR7HqLtacuQdE]
[(12.969019, 77.57410600000003)],[ChIJpU5UfQgWrjsRYW-dOwy-EMs]
[(12.9679884, 77.53607839999995)],[ChIJ5wLq9949rjsRp2fDaMUlfZA]
[(12.964863, 77.53691200000003)],[ChIJMRQ0uOM9rjsRLmFv9t7ROWE]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRd1BVGXJNhVE]
[(12.9690506, 77.52418519999992)],[ChIJj6560dY9rjsRhk93hsCQV9I]
[(12.973102, 77.60708299999999)],[ChIJKX50Bn4WrjsRJ08Ftk4jj_0]
[(12.9784016, 77.54336430000001)],[ChIJ____G-U9rjsRgUTp-r_AvEc]
[(12.969629, 77.54364799999996)],[ChIJ1zIPRuE9rjsR9UGsOyjx1ps]
