[(12.9592018, 77.58244630000002)],[ChIJ-6DtG-cVrjsR02obLaTBQNE]
[(12.9733171, 77.6136907)],[ChIJuS4L_IMWrjsRyEByQYG99T4]
[(12.9756314, 77.59739050000007)],[ChIJ86f_Y3oWrjsRuOV4FJbnXHg]
[(12.9710141, 77.601136)],[ChIJkalRtX4WrjsR32xHLuRWWBc]
[(12.9797057, 77.60342289999994)],[ChIJmU-2rIkWrjsRnUWsDX-UQJ4]
[(12.9790455, 77.57938109999998)],[ChIJqbEXHxIWrjsR8Hrnm3iyk1A]
[(12.9626366, 77.59082469999998)],[ChIJCblfeNkVrjsRAE9xuIacF80]
[(12.972267, 77.58670000000006)],[ChIJsUq6r_IVrjsRNEugtRecQp4]
[(12.9707688, 77.60108109999999)],[ChIJXQN9OnkWrjsRTfrVI2t8-_E]
[(12.9824212, 77.59785009999996)],[ChIJ22nzkmUWrjsRv-dU1jmFVL4]
[(12.9756566, 77.57885620000002)],[ChIJz4nFWjcSrjsRWByIQbsHodg]
[(12.960715, 77.59487250000006)],[ChIJwbEuAtoVrjsRyrLALcTjbS4]
[(12.9630415, 77.58940009999992)],[ChIJgZ9jwd4VrjsR3Ikdx7vPFWY]
[(12.973201, 77.60941400000002)],[ChIJezZqpYAWrjsRzKXRNxc4ZoA]
[(12.9642138, 77.57811140000001)],[ChIJt9Ry_eAVrjsRnOQtMgjI2as]
[(12.9714806, 77.60700729999996)],[ChIJ9wB3_n0WrjsRVDR6Vv9QRws]
[(12.9739734, 77.53851120000002)],[ChIJU_J6Zt09rjsRGOJOlRYL_6U]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRBj3jprTWwEg]
[(12.9557905, 77.51830540000003)],[ChIJ-_FysH0-rjsRazwekTG6aDk]
[(12.9510582, 77.5763144)],[ChIJEUVIX-4VrjsRMGdYpUai-9s]
[(12.971617, 77.60640000000001)],[ChIJezZqpYAWrjsRH_mxMNQQsvg]
[(12.9684723, 77.53619419999995)],[ChIJlVCV2d09rjsRkHhWqlCtxNs]
[(12.9744193, 77.59657779999998)],[ChIJp5-0CnoWrjsR7G85aNyskwI]
[(12.9574698, 77.53379859999995)],[ChIJueSE5nM-rjsRtx972wKUbs4]
[(12.9606573, 77.60179960000005)],[ChIJe8OKZ9EVrjsRcCsq4uav09o]
[(12.9725, 77.58113300000002)],[ChIJu2sDwwsWrjsRqCwvwFSNar4]
[(12.9567564, 77.56201629999998)],[ChIJLfpLo44VrjsRwA1VGM8zDZc]
[(12.9549889, 77.57430260000001)],[ChIJJ3KKWOUVrjsRixnE_VCukD4]
[(12.971817, 77.57431700000006)],[ChIJVVVVKQ8WrjsR3sc1zRLCvY4]
[(12.950583, 77.59629999999993)],[ChIJxRh9JcMVrjsRBUS-8c3VeBA]
[(12.9707555, 77.58056850000003)],[ChIJdXmbNm8WrjsRTA-nPnDEakY]
[(12.9689415, 77.6002724)],[ChIJec6D7HgWrjsRGuWQbozoLpI]
[(12.960817, 77.52711699999998)],[ChIJmSbp03k-rjsRuk-zGQhUdBY]
[(12.9727787, 77.58361400000001)],[ChIJu81OogwWrjsR_GGCejQORMQ]
[(12.9758, 77.57468300000005)],[ChIJVVVVhVkYrjsR8XTHAbFBeNY]
