[(12.963513, 77.584205)],[ChIJ4YPiheAVrjsR7oQHprIXmmU]
[(12.9638384, 77.58370309999998)],[ChIJF-TqYeAVrjsRgQcWyK28EE0]
[(12.9597352, 77.56752899999992)],[ChIJ23jAe28VrjsRJdIaezJATFw]
[(12.967385, 77.57433200000003)],[ChIJj2_DJQgWrjsRgUclz4cZEvk]
[(12.9800978, 77.60728879999999)],[ChIJq6qqqmEWrjsRb0c0ZQ88G_0]
[(12.970915, 77.56266099999993)],[ChIJxSSo8AEWrjsRn6Tpsbl0DP8]
[(12.967725, 77.57405900000003)],[ChIJAzlHDQgWrjsRZ141YBAuoso]
[(12.969267, 77.57543299999998)],[ChIJ43Kn9wgWrjsRbBwwyYWdF6c]
[(12.9823662, 77.60609420000003)],[ChIJ9xldXGIWrjsRb-3EyQ_Y_WI]
[(12.963725, 77.58479109999996)],[ChIJbzg9hOAVrjsR1uJUpXkkwxk]
[(12.9679764, 77.57435290000001)],[ChIJ_bonbAgWrjsR8ddIzZasJrs]
[(12.9820657, 77.59877979999999)],[ChIJFQ9jrmUWrjsRiIP4-NBCO8s]
[(12.9821992, 77.6072441)],[ChIJldMzfmIWrjsR4CEqW6gUG64]
[(12.967496, 77.608247)],[ChIJf9j-qyoUrjsRChuZyhzOazw]
[(12.972787, 77.60747549999996)],[ChIJ9Y5SYIcWrjsRLA8DDgcbUQ4]
[(12.968567, 77.57436699999994)],[ChIJVVVVlQcWrjsRzmlqGebRKc8]
[(12.9676275, 77.57430199999999)],[ChIJAQAAwAsWrjsRM8V9E_-myWg]
[(12.9644437, 77.57868659999997)],[ChIJGcWwVuAVrjsRBRWNqoSGbKE]
[(12.958102, 77.57630999999992)],[ChIJ5d8ZOIgWrjsRdHEcdeH_BAo]
[(12.966916, 77.542866)],[ChIJTSmVpOE9rjsRpuY665EF7-s]
[(12.969444, 77.53791609999996)],[ChIJOzuG_qAVrjsRR7fN8ktwkp8]
[(12.9678875, 77.57474879999995)],[ChIJa8Q3aggWrjsRRasPKrkHpl4]
[(12.9725666, 77.60562299999992)],[ChIJGXycb34WrjsR5fO6UY6tS0A]
[(12.964076, 77.583756)],[ChIJGcWwVuAVrjsRCe2Kd8TtK_s]
[(12.980701, 77.607486)],[ChIJ23Ann2IWrjsR0bHFd6d7u3g]
[(12.9691582, 77.57525169999997)],[ChIJSzUS9ggWrjsROW6A4nxyg_E]
[(12.9802042, 77.55542170000001)],[ChIJ1SPqPPE9rjsRgL0STlbnB1Y]
[(12.982008, 77.60686399999997)],[ChIJCRMGsfMWrjsRJc7YxirwMAA]
[(12.9816776, 77.60798049999994)],[ChIJw4nLK4gWrjsR_n5qgyYPRV4]
[(12.9668962, 77.57531210000002)],[ChIJo4MV0g4WrjsRLGSxk-ilOPc]
[(12.9816776, 77.60798049999994)],[ChIJw4nLK4gWrjsRvgT3zd-DJdQ]
[(12.9698945, 77.57565260000001)],[ChIJAQAAwAsWrjsRBiKimEAOp8w]
[(12.9716527, 77.57647220000001)],[ChIJlTNjXAgWrjsRoQjFOiMEAz0]
[(12.976594, 77.59927100000004)],[ChIJcR7CGkAWrjsRqiZlGeUswwg]
[(12.981495, 77.60781199999997)],[ChIJscGXgmIWrjsRgKP2ix5TsRs]
[(12.9675161, 77.57197199999996)],[ChIJVVVVlQcWrjsRohNVp1140Bc]
[(12.9788476, 77.54092639999999)],[ChIJkx4Rs-k9rjsRGwED-0Vt5-I]
[(12.9539586, 77.54350509999995)],[ChIJhTMngQU-rjsRgg6jdVj-9jU]
[(12.981715, 77.58692999999994)],[ChIJZ9vs72wWrjsR2ztWf-Ba7eU]
[(12.978067, 77.54461700000002)],[ChIJt5cazeg9rjsRoq6h8N1t46E]
[(12.964712, 77.57370330000003)],[ChIJ1YoEEwgWrjsRl6o2AZv1HPA]
[(12.967726, 77.57443050000006)],[ChIJU0HwbAgWrjsRhxaZw8TrjLE]
[(12.9659129, 77.57773320000001)],[ChIJ41XbDOIVrjsRSWxmIlv4wh4]
[(12.9685605, 77.57303189999993)],[ChIJ61xM0QcWrjsRl1BYAMndYOQ]
[(12.9726872, 77.5770728)],[ChIJ1YoEEwgWrjsRSSiLB0d0CDc]
[(12.96873, 77.57440900000006)],[ChIJaTvyYwgWrjsRrzWAGyI04vM]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRoY4LO33idpY]
[(12.9677969, 77.57392430000004)],[ChIJR5r5cggWrjsRmDMqBDkKbJk]
[(12.9675161, 77.57197199999996)],[ChIJVVVVlQcWrjsRQ4lvJF7BkTM]
[(12.9695878, 77.55725059999997)],[ChIJe2EElv49rjsRQwDY0fcuGuA]
[(12.9823254, 77.60617400000001)],[ChIJ____Tx0XrjsRUCMcfmXmaS8]
[(12.9789554, 77.57483760000002)],[ChIJVVVVhVkYrjsRW_8zcpEJ3uA]
[(12.9675161, 77.57197199999996)],[ChIJVVVVlQcWrjsRcIpVSijrrLY]
[(12.9595036, 77.56180429999995)],[ChIJE8R9PncWrjsR0ZveIw-hRAI]
[(12.9677899, 77.57446809999999)],[ChIJOY9ibAgWrjsReYTMZvAztf8]
[(12.9640987, 77.5824232)],[ChIJGcWwVuAVrjsRlSGz7XZTr78]
[(12.978872, 77.54379999999992)],[ChIJgZXcQO89rjsRjnNHbG2t3nA]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR0tLZL9pN-IE]
[(12.969458, 77.53804400000001)],[ChIJW8c8Dt49rjsRNv4xde6_xHI]
[(12.9539373, 77.55193229999998)],[ChIJi9VgNQU-rjsRg_q2agTPSBg]
[(12.9675161, 77.57197199999996)],[ChIJVVVVlQcWrjsRRPfrzG91gSE]
[(12.97131, 77.53051800000003)],[ChIJJwwZtds9rjsRifbnpsqe4Oo]
[(12.968086, 77.57345299999997)],[ChIJV84xdggWrjsRweQ72Hjp4R0]
[(12.9715987, 77.59456269999998)],[ChIJ7Y5UPHcWrjsR8eB_Q9ZrOGs]
[(12.9767689, 77.57796400000007)],[ChIJ2drnFg4WrjsRDtkWamZ0dVY]
[(12.9639107, 77.58399069999996)],[ChIJJ6A0fuAVrjsRrtjCgTk32Pg]
[(12.979368, 77.55494899999997)],[ChIJGcSC3_A9rjsRRtTqencXG7w]
[(12.9642099, 77.55381520000003)],[ChIJN-NlcQc-rjsRvs_iwqxjA5k]
[(12.9707274, 77.52607179999995)],[ChIJZbGawNA9rjsRhM6bUV7TeRM]
[(12.963009, 77.59994099999994)],[ChIJLdkuw9YVrjsR7L88rnoEefc]
[(12.962817, 77.53789400000005)],[ChIJk4bPPnU-rjsRVb9n2xbCbcI]
[(12.951233, 77.52658300000007)],[ChIJxddzQmU-rjsRgLUKSWqSRKU]
[(12.96432, 77.56346699999995)],[ChIJ7bdywP8VrjsR2a4qUbrMUnc]
[(12.9782051, 77.54465419999997)],[ChIJz_2f0ug9rjsR8KJ2jR6vzpM]
[(12.953068, 77.57467700000007)],[ChIJoycA9O8VrjsR_aHkTSvNDQU]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRNZbbUQYv3FQ]
[(12.955506, 77.539894)],[ChIJS84cJQ0-rjsRI5Af_XkLmX0]
[(12.9635303, 77.56845339999995)],[ChIJHbEWzv0VrjsRJoNrSl7lU5I]
[(12.9688619, 77.57365170000003)],[ChIJ691CfggWrjsRqIK5fGqONAk]
[(12.9517847, 77.53479700000003)],[ChIJ3cnflG0-rjsRZnijR1CmGcc]
[(12.9761208, 77.53248359999998)],[ChIJNwsVsMQ9rjsRJne9-MFFlmU]
[(12.982067, 77.59870339999998)],[ChIJrZGWv2UWrjsRS3Zsk12RQKk]
[(12.967319, 77.57272880000005)],[ChIJb9wk5gcWrjsRJnYKxNxJH4w]
[(12.963163, 77.58275230000004)],[ChIJCcoN8OAVrjsRhnTNYnvNd70]
[(12.982382, 77.60625900000002)],[ChIJdUKiXWIWrjsRZnGfGoYj_Qc]
[(12.967172, 77.54250100000002)],[ChIJTxbKqOE9rjsRBXHav807d7k]
[(12.966642, 77.57345439999995)],[ChIJ_0ZvBwgWrjsRCWxFPGBJ4TA]
[(12.9558062, 77.54128400000002)],[ChIJd1NiAw0-rjsRc2dj4mLyz0Y]
[(12.9694027, 77.57447939999997)],[ChIJAQAAjAgWrjsR5mUWS7OxGpg]
[(12.967983, 77.57338299999992)],[ChIJJQem2AcWrjsRzk-lfBo_zHM]
[(12.9538918, 77.55329080000001)],[ChIJay2cKgU-rjsRKkjH0mHqmk8]
[(12.9692441, 77.55880550000006)],[ChIJc_yV4_49rjsRtkVI_Y5sQZo]
[(12.9540859, 77.56507039999997)],[ChIJsdI5efcVrjsRckKz5MjzlvY]
[(12.9731386, 77.57728550000002)],[ChIJrwHmww4WrjsRGTqN2dbmfL4]
[(12.964712, 77.57370330000003)],[ChIJ1YoEEwgWrjsRPTAzznT_oeg]
[(12.968926, 77.57406900000001)],[ChIJa7w5fQgWrjsR9CvhnTp_kjA]
[(12.9748035, 77.5583656)],[ChIJD91_sPk9rjsRkihbwBBfH8E]
[(12.9653992, 77.55670529999998)],[ChIJqXx6Av49rjsRmxzrB4VoAKQ]
[(12.969517, 77.57518299999992)],[ChIJx_Dg8wgWrjsRswvP1bu5wts]
[(12.9633329, 77.55715370000007)],[ChIJTY_PxAA-rjsRqgs9s72Yhp4]
[(12.971599, 77.594563)],[ChIJ_8N9PncWrjsRFQfploHoNuw]
[(12.9610368, 77.54977859999997)],[ChIJaULQmQg-rjsRHQSCmMw-cN4]
[(12.982216, 77.60608350000007)],[ChIJVSygXmIWrjsR1AJMdkIPiMA]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR-gCVYBLQVKA]
[(12.929958, 77.58286199999998)],[ChIJuVHgCp8VrjsRhzgBubk9-Zc]
[(12.9432996, 77.62153030000002)],[ChIJD5FpwkcUrjsRf0QT8nTrLQI]
[(12.9565185, 77.70079329999999)],[ChIJZYHHQTMSrjsRtp0wicNIxyc]
[(12.96648, 77.63713600000005)],[ChIJLSs-kagWrjsR5kDixrk36tE]
[(12.9762231, 77.62688170000001)],[ChIJl8J9UZgWrjsRJvtkG9ve0No]
[(12.9169395, 77.60030699999993)],[ChIJGYem4h49rjsRviz2qveOt1U]
[(13.0125545, 77.62756480000007)],[ChIJm3pftOEWrjsRs7CqimtjBno]
[(12.9918142, 77.57015290000004)],[ChIJ46y9qSMWrjsRHubRoTZMPMo]
[(12.922654, 77.63920499999995)],[ChIJ7Y1rtYkUrjsRpoij8d9XpFo]
[(12.910341, 77.67953)],[ChIJMc2snxMTrjsRrglhWiVlr1s]
[(12.9383948, 77.63135720000002)],[ChIJ7XqmDUMUrjsRNkzlOj6m4HA]
[(13.000187, 77.61805600000002)],[ChIJb7tVN_AWrjsROZq7OpTrubw]
[(12.983574, 77.560201)],[ChIJMSNzSYI9rjsRfwi1CBJPmrs]
[(12.973483, 77.615767)],[ChIJA0PAVHwWrjsR-FyqRpe141E]
[(12.957135, 77.70014900000001)],[ChIJN6eoMDMSrjsRgpeyP78qJgc]
[(12.969556, 77.51568999999995)],[ChIJnxqHriw8rjsRNQhTg0vbMh0]
[(12.9969147, 77.57545800000003)],[ChIJ5T4_GzsWrjsR-VnnqzK9j0k]
[(13.003368, 77.57127500000001)],[ChIJsTrXTy4WrjsR2K5Xp_sMvJk]
[(13.0006509, 77.53536359999998)],[ChIJh7_rY6M9rjsRI2lLebKtWbc]
[(12.98506, 77.54691100000002)],[ChIJEUMG-uw9rjsRbgBvkNYN6nU]
[(12.9330808, 77.579339)],[ChIJvYasU5cVrjsRCPcoQr8GlfY]
[(12.9565341, 77.70070599999997)],[ChIJE9OtQTMSrjsRzc_ck86jv6w]
[(12.9600885, 77.61547359999997)],[ChIJ4ZJdBOEVrjsRcMhnBhKwZ94]
[(12.9458744, 77.60280450000005)],[ChIJ23KHEMoVrjsRpb5VUXF1yoE]
[(13.0192143, 77.55724310000005)],[ChIJqQKFiXw9rjsRx6IHu5R_Sz8]
[(12.972673, 77.51268099999993)],[ChIJ77oYfjI8rjsRp5jRSUeW5MM]
[(12.972567, 77.65087700000004)],[ChIJa2MCmyQXrjsRbFykwPByBd0]
[(12.9243554, 77.57735230000003)],[ChIJjRtVSZwVrjsRwkqSYMmFcyk]
[(12.9872727, 77.61639009999999)],[ChIJ_3mtso0WrjsRND5Ybx1cGDQ]
