[(12.9763825, 77.57823170000006)],[ChIJUVaYUiUSrjsRofUMppGxhZ4]
[(12.9750354, 77.60527690000004)],[ChIJUd4-TnwWrjsRJn7FI8AO8Z0]
[(12.9753779, 77.60367329999997)],[ChIJLU6lP4cWrjsRY240XbedctA]
[(12.95862, 77.56517099999996)],[ChIJpb_KGPkVrjsRVW3EvlrtAAU]
[(12.9731895, 77.60821039999996)],[ChIJl-xspYAWrjsRYygSMoeSMWQ]
[(12.958567, 77.55926699999998)],[ChIJIfWoNQI-rjsR7xYJnS4v8H0]
[(12.9753292, 77.60557570000003)],[ChIJKa3bM34WrjsRI8jZRwGAeaw]
[(12.9754001, 77.60484559999998)],[ChIJTahDTXwWrjsRYwgrYCUB8_I]
[(12.972233, 77.58098300000006)],[ChIJT3GxjgkWrjsR8Wn23tCvouI]
[(12.9613284, 77.57538150000005)],[ChIJ60izMXYWrjsRABFO6OwatGQ]
[(12.9744858, 77.60760379999999)],[ChIJvd7C9X0WrjsRK2vsMX-z2SU]
[(12.975343, 77.57869000000005)],[ChIJz4nFWjcSrjsROt_-IflbGU0]
[(12.9742193, 77.60994549999998)],[ChIJ9wB3_n0WrjsRjEtTWiVO05s]
[(12.9790942, 77.57940380000002)],[ChIJM8o8hRYXrjsRGC2sHT2qnK4]
[(12.9611162, 77.57557999999995)],[ChIJYYO-ZOMVrjsR1C6I4c9oNhE]
[(12.9735605, 77.60131999999999)],[ChIJ9wUrjXsWrjsRAIozXaoKgu8]
[(12.97727, 77.57732199999998)],[ChIJo8_XIw4WrjsR6G2z612yiNA]
[(12.9634479, 77.59436219999998)],[ChIJQelPStkVrjsRmTzvxs6RZfQ]
[(12.9747963, 77.60966080000003)],[ChIJa949PIcWrjsRD0nS5SpSPjs]
[(12.974756, 77.60983220000003)],[ChIJrbT-r4gWrjsRqtJ2xqyPLRs]
[(12.97958, 77.58389)],[ChIJwSxMpkEWrjsRrCXodbS6Wsk]
[(12.9756647, 77.57753060000005)],[ChIJOQeCQw4WrjsRgioa2c5FsHk]
[(12.968702, 77.57901420000007)],[ChIJT3GxjgkWrjsRHdAGltF-b8A]
[(12.975627, 77.57800900000007)],[ChIJz4nFWjcSrjsRmT4HDjRR14M]
[(12.9701896, 77.57999819999998)],[ChIJu2sDwwsWrjsRvSfNAsuCQWg]
[(12.9591456, 77.58989429999997)],[ChIJFZ2retwVrjsRgwQumrmC1pQ]
[(12.974481, 77.57821799999999)],[ChIJg_jZjg4WrjsRxFMjOcvmKno]
[(12.9698269, 77.57561110000006)],[ChIJ-Z06a5MVrjsRlfHUwwzGxKw]
[(12.967244, 77.57791799999995)],[ChIJ0Q376AkWrjsRzkCulRiGZqc]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRNPZPDvo92hI]
[(12.974833, 77.60531700000001)],[ChIJy2kOtn0WrjsRLAQ1VMX9ZO0]
[(12.9549602, 77.56522500000005)],[ChIJGzpu0fkVrjsRaNoM9Lj7Sfk]
[(12.96555, 77.53711699999997)],[ChIJgzrBlt89rjsRy5P5tyIF-EE]
[(12.9748, 77.60571700000003)],[ChIJs_kKuH0WrjsRct0hpm6kRtI]
[(12.958505, 77.51916600000004)],[ChIJGV6hlnA-rjsRCkQfQEQ7z14]
[(12.9658683, 77.57776330000002)],[ChIJB8TYDOIVrjsRpi0tLSsvFSo]
[(12.9702267, 77.58001519999993)],[ChIJu2sDwwsWrjsRb20US5hmUMo]
[(12.960259, 77.6004964)],[ChIJN2AbFdEVrjsRWF6pci9kzNg]
[(12.967233, 77.58611700000006)],[ChIJDcZKXHUWrjsRYIJR6p30hBE]
[(12.971151, 77.60837830000003)],[ChIJ50u6hYAWrjsREd5rzTQQBzo]
[(12.9713761, 77.58034580000003)],[ChIJJeiT7QsWrjsR4Zj53ORKD7s]
[(12.9793024, 77.5771168)],[ChIJaQu7uREWrjsR3Mu5_AKbarA]
[(12.9751, 77.60563300000001)],[ChIJ9exXt30WrjsR1QhGXETGsD0]
[(12.96997, 77.57562050000001)],[ChIJ_aB25QgWrjsR5K_xTeUgmGI]
[(12.966535, 77.57614699999999)],[ChIJHa3ZKwgWrjsR9_DpL0CB5Uw]
[(12.9672505, 77.59939020000002)],[ChIJezZqpYAWrjsRXlGrs0jqT9s]
[(12.975737, 77.60223999999994)],[ChIJO2TYfnwWrjsROP9mXX0hmCg]
[(12.9666322, 77.60811790000002)],[ChIJfbwutCoUrjsR7vIzeXctM0Q]
[(12.968186, 77.57874400000003)],[ChIJqfgCjAkWrjsRJ-Z7mquL68w]
[(12.966408, 77.57830000000001)],[ChIJXWInCOIVrjsRGdybVc8IRF8]
[(12.9635207, 77.5821062)],[ChIJAUx4DMZxBRERqLxuAJQjKj8]
[(12.9726081, 77.58432560000006)],[ChIJK_siqQwWrjsR_LShQBcNcRA]
[(12.971308, 77.58030200000007)],[ChIJrdG37QsWrjsRtq0w_t13k_k]
[(12.970942, 77.52945399999999)],[ChIJDxbiONo9rjsRIndD5wQP_3U]
[(12.9754138, 77.53594640000006)],[ChIJc9pL1Nw9rjsRWWj_VFb3nB4]
[(12.97794, 77.57660799999996)],[ChIJcVoD1BEWrjsRK1gA95wM_-g]
[(12.9566805, 77.52891890000001)],[ChIJlefllHA-rjsRV0zggEM3sB4]
[(12.977084, 77.57991100000004)],[ChIJC5Ad8A0WrjsRDkiuTl2vpwE]
[(12.9709983, 77.58082890000003)],[ChIJQ9Y7lAsWrjsRgDeXlrKF-cw]
[(12.968732, 77.57466899999997)],[ChIJn2HWYAgWrjsRiS3Bx9f5LbU]
[(12.9796951, 77.57712500000002)],[ChIJu9jcuhEWrjsRgS2Ozwi7kPE]
[(12.9665505, 77.57811579999998)],[ChIJsZdD4gkWrjsRMyd5PpMId7U]
[(12.9704269, 77.57990500000005)],[ChIJp19JwwsWrjsRAiY3HqXnsYM]
[(12.9701259, 77.61040530000002)],[ChIJ5-9GT4AWrjsRNR6PtYY_V4w]
[(12.9704675, 77.58009770000001)],[ChIJ8XOK7AsWrjsR5xEM2rQUup0]
[(12.9733602, 77.58052129999999)],[ChIJleApFQwWrjsROAxRKQXGqhw]
[(12.9752907, 77.606266)],[ChIJLU6lP4cWrjsRFqdvO1vWk3o]
[(12.9719702, 77.58062789999997)],[ChIJu2sDwwsWrjsRsb7XRcno3eE]
[(12.9689839, 77.57934380000006)],[ChIJu2sDwwsWrjsRpFTfr_TrweY]
