[(12.9735595, 77.60171500000001)],[ChIJjz6w_nsWrjsRNQRXvJRbVN4]
[(12.9740083, 77.60160429999996)],[ChIJv0Jb-XsWrjsRXNUs8Ow21B4]
[(12.9744637, 77.54670910000004)],[ChIJH538Vd49rjsRKR78RkSvsts]
[(12.972835, 77.60827199999994)],[ChIJ2ao8r4AWrjsREjTDV_uU0QY]
[(12.9737006, 77.60181920000002)],[ChIJGyLO33gWrjsRgUHTPDcwVaE]
[(12.9626582, 77.5897956)],[ChIJPV8TuN4VrjsR-HXHb-Qsarg]
[(12.952524, 77.59486900000002)],[ChIJIxKEosUVrjsRx0A_67VN83U]
[(12.9739577, 77.60185630000001)],[ChIJi1cm93sWrjsR3fAlvo-U2T4]
[(12.975261, 77.59966499999996)],[ChIJVxryMds8rjsR6sE-MHqEz8o]
[(12.9743683, 77.59932700000002)],[ChIJC4tBy3sWrjsRnILMT-tD5CI]
[(12.9736488, 77.60186769999996)],[ChIJO-UQI3kWrjsRqlEq29gbJt0]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRk2ti2lsICT0]
[(12.971752, 77.5959206)],[ChIJrzs9XHcWrjsRjPnGwv3fjgA]
[(12.953479, 77.57770400000004)],[ChIJiyJPRu8VrjsR3BY-kb7SWGA]
[(12.966874, 77.59873600000003)],[ChIJezZqpYAWrjsRtWqX6tfXZBE]
[(12.9665, 77.613115)],[ChIJ9WYtIioUrjsRO6LAkL_xZV0]
[(12.9670502, 77.59868860000006)],[ChIJV03S1tcVrjsR_Qzevjr0zWA]
[(12.965414, 77.59800700000005)],[ChIJOf_1vNcVrjsRBaHFBOVSxk0]
[(12.9729801, 77.61396339999999)],[ChIJhUZU44MWrjsR-VbFgkEL40o]
[(12.9729309, 77.59953089999999)],[ChIJHV-yw2kWrjsRuYXCInpy-f8]
[(12.9731739, 77.56927280000002)],[ChIJq6qqagEWrjsRHOAuqCaI7GU]
[(12.9572551, 77.59258729999999)],[ChIJ4dfMstsVrjsRkHnvOXex05E]
[(12.969847, 77.61076819999994)],[ChIJsV8Rs4EWrjsRpOwm2LkxrP4]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsRNIJik1qproM]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRBOOiJaqTW1k]
[(12.9661421, 77.60579380000001)],[ChIJc7idFdUVrjsRRs4tX6dHsr0]
[(12.9797994, 77.53828810000005)],[ChIJQ8aHbcI9rjsRo-vHr_Qnvzc]
[(12.9721264, 77.56625400000007)],[ChIJq6qqqvk9rjsRIu5TepfJ4io]
[(12.961694, 77.59499699999992)],[ChIJH9YZ9dkVrjsRvM6d8FbAjlo]
[(12.9672014, 77.60621749999996)],[ChIJAaL-XNUVrjsRr6OWUUb9m10]
[(12.978307, 77.57964500000003)],[ChIJVVVVEHX5rjsRmod-oP3gd1U]
[(12.9604849, 77.58826320000003)],[ChIJQQZhpN0VrjsRtsWtjO1oBc8]
[(12.9720447, 77.59583470000007)],[ChIJ92ivWncWrjsR-epfuJM-xw4]
[(12.975955, 77.55806899999993)],[ChIJrZ--xPk9rjsR2aiFfpjqUmY]
[(12.96004, 77.58374400000002)],[ChIJE8R9PncWrjsRq-PkzTmudGU]
[(12.9633823, 77.60348939999994)],[ChIJAQAAQNQVrjsRH6qZl16v2Nk]
[(12.9753164, 77.54655109999999)],[ChIJfQY7kuU9rjsRjT2T4MNNL0w]
[(12.9581928, 77.58634940000002)],[ChIJaaWjpN0VrjsRfBFVRRPOvr4]
[(12.975382, 77.54698299999995)],[ChIJlamUmuU9rjsRYumxcQ28mDQ]
[(12.9715987, 77.59456269999998)],[ChIJAQAAAPM9rjsRd42FL475Mq4]
[(12.9587831, 77.56590260000007)],[ChIJE8R9PncWrjsRORYYgD-JMi0]
[(12.960272, 77.58115699999996)],[ChIJcb-Xz-YVrjsRPGtwwAC4Xac]
[(12.972735, 77.57577200000003)],[ChIJG9X4tPkTrjsRfjCJHm8D0vQ]
[(12.9715987, 77.59456269999998)],[ChIJ_5FeMIcWrjsRIo3yM3qrO2Y]
