[(12.981464, 77.60060499999997)],[ChIJA_7CMW8WrjsRRvg3PCUgORU]
[(12.97192, 77.59498600000006)],[ChIJtwu7W3cWrjsRkdq_7HW-Udc]
[(12.964683, 77.580917)],[ChIJE8R9PncWrjsRZ1s9Us0im_I]
[(12.971598, 77.594562)],[ChIJF8V9PncWrjsR5m-mJBqzeGM]
[(12.957093, 77.57044199999996)],[ChIJ_Yy25PoVrjsRSdMCiGVpT6g]
[(12.970413, 77.54035499999998)],[ChIJnSCzS-c9rjsRbRyMSVnz_bo]
[(12.9644582, 77.53278669999997)],[ChIJveIZqdg9rjsR-PeL5ZyDByA]
[(12.956459, 77.559123)],[ChIJL1J3_QI-rjsROP0t8PEI4as]
[(12.9588978, 77.5240407)],[ChIJw1gScHk-rjsRSPZ52BZhYVc]
[(12.954227, 77.59128099999998)],[ChIJK2EimMQVrjsR7iIWiVTBjnU]
[(12.968032, 77.53047300000003)],[ChIJPQPFL8M9rjsR5RSKztX6P14]
[(12.9506074, 77.57539759999997)],[ChIJ16gbWe4VrjsRQQr6gTIm6tM]
[(12.9581812, 77.59230249999996)],[ChIJJ8EUDNsVrjsRPQKm-Evdbbw]
[(13.027191, 77.577542)],[ChIJMV6JasQXrjsRXGMKQFb0jW8]
[(12.986083, 77.67101600000001)],[ChIJP92ySWYRrjsR2hMk7QWztNc]
[(13.029593, 77.63444700000002)],[ChIJg3JhRjwXrjsRZYmtWZfL5cc]
[(12.9348627, 77.61174289999997)],[ChIJRQRkh00UrjsRXWs5A71OelI]
[(13.0087191, 77.65604239999993)],[ChIJ676ZjiwRrjsRvNgjtIRrKTk]
[(12.9151233, 77.67251609999994)],[ChIJAayTbnITrjsRXUKeTUI42bI]
[(12.926822, 77.59437500000001)],[ChIJm-tLbqYVrjsR3c_mqosl2fs]
[(13.014587, 77.64259300000003)],[ChIJaUfE_dcWrjsRcum_YZYJkq8]
[(12.9122879, 77.64397000000008)],[ChIJTyiuxZoUrjsRXheCWKBTIGI]
[(12.914958, 77.58556099999998)],[ChIJjWzNugwVrjsR1nJ46kK6m9c]
[(12.985507, 77.67132200000003)],[ChIJ5QWpvkkRrjsR5E0BvetrD4w]
[(13.015039, 77.68098399999997)],[ChIJVVVVFR4RrjsRsRiEMtRH6XE]
[(12.923238, 77.55408799999998)],[ChIJpzUCWiw-rjsRYRdV1XQJIsI]
[(12.9708025, 77.71321089999992)],[ChIJu07RxiMSrjsRoftv1T9Yra0]
[(12.9863497, 77.53747959999998)],[ChIJrZCEcsA9rjsRAfRyRvqSuNA]
[(12.93708, 77.61164899999994)],[ChIJBVOMTEwUrjsRAPR3xV-4sHk]
[(12.919481, 77.66720099999998)],[ChIJmTvdxB4TrjsRmuguaKOM33k]
[(12.9661163, 77.70188959999996)],[ChIJo_j6fSsSrjsRD7aQGyCPBr8]
[(12.9123446, 77.67655100000002)],[ChIJz3JWuxITrjsRz553RiSPmRI]
[(12.9859822, 77.48713550000002)],[ChIJpWHnoWw8rjsRIZJl1u3n0hU]
[(12.93417, 77.62352099999998)],[ChIJ9_orNlsUrjsR_4WYHb2UFAg]
[(12.9360545, 77.51757729999997)],[ChIJHUqPOF8-rjsRkjjS2Ek8D1Q]
[(12.934192, 77.63014799999996)],[ChIJ5fDArU8UrjsREzEUjV_qo44]
[(12.9868528, 77.73650850000001)],[ChIJTVuxH-URrjsR-xHlGXo9Zak]
[(13.042957, 77.55141200000003)],[ChIJGbgekFo9rjsREQ5JTX8K-8s]
[(12.97125, 77.65029400000003)],[ChIJxRZnZ6oWrjsRs_vjg9FBNgk]
[(12.9349497, 77.61316650000003)],[ChIJR9lT400UrjsRfQyzVlVUtYE]
[(13.0250356, 77.6279247)],[ChIJk_pBKxgXrjsRew22X1aR27Y]
[(12.9442981, 77.65162069999997)],[ChIJ9VJRpnUUrjsRuiDSw-yySW0]
[(12.9750737, 77.66989239999998)],[ChIJGWWBR1kRrjsRn6Du3euZ1DA]
[(13.019819, 77.65648399999998)],[ChIJy7nVYdQQrjsRuBPprQaz75E]
[(12.9166955, 77.56213909999997)],[ChIJGZL8Jn4VrjsRyMWa3mfjTTo]
[(12.9232255, 77.66761059999999)],[ChIJ8TXQrXcTrjsRwD1jT23TP20]
[(13.024464, 77.65885300000002)],[ChIJMQjuLtIQrjsRiv4mqh_zec8]
[(12.9467563, 77.59440840000002)],[ChIJ9995MPEUrjsRsvo6v9Is1DM]
[(12.9721725, 77.69604779999997)],[ChIJoXOxKX4RrjsR0PWPuhjCTMo]
[(12.9618993, 77.70216159999995)],[ChIJu3ezdy0SrjsR4PRqqD1CGPE]
[(12.9974767, 77.54503969999996)],[ChIJn0IztJA9rjsRbPAhTmkzsgc]
[(12.9423356, 77.60838269999999)],[ChIJa21HKEsUrjsRN-6kH-32rVg]
[(12.9427398, 77.58298289999993)],[ChIJ95C4PZUVrjsR7OFbqkIS9XQ]
[(13.0209159, 77.65678120000007)],[ChIJuRclf9QQrjsRuN_W2_hMCjY]
