[(12.958501, 77.58741299999997)],[ChIJK0PYq90VrjsRLuELwyMYZPM]
[(12.969044, 77.57684500000005)],[ChIJgcBCsggWrjsR0T5d20kP1ho]
[(12.954377, 77.58384699999999)],[ChIJDYtEEegVrjsRoapx3L-kQv4]
[(12.958557, 77.58752500000003)],[ChIJYbisq90VrjsRVulqG6caTtM]
[(12.956059, 77.57219199999997)],[ChIJddsCv_oVrjsRsmuXBbdzvoI]
[(12.9720408, 77.57678080000005)],[ChIJE8R9PncWrjsRFBIg4oUR6tw]
[(12.9549389, 77.5815814)],[ChIJU_GWLOIVrjsRyL0osb5dqu0]
[(12.957867, 77.58293300000003)],[ChIJrYZApxgVrjsR1b7ZNdN0UgE]
[(12.9645568, 77.53132329999994)],[ChIJ2d0Hm9g9rjsRRKZ1ezegfCU]
[(12.976517, 77.522967)],[ChIJjdZAa849rjsRRo5wD80YWtI]
[(12.9536215, 77.58243059999995)],[ChIJ29kKX-gVrjsRFpCFOns9Xg8]
[(12.9599163, 77.58322099999998)],[ChIJmzD0ud8VrjsRlA2AQCrIhdo]
[(12.961333, 77.52199999999993)],[ChIJ2Tqn03g-rjsRMqNQ5exM8lQ]
[(12.965019, 77.52317900000003)],[ChIJeUTru9A9rjsR3-qADtTZWys]
[(12.9526976, 77.56883900000003)],[ChIJ0y0Lw_AVrjsR8UZIVo1shSg]
[(12.970033, 77.57508299999995)],[ChIJAQAAwAsWrjsR-d5Qr5Xb4RA]
[(12.9775662, 77.53892489999998)],[ChIJIc4KnsI9rjsRtTUjJ96_u0Q]
[(12.95702, 77.58024)],[ChIJa1tOaeYVrjsRCtsQcXxIwtw]
[(12.977867, 77.54494999999997)],[ChIJTTCmxeo9rjsRrSk8bmhgqwI]
[(12.9579846, 77.53542949999996)],[ChIJAQAAkHM-rjsRzSI3wkNNz3E]
[(12.964617, 77.58119999999997)],[ChIJb4pguuEVrjsRP72_aVx8HPI]
[(12.9606293, 77.60040070000002)],[ChIJhUboPtEVrjsRfsFF44pBaWY]
