[(12.964642, 77.59711900000002)],[ChIJ7XPSx9UVrjsR-P40JdAaFL0]
[(12.96535, 77.60455400000001)],[ChIJSXHTrtUVrjsR32y7TYmWY0I]
[(12.9690174, 77.59724159999996)],[ChIJb3wK1B0UrjsRQ0b7YkIN_S0]
[(12.9687791, 77.60616119999997)],[ChIJE51nTE4UrjsR_KHQcTTPNno]
[(12.971281, 77.60793000000001)],[ChIJD3HdgoAWrjsRzU1P7EkbFbE]
[(12.9672046, 77.60902060000001)],[ChIJw63XvCoUrjsR5rlfZetHX4w]
[(12.968971, 77.59721000000002)],[ChIJk-UEPXgWrjsREZJlVvZxPw4]
[(12.965123, 77.59368799999993)],[ChIJpxm4WdgVrjsRl97MLq8z35Q]
[(12.9714671, 77.59791619999999)],[ChIJJwAAAHEWrjsRLZIr4_Kvsl0]
[(12.9778404, 77.57712319999996)],[ChIJ5w6z2REWrjsRT5KJtCB5OII]
[(12.974387, 77.60316999999998)],[ChIJG6e7qn8WrjsRYpMxxkCu-Og]
[(12.971372, 77.54237599999999)],[ChIJYTaG2-Y9rjsRZIphT2cAN0s]
[(12.970828, 77.59819700000003)],[ChIJ7dTYYHcWrjsRLB4o2Cetx_4]
[(12.9750646, 77.53087240000002)],[ChIJrXc3LNs9rjsRi5N3rotG91g]
[(12.9703996, 77.59953380000002)],[ChIJF_WGAXkWrjsRHQiRNWJx2q4]
[(12.969441, 77.60023699999999)],[ChIJp03sn34WrjsRkedRbJn79BQ]
[(12.9735587, 77.61233440000001)],[ChIJZeoNS4EWrjsR3NHH_cJK4m0]
[(12.9586539, 77.55679350000003)],[ChIJz2WH8QM-rjsREYOtV2k9V38]
[(12.9693649, 77.53646879999997)],[ChIJKy5Qe949rjsRO3vSQUvO6RU]
[(12.9689761, 77.60205210000004)],[ChIJdSGryngWrjsRuHXN2Xxj9P0]
[(12.971982, 77.59435200000007)],[ChIJHWD4OncWrjsRAmWhn39-kWM]
[(12.9692049, 77.60024429999999)],[ChIJyxxl63gWrjsR8FrybrHoyuE]
[(12.959498, 77.52783399999998)],[ChIJ_eiTXnc-rjsRtQ0eQ5jg2R4]
[(12.966265, 77.54348000000005)],[ChIJd_0cleE9rjsRGglVUsN_mys]
[(12.9713207, 77.60598329999993)],[ChIJpynjRX4WrjsR2tvp4rOu82Y]
[(12.9581541, 77.58464449999997)],[ChIJlw7IgecVrjsREWOwiIpWIQk]
[(12.973038, 77.52874700000007)],[ChIJ6zeyjdo9rjsRrWWeO0RSex4]
[(12.9720892, 77.53655260000005)],[ChIJ7Y5UPHcWrjsRZQU6jsp_lmA]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRbWzJ-d8Iils]
[(12.974052, 77.53612900000007)],[ChIJk7gqncM9rjsRSktE8A2gVno]
[(12.959317, 77.53625)],[ChIJbVq8h3Q-rjsRbSiAWkg1UwY]
[(12.973071, 77.60713699999997)],[ChIJ9wB3_n0WrjsR5G1uZfuiOTs]
[(12.9556168, 77.56752719999997)],[ChIJOS-E9vkVrjsRGuIQa9xDbHg]
[(12.973267, 77.55016699999999)],[ChIJY0g91OQ9rjsRlGcsIK2o8E0]
[(12.981381, 77.554035)],[ChIJX8UjcPE9rjsRP2TQGIMLXtA]
[(12.9688715, 77.53596570000002)],[ChIJ96Ayit49rjsRSwpVRUVQah0]
[(12.9734757, 77.58054130000005)],[ChIJ3VcxFQwWrjsR_uHy5wmPGv0]
[(12.9671009, 77.59270049999998)],[ChIJw-ppndgVrjsRHrfDRAwLH6U]
[(12.9583, 77.60533299999997)],[ChIJdeg68dIVrjsR7jYNsokJVuI]
[(12.9802952, 77.57487200000003)],[ChIJnWbrXxAWrjsRZ_21ECgWDhM]
[(12.969825, 77.58341339999993)],[ChIJB05GHwsWrjsRJQjwRsb3918]
[(12.9581928, 77.58634940000002)],[ChIJVVVVBRMSrjsRmgQT77AYQps]
[(12.9778338, 77.5358129)],[ChIJW5umBMM9rjsRr9u_EiOWU6o]
[(12.9654288, 77.5383779)],[ChIJb3zIxHk-rjsR39d8DL1Y8kg]
[(12.9682436, 77.57013239999992)],[ChIJKxo5BgcWrjsR0ZM2gBpx2As]
[(12.9719047, 77.57691690000001)],[ChIJn9vkQgkWrjsRlWY_xAcE-vo]
[(12.9698858, 77.53327960000001)],[ChIJVVVVVdk9rjsRFlS3GMWdh5Y]
