[(12.9690342, 77.61346049999997)],[ChIJowYp9oEWrjsRCDrkK5ttPOw]
[(12.9610598, 77.57230379999999)],[ChIJN_U_o_wVrjsR4XkEErrinKs]
[(12.9633889, 77.57381940000005)],[ChIJ54EQ1uIVrjsRHnL6tjMIfW4]
[(12.9574179, 77.60504689999993)],[ChIJNa6PidIVrjsRZD4gN0fcEjQ]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRK0ESROKG6KI]
[(12.9564072, 77.58280669999999)],[ChIJ8YpAFucVrjsRYWD0KwCYXyc]
[(12.9614477, 77.57400929999994)],[ChIJUR4xTuMVrjsR29-MNkIRgAM]
[(12.9603771, 77.59295299999997)],[ChIJGUGlxdsVrjsRREBYfGQLSQ8]
[(12.9535133, 77.57116559999997)],[ChIJAQAAwJIVrjsR4Xn1wQxeQ5I]
[(12.9821657, 77.60427700000002)],[ChIJictGtGMWrjsRB6Qf8MRSiSo]
[(12.9674105, 77.58737020000001)],[ChIJYzAoenUWrjsRo58XzFIXoIg]
[(12.9640845, 77.5982315)],[ChIJIblfCdcVrjsRsihrwH1QblQ]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRbZ77nVB9zmc]
[(12.9805246, 77.60344620000001)],[ChIJ9dpTfWMWrjsRBItJundymE4]
[(12.9706949, 77.58612470000003)],[ChIJ_0ALx3QWrjsRb3rqY2IAKK0]
[(12.9603179, 77.59596119999992)],[ChIJy71_C9oVrjsRl6Ztd-KWlZI]
[(12.9728288, 77.56585840000002)],[ChIJ-2IymAMWrjsR1ZM3qQe8JvA]
[(12.9642722, 77.58963240000003)],[ChIJk10_Id8VrjsRR6cETBleFNE]
[(12.9676356, 77.5413403)],[ChIJff_5-OA9rjsR53mHQE3Pz6E]
[(12.968067, 77.52396699999997)],[ChIJU6dS3dY9rjsRrFZXrF_QzxY]
[(12.968064, 77.59506770000007)],[ChIJsxA46HcWrjsR5gE190Iyg1c]
[(12.9530283, 77.59815730000003)],[ChIJi8lqCc8VrjsRPicPRfA44bg]
[(12.963053, 77.59974)],[ChIJIyAH3dYVrjsRD2fkoKBgkfo]
[(12.9755446, 77.53142950000006)],[ChIJB6ySzMQ9rjsRB0mxdamoPYI]
[(12.9671876, 77.5894075)],[ChIJMYkL83UWrjsRatVGAS1pWF0]
[(12.965762, 77.60011789999999)],[ChIJv1OUl3gWrjsRwlOYtXSYuFg]
[(12.956353, 77.57411400000001)],[ChIJJ1n4N-UVrjsRD8F-uN1RPz8]
[(12.9822629, 77.6033883)],[ChIJi6r1mGMWrjsRyZRkJSPsSYw]
[(12.9571694, 77.56436980000001)],[ChIJqeyIVvgVrjsRmjegaV-9u4s]
[(12.9607445, 77.5715983)],[ChIJrcEvg_wVrjsRy29A0_Rhp-s]
[(12.9578729, 77.60446079999997)],[ChIJ____P84VrjsR4DTVy0dgNt4]
[(12.971579, 77.57734099999993)],[ChIJHZYxMQkWrjsRHXfV3VesZAk]
[(12.9715987, 77.59456269999998)],[ChIJq6qqqmEVrjsRNaVCSBnd5bo]
[(12.952478, 77.57724800000005)],[ChIJC3ePHO8VrjsRNs1nr2vNevk]
[(12.961924, 77.57286690000001)],[ChIJQXnAy_wVrjsRA2WcQuxEkkk]
[(12.9753598, 77.54215199999999)],[ChIJcRuy0-c9rjsRtreiNA3arYE]
[(12.9656011, 77.60455630000001)],[ChIJiX17MywUrjsRJGRUj23dPPo]
[(12.957794, 77.60450200000002)],[ChIJhYuhPF0WrjsRGdr39fTdGVE]
