[(12.9502622, 77.59650859999999)],[ChIJG-Yhq8gVrjsRuoE3QNqhOQc]
[(12.9591006, 77.58305689999997)],[ChIJp51jEecVrjsROiwtZfsdkIs]
[(12.980503, 77.60336600000005)],[ChIJ9dpTfWMWrjsR6hYvUjSA_aA]
[(12.9747587, 77.60787010000001)],[ChIJ9wB3_n0WrjsR4nqi5Fi82YM]
[(12.971598, 77.594562)],[ChIJF8V9PncWrjsR5m-mJBqzeGM]
[(12.979429, 77.57710850000001)],[ChIJleEguhEWrjsRrW_cckoa0ZQ]
[(12.9806732, 77.55781569999999)],[ChIJ-Z406vY9rjsRu0gHqwr2QdY]
[(12.969483, 77.5743)],[ChIJT3GxjgkWrjsRZS0bh6hkOBM]
[(12.9548148, 77.58277739999994)],[ChIJ5zOJcOgVrjsRCqzn73kieYw]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRiVztE9swqks]
[(12.9792422, 77.59242429999995)],[ChIJNbh7PG4WrjsR0ZyZoqVplMU]
[(12.972033, 77.60739999999998)],[ChIJxecGIn4WrjsRZsZVvPumPYk]
[(12.958967, 77.529)],[ChIJAXvZN3c-rjsRffIHqs0R_eA]
[(12.9816776, 77.60798049999994)],[ChIJw4nLK4gWrjsRH5YIebCa1Ws]
[(12.9744134, 77.6077249)],[ChIJ9Y5SYIcWrjsRadO8sQewVc0]
[(12.9594363, 77.53060000000005)],[ChIJAcnh2HY-rjsRtIjOZ39Lr_Y]
[(12.9714806, 77.60700729999996)],[ChIJ9wB3_n0WrjsRGwU_If2s2vU]
[(12.969588, 77.60645599999998)],[ChIJERw5x38WrjsR46LjhS2KfJY]
[(12.9809243, 77.57462340000006)],[ChIJO59dQBAWrjsRiqxIEf5Ui7A]
[(12.9523365, 77.5232843)],[ChIJgWewymQ-rjsRUQMNfl_tFLs]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsReFRg9lvXT_Q]
[(12.9566442, 77.59905860000003)],[ChIJ416QDtAVrjsRPVZUTUFGYkc]
[(12.955483, 77.55804799999999)],[ChIJhVvvPQM-rjsREhUb9TWGXdM]
[(12.9587, 77.52158299999996)],[ChIJVxWPrX4-rjsR_TD3U8kY6To]
[(12.9685242, 77.61273069999993)],[ChIJE1Ln5IEWrjsRjaDaRjOGw7E]
[(12.973214, 77.60793009999998)],[ChIJm3cSBn4WrjsRfeqIArfn5qk]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsRv7T7lOdp8Ag]
[(12.960833, 77.53713300000004)],[ChIJ1XBC73Q-rjsR9kU6k9F2tBQ]
[(12.957983, 77.52141699999993)],[ChIJz6QFAnw-rjsRQf4HfBB3TLI]
[(12.956633, 77.53338299999996)],[ChIJb41e2HM-rjsRe-y2IkxI7_g]
[(12.9789554, 77.57483760000002)],[ChIJVVVVhVkYrjsRK3YvR5k_30E]
[(12.9706783, 77.60061399999995)],[ChIJGyLO33gWrjsR9Modcyqb8Dc]
[(12.958149, 77.57631800000001)],[ChIJnVrlVeQVrjsRinfSXJN3Vzo]
[(12.9623863, 77.59312699999998)],[ChIJfX7RdtkVrjsRsXYwyuzPrBc]
[(12.982817, 77.60923300000002)],[ChIJIzALuIkWrjsR0p57lO3ha48]
[(12.956817, 77.56958299999997)],[ChIJ20tiT_oVrjsRCR97es3vBHE]
[(12.9709841, 77.57180300000005)],[ChIJT6dubQYWrjsRn1h9i2r_PVg]
[(12.9818, 77.60781700000007)],[ChIJI5uGKogWrjsRBPwBrHe0RKk]
[(12.9612957, 77.52618069999994)],[ChIJTw58NXg-rjsRPOi1TEGgroE]
[(12.964507, 77.531204)],[ChIJV5Fem9g9rjsRD_4byw4tvFg]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRm3-_3ao-ADk]
[(12.963251, 77.57752299999993)],[ChIJQTIztOMVrjsRttsBafXlCb8]
[(12.961421, 77.61376999999993)],[ChIJycfLpi4UrjsRd6wz_QTEYm8]
[(12.9576, 77.57753000000002)],[ChIJE8R9PncWrjsR5wCi5gENIEU]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRtY6FdbFe51I]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR2P4qT6Tf5vg]
[(12.9757447, 77.53434870000001)],[ChIJoZKBTMM9rjsRnP3l-SY0jR8]
[(12.9537909, 77.55059929999993)],[ChIJn8kzVQU-rjsRdf3WevF8Q_E]
[(12.9822182, 77.54624839999997)],[ChIJcTAXIuw9rjsR0_x9TVxg6ZU]
[(12.9807255, 77.5579669)],[ChIJMXyO6_Y9rjsRnvza0XMqNk4]
[(12.9770579, 77.55395739999994)],[ChIJz7DhhPA9rjsRAvyKW3XOuqo]
[(12.9597362, 77.57603199999994)],[ChIJ7bobieQVrjsRK_JH_Hobjb0]
[(12.959118, 77.53865599999995)],[ChIJ6SPgq3Q-rjsRbe5GUot9iAU]
[(12.9626676, 77.52347609999993)],[ChIJFw0llHg-rjsRBu3WbP36q_s]
[(12.9784663, 77.57700739999996)],[ChIJD4cUxREWrjsRW-xH9ayC2rY]
[(12.9800317, 77.52542319999998)],[ChIJHQJLJc89rjsRM-wi1-ktgGU]
[(12.960183, 77.55838300000005)],[ChIJa3xRewE-rjsRKOxI8KFW-CE]
[(12.9507582, 77.5516586)],[ChIJS30TYRo-rjsRhOskVaMMR5g]
[(12.9597367, 77.54889179999998)],[ChIJR-CEyQg-rjsRIOjZ8XB6N1Q]
[(12.9687043, 77.56955479999999)],[ChIJh_O7HQcWrjsRyeYI6pbvhek]
