[(12.9743262, 77.59061309999993)],[ChIJB71t13MWrjsRO1JxvMgvb6g]
[(12.9722983, 77.58636389999992)],[ChIJrZ1vnHQWrjsRoPph2spSuHM]
[(12.9601356, 77.53443379999999)],[ChIJUWZvPnQ-rjsRP97kUCZv9Pc]
[(12.98083, 77.60557900000003)],[ChIJuQkJ5mIWrjsRtmZwPm2NZu4]
[(12.960507, 77.53010799999993)],[ChIJQ2uiHHc-rjsRzafeiODAUhc]
[(12.9549602, 77.56522500000005)],[ChIJGzpu0fkVrjsRaNoM9Lj7Sfk]
[(12.973662, 77.58082880000006)],[ChIJ7wTdQQwWrjsR7qTaTZ3jKns]
[(12.9742442, 77.597082)],[ChIJWcqaEnoWrjsRdXl2pQmP5Tw]
[(12.966378, 77.59744679999994)],[ChIJle6P8tcVrjsRLC38NW1a8u0]
[(12.9733872, 77.53856480000002)],[ChIJoey_e909rjsRVB5jktSyxNs]
[(12.959083, 77.59228299999995)],[ChIJ5_G8o9sVrjsR4leP6pUC3M0]
[(12.972567, 77.54716699999994)],[ChIJbU4_WuQ9rjsR4bxZp-IywfI]
[(12.9726, 77.58678299999997)],[ChIJ94dPYnMWrjsRZKYHSKV9jZc]
[(12.9756465, 77.55005210000002)],[ChIJYYrhUeU9rjsRcHvg7wczL-4]
[(12.9714566, 77.57032830000003)],[ChIJmdAEgQYWrjsRnsyZ6jKzNyE]
[(12.9680385, 77.61049009999999)],[ChIJWR9YKoAWrjsRgvv8A-4Hyyg]
[(12.9632158, 77.59583620000001)],[ChIJkQkywtkVrjsRx6QpSMspEck]
[(12.9747421, 77.59298089999993)],[ChIJq6qqanEWrjsRbrUHlcNXzug]
[(12.9540248, 77.56870690000005)],[ChIJyfJwpPAVrjsRv9BstCo4QFQ]
[(12.9600368, 77.53480909999996)],[ChIJE0OYanQ-rjsRSlU5_McrAsw]
[(12.9598879, 77.572944)],[ChIJTQu2UfsVrjsRpgA11Kt_hdI]
[(12.963623, 77.60606899999993)],[ChIJkUBs69QVrjsRRYT41qKWwHA]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR248fq2MrakI]
[(12.9649165, 77.60556229999997)],[ChIJUytVHdUVrjsR4lmsDLm7Gdw]
[(12.9504091, 77.59577669999999)],[ChIJEdul_cUVrjsRsxp1rlfqDpY]
[(12.9582681, 77.5746292)],[ChIJr8ZW3OQVrjsRObkM4eWlM9Y]
[(12.9747, 77.53246999999999)],[ChIJU04VRds9rjsRNywqUQoHlvs]
[(12.9508602, 77.59968099999992)],[ChIJnVlj0c4VrjsR9LPoAIU712E]
[(12.961715, 77.52122600000007)],[ChIJL-n3MH8-rjsRtYxhH50oYas]
[(12.972617, 77.56158299999993)],[ChIJJ18dovg9rjsRBd-nbCc7jUU]
[(12.9513752, 77.56377759999998)],[ChIJldBjTPYVrjsRnMt3mCeZ2KQ]
[(12.966583, 77.59998399999995)],[ChIJEyywyHg-rjsR2LzIWGuDm_k]
[(12.9621018, 77.54933059999996)],[ChIJIe0Vigg-rjsRrKwiWXnyT2c]
[(12.965623, 77.55542579999997)],[ChIJmX_K8P09rjsR-r9BD1Io65Q]
[(12.9590099, 77.55369910000002)],[ChIJNR_aMwQ-rjsR5gngXZVVyGs]
[(12.9759043, 77.54500719999999)],[ChIJWUDS_uU9rjsRQuYC-w_bnMg]
[(12.9505485, 77.59571299999993)],[ChIJY6nr_MUVrjsRDd-r2vMa-Sw]
[(12.95478, 77.58196399999997)],[ChIJIzt6h-gVrjsRVMfDhuHF-jc]
[(12.9567237, 77.54424649999999)],[ChIJhwyNLgw-rjsRcrgDKiXVMd4]
[(12.9650293, 77.56780700000002)],[ChIJ54b34v0VrjsRFrdPCF6q6g4]
[(12.9703156, 77.58399559999998)],[ChIJn1HdOgsWrjsRfrIChCSzdeg]
[(12.9751172, 77.53044649999993)],[ChIJVzUMKts9rjsRcJnBIRcbGS4]
[(12.9546678, 77.58194359999993)],[ChIJJS-Th-gVrjsR4JBxZIXZNlA]
[(12.972727, 77.56146990000002)],[ChIJwR2UmPg9rjsR3F7t5Kcs8x0]
[(12.975705, 77.60222899999997)],[ChIJMXoprc9xBRER91cmKP030Vw]
[(12.958708, 77.60146199999997)],[ChIJv6Vjg9EVrjsRIVET7UOKj7E]
[(12.97386, 77.55809199999999)],[ChIJ46HCCfk9rjsR5TwPoVBlElI]
[(12.9689382, 77.5299301)],[ChIJeQY9m9k9rjsRPykVoWsnWbI]
[(12.9555788, 77.59177790000001)],[ChIJEV5ftMQVrjsRayRV4JehEuA]
[(12.9541268, 77.56858080000006)],[ChIJsV9UpPAVrjsR-SCd71Tv8-Q]
[(12.9567982, 77.5740753)],[ChIJmQuQMOUVrjsRYiAZ___UG4o]
[(12.9772271, 77.54394339999999)],[ChIJiWnHueg9rjsRTBiI-Y-zNUE]
[(12.9564427, 77.55694140000003)],[ChIJpZuecAM-rjsRXwEpCSK59VQ]
[(12.975662, 77.6155)],[ChIJZedmRIQWrjsRD1RMSu_qIXM]
[(12.9335228, 77.6065314)],[ChIJw9N_Xq0VrjsRZ5qFEoNb7tQ]
[(12.944656, 77.50501020000002)],[ChIJQ7J4840-rjsRuJpEBKPvuJw]
[(12.9686948, 77.63598589999992)],[ChIJGxXMJKgWrjsRhA4T2RJsmZ0]
[(12.9440166, 77.57569369999999)],[ChIJE7wqLO0VrjsR0wGEcEcNjh0]
[(12.984349, 77.67477699999995)],[ChIJP6XE7UIRrjsRz47ycA142EU]
[(12.939598, 77.566777)],[ChIJ1d9JkIsVrjsRSU0aNsMihPE]
[(12.990018, 77.53799200000003)],[ChIJbyK7M749rjsRYzBCMG1IHD4]
[(12.972912, 77.67742699999997)],[ChIJJadNP2ARrjsRUmgm1ZdqCBY]
[(12.9489107, 77.56727130000002)],[ChIJc2fUA_QVrjsRFnEthUUOj1U]
[(12.989314, 77.55617000000007)],[ChIJUVwFoIw9rjsRQyfw_wwQctQ]
[(12.9843744, 77.67166759999998)],[ChIJ_____1wRrjsRTqjIAGEgrP4]
[(12.933054, 77.51580799999999)],[ChIJU6IYJvY-rjsR0pcla0b3mz8]
[(12.9371072, 77.5851288)],[ChIJ2QII570VrjsRWlfdF3_xgb4]
[(12.9683436, 77.67089369999997)],[ChIJJwFLh-ETrjsR1KjFewB3Djc]
[(12.98872, 77.53772700000002)],[ChIJL2osMr49rjsRa-SNCd6H2Rw]
[(12.9372323, 77.55881350000004)],[ChIJgww1KyE-rjsRca0y0yRjpRY]
[(12.9857749, 77.66890039999998)],[ChIJzY8iREQRrjsRT8Lr9fFnp8U]
[(12.939767, 77.57548199999997)],[ChIJrwsMRpIVrjsRf-STO6qg-2o]
[(12.970096, 77.63835500000005)],[ChIJsWMNb6cWrjsRTrP3KDc74m8]
[(12.9422628, 77.5667009)],[ChIJa0igGosVrjsReDZbT-4Dy_0]
[(12.9371194, 77.56363880000004)],[ChIJLdsZiokVrjsRwhx4UgW80M4]
[(12.948936, 77.57061150000004)],[ChIJBaECK_IVrjsRjMLiYdUjCl8]
[(12.9863414, 77.57766170000002)],[ChIJ3101XhYWrjsRGnho0oFw9Ew]
[(12.933251, 77.63262659999998)],[ChIJO4C3u2cUrjsRouTE6H2CM68]
[(12.9911398, 77.54913750000003)],[ChIJa0Z1aJI9rjsRlZaoZTr7ov8]
[(12.9898009, 77.55451900000003)],[ChIJ50X37Iw9rjsRk3lAxLusWWs]
[(12.994307, 77.61562900000001)],[ChIJpVBQpfMWrjsRH3YzUsXhpLE]
[(12.9383941, 77.57793579999998)],[ChIJBQgJWZEVrjsRuWS5Cu6nu64]
[(12.9958477, 77.55303079999999)],[ChIJewetVo49rjsRR0sByHlXo54]
[(12.990119, 77.53805899999998)],[ChIJbyK7M749rjsRWRMIbem-efo]
[(12.9356641, 77.58075600000006)],[ChIJIQBMXaMVrjsRBTRRWR7bomA]
[(12.9680329, 77.64250459999994)],[ChIJvbUHygIUrjsRD3VhZIWXNPQ]
