[(12.9623462, 77.59909859999993)],[ChIJz2-qLdcVrjsRm9nn-JCd-9k]
[(12.9725851, 77.6011059)],[ChIJ1SblWnkWrjsRbPNsJuafueU]
[(12.975617, 77.53847199999996)],[ChIJA-27vd09rjsR4MLtVNdWcLs]
[(12.9808171, 77.60903710000002)],[ChIJ3Wf9PogWrjsRNHHLqHTJEww]
[(12.960092, 77.59347300000002)],[ChIJRfVUNdoVrjsRPVl0ZvNkudc]
[(12.965243, 77.597715)],[ChIJs-L5l9cVrjsRH8fbPGuXRkw]
[(12.9188874, 77.67015689999994)],[ChIJsfxIrNYVrjsRgppI2Mt_HL0]
[(12.9553475, 77.64109970000004)],[ChIJK6Xus1sUrjsR6HHmaSSdapU]
[(12.9060716, 77.59589010000002)],[ChIJP27JpRAVrjsR5F8VQeAVfF8]
[(12.9590602, 77.65648520000002)],[ChIJPVszK_gTrjsR4x9AbkEesqY]
[(12.9593115, 77.65425319999997)],[ChIJZeeuBPgTrjsRB5pd-gdhU30]
[(12.9322112, 77.58405110000001)],[ChIJ31EvM6AVrjsRuIPWCJHn6YY]
[(12.9269444, 77.66998920000003)],[ChIJt12F6Z0TrjsROA5OilnU0ok]
[(13.0347277, 77.56823810000003)],[ChIJfQxZSucXrjsR5QTWAp42mEQ]
[(12.8900481, 77.59770960000003)],[ChIJwaLkPSUVrjsR2W5vS5yKls0]
[(12.9388844, 77.69522669999992)],[ChIJ06xrbbITrjsRjrnF6INMJtA]
[(12.9923317, 77.70267280000007)],[ChIJa96mD58RrjsRdDrU4Q1MkbU]
[(12.9144506, 77.59978619999993)],[ChIJgZ8v3AQVrjsRaB5tee1_gMk]
[(12.9855934, 77.6683246)],[ChIJHQPR1UkRrjsRuI25GYW85Vc]
[(12.9393309, 77.55342629999996)],[ChIJ57XHqSM-rjsRI9K_7y8UM-s]
[(13.0152072, 77.66606109999998)],[ChIJ4ycFCygRrjsRZ9QeBIMO3Sw]
[(12.9418115, 77.6232033)],[ChIJnzeV4k0UrjsRVowIXOsR51M]
[(12.9252908, 77.51745170000004)],[ChIJH-Q_FVY-rjsRSws2RVE4KCQ]
[(13.0424994, 77.62134590000005)],[ChIJ9QgUDm4XrjsRjwhITdURNek]
[(12.979254, 77.72887800000001)],[ChIJT2Qh__MRrjsRQGdFzeq4-3M]
[(12.9156837, 77.65156669999999)],[ChIJDSoR8YIUrjsRU_22olHqPf4]
[(12.8403131, 77.66368920000002)],[ChIJI59HC4ZsrjsRIU8YlmuG364]
[(12.9244103, 77.5643268)],[ChIJnV-654AVrjsRHn9LIfLDtM4]
