[(12.9742847, 77.60774489999994)],[ChIJ8RX8-H0WrjsRL4iMTKdjoAM]
[(12.9769063, 77.59187040000006)],[ChIJjWv1x3EWrjsR-ZumJ02POJ0]
[(12.966679, 77.52389199999993)],[ChIJq6qqGtc9rjsRkyS0DrDXldA]
[(12.950591, 77.58034199999997)],[ChIJsYp_QekVrjsRBX_RTRb0sAc]
[(12.960409, 77.56098399999996)],[ChIJs-ER8QE-rjsRrHlzLQLUvQk]
[(12.975333, 77.60361699999999)],[ChIJlVo5T3wWrjsR3nDWyIkL-O4]
[(12.9814671, 77.56921510000006)],[ChIJyfCNvxsWrjsR1Lava5WnTn8]
[(12.9801498, 77.58862720000002)],[ChIJQQ0wFW4WrjsRA_LQsFNZM9o]
[(12.9593, 77.59458300000006)],[ChIJdXyQXNoVrjsRcujuWOedcis]
[(12.9670367, 77.56963489999998)],[ChIJyfqAbgcWrjsRKrBTE-O9oQA]
[(12.9731791, 77.5780168)],[ChIJ-48EvA4WrjsRaQqG_eu_AW0]
[(12.956766, 77.58197799999994)],[ChIJ_ai2SuYVrjsRYEPrdzFxh7E]
[(12.9780249, 77.5871846)],[ChIJ0x7zf20WrjsRKoLWXhQjFnU]
[(12.9562374, 77.58114320000004)],[ChIJCyYxOuYVrjsRow4gkS06tTQ]
[(12.976167, 77.59828300000004)],[ChIJO_3W9noWrjsRG9wP20xcKis]
[(12.9789324, 77.57007120000003)],[ChIJq8fjGBsWrjsR90aN8_dht3Y]
[(12.9566735, 77.57466539999996)],[ChIJ3RAsPOUVrjsRtjyASEsRXqI]
[(12.9796111, 77.60709480000003)],[ChIJwTgsrmIWrjsRxjIzJgPwVow]
[(12.9566607, 77.58189219999997)],[ChIJ-x59NeYVrjsRJUQ6N_ao76c]
[(12.982479, 77.61194899999998)],[ChIJbycuH4kWrjsRDvkAve2l36o]
[(12.977917, 77.53373299999998)],[ChIJhee9e8M9rjsRVZ_QmZ0gdUU]
[(12.9665009, 77.61031600000001)],[ChIJjSyv9CoUrjsRaFFO6sQBvUg]
[(12.971376, 77.57154500000001)],[ChIJCVxLcQYWrjsRqvtNjCHRO6g]
[(12.9724597, 77.57017880000001)],[ChIJJ8WSMQQWrjsRg6xvJZS2xEI]
[(12.976333, 77.53486699999996)],[ChIJZWUpOMM9rjsR8uNcI0Ue1_M]
[(12.9525351, 77.5434646)],[ChIJncsDExI-rjsRURcuhyKRX6c]
[(12.968032, 77.53047300000003)],[ChIJ9YXW2ek9rjsRiynjQIMCElQ]
[(12.976133, 77.54746699999998)],[ChIJR35dgOU9rjsRS0WcIH5q9kc]
[(12.955933, 77.576953)],[ChIJBQp9muUVrjsRqECqTtI4zbM]
[(12.9798847, 77.56268150000005)],[ChIJBaM5nR0WrjsRj_RjOnx2jjc]
