[(12.9755362, 77.59099960000003)],[ChIJSXQE4HAWrjsRV9vOE8HNh0o]
[(12.9774699, 77.58162790000006)],[ChIJX5m7gw0WrjsRtuZKH4Cp8xY]
[(12.9507432, 77.58477730000004)],[ChIJHdPykcEVrjsRIr4v35kLEY4]
[(12.9771738, 77.60384750000003)],[ChIJg7jFwXwWrjsR9Vs5rGnsFzI]
[(12.9674744, 77.53726589999997)],[ChIJt2R3S949rjsR1tN6aCTlgIs]
[(12.9815135, 77.59677480000005)],[ChIJETRaf2UWrjsRuFq5pAak3rY]
[(12.9766051, 77.60671219999995)],[ChIJS4_Xc30WrjsRNIivStYNJXI]
[(12.9785186, 77.59234289999995)],[ChIJFaLzH24WrjsROYKbEk2Vn0o]
[(12.9826247, 77.6076822)],[ChIJh5zoeGIWrjsRb0ecH-LTHhY]
[(12.9624385, 77.52571569999998)],[ChIJmaZHNtY9rjsRy-KDpaoGqy0]
[(12.9771523, 77.59972919999996)],[ChIJUXbUGHsWrjsRmUwSArERj1E]
[(12.9516245, 77.55728479999993)],[ChIJgZXEjxw-rjsRDd0s3OyEuvA]
[(12.9722416, 77.59357190000003)],[ChIJ_VZJKHcWrjsRinEsy9kvI2w]
[(12.982383, 77.60166700000002)],[ChIJ3xipcGQWrjsRJ3SFamDzbSQ]
[(12.957663, 77.52785979999999)],[ChIJT_BSqHA-rjsRFglFR-uAVTM]
[(12.9519728, 77.52143720000004)],[ChIJvRRSUWM-rjsRl_WU2uIsgK0]
[(12.982834, 77.53249200000005)],[ChIJGc8VxsY9rjsRB0fXumKkf5g]
[(12.967147, 77.52163100000007)],[ChIJ7dGJKNQ9rjsRFzgNHJrf5Bw]
[(12.9610907, 77.60467900000003)],[ChIJdUhanNMVrjsRDB8KeboSE2Y]
[(12.9623758, 77.61378430000002)],[ChIJZXwTqy4UrjsRYO2qlnkCMvs]
[(12.9578309, 77.57250929999998)],[ChIJg7JtJ_sVrjsRv8DatvtFe2M]
[(12.9629498, 77.58531419999997)],[ChIJNXzcJd4VrjsRe23VGnG_Q7g]
[(12.9655593, 77.52960669999993)],[ChIJP02DQtg9rjsRypgAaDtjIDg]
[(12.9776114, 77.5296515)],[ChIJe_B9D8U9rjsRF2UAeOg6fLw]
[(12.9651528, 77.59558059999995)],[ChIJ0_CuOtgVrjsRtMCaMc6mXmY]
[(12.9716265, 77.60682640000005)],[ChIJ04XnPH4WrjsRQvuz5bGkqX0]
[(12.9529756, 77.55880750000006)],[ChIJ2YS13xw-rjsRgWzYHPtFaGo]
[(12.972819, 77.60510079999995)],[ChIJzV_KfH4WrjsRYhEekVXR2cE]
[(12.950917, 77.59377700000005)],[ChIJh7wMxcUVrjsRYfr975e_Bdc]
[(12.9600914, 77.52600800000005)],[ChIJa6kvuXk-rjsRPdOxg3mr7uE]
[(12.9781666, 77.53565349999997)],[ChIJSZSMBsM9rjsRvo_8E0MP2lg]
[(12.9670806, 77.54972079999993)],[ChIJi9lR0OI9rjsRIFKz_Pr4GAE]
[(12.952874, 77.5615239)],[ChIJMbFPZx0-rjsRZziGtGcm5Dk]
[(12.9584198, 77.52799419999997)],[ChIJda84U3c-rjsRRGBFv4MjqGU]
[(12.9677686, 77.52712989999998)],[ChIJy7v4ZNc9rjsRT6a3FhHOpTs]
[(12.9725439, 77.53607069999998)],[ChIJ21bDr909rjsR9f8tQ6ZPRms]
[(12.9701341, 77.57766279999998)],[ChIJHxQwEwkWrjsRu_rhJzPy0ic]
[(12.9753527, 77.59165150000001)],[ChIJ3QR-dnEWrjsR4tqVpdjIi7I]
[(12.96839, 77.51807039999994)],[ChIJYXljkNQ9rjsRPtQVo-rCqEw]
[(12.9656187, 77.55067610000003)],[ChIJm2RUUv09rjsRncUVeWTTo30]
[(12.952296, 77.57685200000003)],[ChIJR2CNAu8VrjsRQMWydgjgnz0]
[(12.9568579, 77.52849549999996)],[ChIJrXo4lnA-rjsRe74L8SQIedM]
[(12.9581708, 77.53117840000004)],[ChIJW8caMnE-rjsRPrpSNA4Liys]
[(12.955816, 77.57698800000003)],[ChIJBfwJkOUVrjsR_rZveawmNJ8]
[(12.9636021, 77.53147239999998)],[ChIJcWuBJHY-rjsRVrVn_RhbFT0]
[(12.975095, 77.59206419999998)],[ChIJ61XIDHEWrjsR3qw0BahxMO0]
[(12.9724595, 77.5370087)],[ChIJPTPspd09rjsR658tEptYEQM]
[(12.9677474, 77.53945120000003)],[ChIJEVEYhOA9rjsRZJ264sBOP4M]
[(12.9501735, 77.58937900000001)],[ChIJe6IH4cMVrjsR75zBqB7V8so]
[(12.9635188, 77.60168870000007)],[ChIJQ4YymdYVrjsRVpugZ7Ihsmc]
[(12.9783046, 77.59184529999993)],[ChIJFd3M4XEWrjsRb5c9ugi-Yqo]
[(12.967532, 77.53722100000005)],[ChIJj3UKTN49rjsRl4s7pqxgRX4]
[(12.9606446, 77.56615880000004)],[ChIJUxDHyf4VrjsREYGpOWD-eOQ]
[(12.975407, 77.59096079999995)],[ChIJr2C1eHEWrjsR1nVWmffGc18]
[(12.964515, 77.55543089999992)],[ChIJgcdW7AA-rjsRR3T2tIZypnY]
[(12.9606369, 77.59912110000005)],[ChIJc7pG39AVrjsRAG7OWu3jHa8]
[(12.9816576, 77.60518189999993)],[ChIJocgf_2IWrjsRhW0WlQwNI9M]
[(12.9594654, 77.55789219999997)],[ChIJ4Ywf3AM-rjsRKGU59Vik_sg]
[(12.9730687, 77.60125819999996)],[ChIJCbw_WHkWrjsRfWFkOQQ_x6s]
[(12.9516922, 77.55603180000003)],[ChIJcbSyfRs-rjsRZV7zhRf2huU]
[(12.976128, 77.52968699999997)],[ChIJWwyzOsU9rjsRClxPEyD5Rz4]
[(12.960849, 77.52630410000006)],[ChIJBWGyy3k-rjsRuVrfeCLT9bk]
[(12.9752528, 77.54146639999999)],[ChIJpYzk0ec9rjsRdFplizGdNCM]
[(12.9774463, 77.53034579999996)],[ChIJ20FEHcU9rjsRIFixNFRu18k]
[(12.9567845, 77.53659749999997)],[ChIJ0U0fD3M-rjsRb1FC6ia6O7o]
[(12.9725817, 77.52968499999997)],[ChIJg3_399o9rjsRcE9FHu2NuFU]
[(12.9745644, 77.59030699999994)],[ChIJuVgFgnEWrjsR-jcYeHw5XZ8]
[(12.9614496, 77.60300959999995)],[ChIJy_gO8dMVrjsRvCxv6bUYVCI]
[(12.9591533, 77.55792369999995)],[ChIJmTW-3AM-rjsRFyiokJ9Ax2k]
