[(12.967621, 77.600056)],[ChIJn9bDyYAWrjsR67WphEkqJw8]
[(12.968339, 77.60043240000005)],[ChIJv1OUl3gWrjsR2cbsSVjlZmk]
[(12.967737, 77.53591400000005)],[ChIJ82-m-d49rjsRmNHeRinEsSE]
[(12.952263, 77.59571600000004)],[ChIJRZe2j8UVrjsRnvzpZ5Y7vu4]
[(12.96874, 77.59720800000002)],[ChIJ3cqreh09rjsRhAgPYSXYlCE]
[(12.9689642, 77.57124490000001)],[ChIJO9-gUgYWrjsRcsDt0oShULg]
[(12.9524446, 77.5801113)],[ChIJE8R9PncWrjsRuKytMfsLuIo]
[(12.9715987, 77.59456269999998)],[ChIJ_____4w9rjsR5wJlDz5WZ3k]
[(12.973206, 77.57270700000004)],[ChIJQypZjQUWrjsRo3GDXdlLXJA]
[(12.982169, 77.61214599999994)],[ChIJI7cAIYkWrjsReFMitWN3LNc]
[(12.966617, 77.60888299999999)],[ChIJGx4svyoUrjsR_zsxgmELc9M]
[(12.957504, 77.56203299999993)],[ChIJmYsaffcVrjsR2tR1pQ0np04]
[(12.9686651, 77.57364210000003)],[ChIJVVVVlQcWrjsRda5kcho7Hwc]
[(12.9675385, 77.60619139999994)],[ChIJ9wB3_n0WrjsRBEwoIQcbYoo]
[(12.964183, 77.53803300000004)],[ChIJ7Y5UPHcWrjsRxTXuZobB9Vg]
[(12.969983, 77.54604999999992)],[ChIJAQAA0E8ZrjsRUgwuucItXp8]
[(12.972567, 77.60713299999998)],[ChIJIemJGn4WrjsRty-qzumK5nE]
[(12.9817056, 77.60429539999996)],[ChIJw37JB2MWrjsRD5zxtXRUAIE]
[(12.957302, 77.56990300000007)],[ChIJDewWyQM-rjsRclC27CbFojA]
[(12.975505, 77.53428299999996)],[ChIJOYaydSEWrjsRnGOkXLi_t0g]
[(12.959885, 77.54626299999995)],[ChIJQ4G4OAk-rjsR2MOb5100nFg]
[(12.977967, 77.53893300000004)],[ChIJN5-3gsI9rjsR7Kx59mFtwYc]
[(12.9722735, 77.54408289999992)],[ChIJn-hvmuY9rjsRB1xFx4aRZ0I]
