[(12.9609817, 77.55972789999998)],[ChIJy7HAmQE-rjsRqvEVwFpPijw]
[(12.9582423, 77.52873590000002)],[ChIJX_HASnc-rjsR_gTSDyeakaI]
[(12.9812346, 77.59510249999994)],[ChIJyZ48C28WrjsRCpuYIMc1t0w]
[(12.9742209, 77.60994679999999)],[ChIJhyAHO4cWrjsR5tP5Tug4oAI]
[(12.954328, 77.54416470000001)],[ChIJgwL65A0-rjsRIxzuppwR15w]
[(12.9650413, 77.53811610000002)],[ChIJ6YWF8d89rjsRDr9Jl54XKVQ]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRrzNE-GmUAh4]
[(12.9812241, 77.59505020000006)],[ChIJdWOxn28WrjsRgTg_Ni0hX2I]
[(12.973383, 77.60211700000002)],[ChIJE8R9PncWrjsRi6goRoyP8e0]
[(12.9742193, 77.60994540000002)],[ChIJk5HW-30WrjsR1gq3O4YIXwU]
[(12.9616812, 77.59750800000006)],[ChIJZxEzS9cVrjsR2jjpoR-m_zs]
[(12.9678094, 77.5921181)],[ChIJD9lJPXYWrjsR0puqE0rNops]
[(12.9559911, 77.5919715)],[ChIJl1kMStsVrjsRRPTawHnAJ2w]
[(12.9533409, 77.57211840000002)],[ChIJKYkhPvAVrjsRjmdB2s1d1vM]
[(12.9785895, 77.58562089999998)],[ChIJH2Z9Wm0WrjsReMsKmXBZQtk]
[(12.9715987, 77.59456269999998)],[ChIJjTS7ypoVrjsRMZlCf0EoKek]
[(12.9713885, 77.5497613)],[ChIJVVVVpeQ9rjsRRNcKd4aKB1U]
[(12.9719532, 77.58456679999995)],[ChIJNZF4vps9rjsR4bo2D-gq42U]
[(12.9552205, 77.55675440000005)],[ChIJy7HAmQE-rjsRnhEaLwvOs_A]
[(12.9583012, 77.5286883)],[ChIJaf27tHA-rjsRJRT0B47_6t4]
[(12.9772297, 77.55139759999997)],[ChIJDZF_MOQ9rjsR2fC1vD9kF6s]
[(12.9678267, 77.591453)],[ChIJ5clnEHYWrjsRHe_c-UQsG-8]
[(12.9714795, 77.53677719999996)],[ChIJb4ulyd09rjsR_MgxopCOpoU]
[(12.9598029, 77.57570340000007)],[ChIJo7Clj-QVrjsRiX4w6x8Taq4]
[(12.9793056, 77.58537810000007)],[ChIJHUWpSW0WrjsR4W2YYq8VYlI]
[(12.972933, 77.60334999999998)],[ChIJ7wqGoX4WrjsRO7ZZoqcQSMY]
[(12.9755848, 77.56045389999997)],[ChIJeSbRP_g9rjsRjYWJ_TFwohE]
[(12.9633823, 77.60348939999994)],[ChIJAQAAQNQVrjsRBPdB289N6KE]
[(12.9821036, 77.6124188)],[ChIJwWJJ34gWrjsRCeUQugAjD9M]
[(12.9605646, 77.56704400000001)],[ChIJg7AKrv4VrjsR5cqxjMUpwC4]
[(12.9582283, 77.58265329999995)],[ChIJUeXpB-cVrjsRyXzYFXM8Umw]
[(12.9648396, 77.57725700000003)],[ChIJRUI5QuIVrjsRq63VLcE3l_o]
[(12.9776661, 77.54948790000003)],[ChIJQR_l6e89rjsR5kgWyXx8dfo]
[(12.9734826, 77.58039059999999)],[ChIJWakKFQwWrjsRxPWA3FNyMhw]
[(12.951374, 77.58131200000003)],[ChIJ8UAHDukVrjsRffTAU_ItDFs]
[(12.9576111, 77.56663079999998)],[ChIJG86bdvkVrjsR9elT3MOPyko]
[(12.9648881, 77.53791509999996)],[ChIJudLm8989rjsRoZ0t2CPRhzQ]
[(12.9649377, 77.554438)],[ChIJO5BTYQc-rjsRqpGhSvOq3mk]
[(12.9726707, 77.5456064)],[ChIJrRf0OuQ9rjsR9H5vN9FezwE]
[(12.9815792, 77.59548199999995)],[ChIJDeoPd28WrjsReRafW-2Syk8]
[(12.960905, 77.63591670000005)],[ChIJrWrKdhkUrjsRxxC8AxxvuUA]
[(12.968367, 77.7481692)],[ChIJ-7NpL_kNrjsRLkJ0RsfAC9M]
[(12.9118616, 77.5870155)],[ChIJc-l8DQ0VrjsRSSPWvJD5xX8]
[(12.9814825, 77.64096999999992)],[ChIJwykdv7oWrjsRYytKmhDhTXY]
[(12.9152832, 77.48161019999998)],[ChIJb37H4Sc_rjsRng2yyTXgS98]
[(12.9716951, 77.65668299999993)],[ChIJd9U8olURrjsRpgCzWpuc36E]
[(13.0006602, 77.6164655)],[ChIJn_w29fAWrjsRuPsLGQJOzaU]
[(12.9486081, 77.60162330000003)],[ChIJv1JmS7UVrjsRkhjNasz0jow]
[(12.92685, 77.55060700000001)],[ChIJ9Sau1C8-rjsRaiI3nOrVDnQ]
[(12.9757092, 77.62340180000001)],[ChIJ6chs55sWrjsRbOFv6vSbyJE]
[(13.0039458, 77.68185100000005)],[ChIJlYbxSRcRrjsRlFo_oUEM2HI]
[(12.9263236, 77.5695336)],[ChIJt5Oyi4MVrjsRVoi3V-5AlcA]
