[(12.964551, 77.60056099999997)],[ChIJpZz389YVrjsRjAAV59y4NQw]
[(12.9654062, 77.6088608)],[ChIJLdg_2yoUrjsRTRdzjg6XZIs]
[(12.971428, 77.60340500000007)],[ChIJt1uXwn4WrjsRIjV-ukd2jfk]
[(12.962258, 77.60604799999999)],[ChIJl9kxP9UVrjsRtompNp3Puzo]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRLHP4C0nqk08]
[(12.9539742, 77.56745909999995)],[ChIJF2uANPcVrjsRuNpBV_eiTKE]
[(12.9648132, 77.61317389999999)],[ChIJtxsWPSoUrjsRiH5Q8mgAR8M]
[(12.9700065, 77.60169880000001)],[ChIJeSuR03gWrjsRGXcyV4bOTvs]
[(12.9786638, 77.61279960000002)],[ChIJ8ybjFYYWrjsRwUuLq7tBm_o]
[(12.9599163, 77.58322099999998)],[ChIJX1aAEOcVrjsRg2b13tKHvi4]
[(12.9692011, 77.60331029999998)],[ChIJ47DpPn8WrjsRQYNHdH8p340]
[(12.954008, 77.57316900000001)],[ChIJkdwPHO4VrjsRrM0JnvPSjvo]
[(12.950526, 77.57577800000001)],[ChIJ-8OECu4VrjsRDeaT4MzQ8pw]
[(12.9677317, 77.61315769999999)],[ChIJuWJlBSoUrjsR60dMwHUNnMo]
[(12.9615743, 77.60993499999995)],[ChIJGWQoniwUrjsR5wDx2fTNQ-k]
[(12.982162, 77.55301299999996)],[ChIJ82GIKfI9rjsRbiShUz6ZyaY]
[(12.9803615, 77.61244829999998)],[ChIJb7n3u4gWrjsR07bJ1KmYmK8]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRgF6kRqiSzfM]
[(12.9674784, 77.53032710000002)],[ChIJIXcWV9g9rjsRRD3ytfgcpJg]
[(12.9812647, 77.61287709999999)],[ChIJ7_Efz4gWrjsREnT6zcN3vsE]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRKmTMspAaWdk]
[(12.9696584, 77.59503710000001)],[ChIJAesDvHcWrjsR8Ha-WtsVqE8]
[(12.971598, 77.594562)],[ChIJF8V9PncWrjsRCnSeY_-jzfU]
[(12.9715987, 77.59456269999998)],[ChIJcRBHvr89rjsRYBzDEtpbk68]
[(12.971599, 77.594563)],[ChIJE8R9PncWrjsRTwh9HU7_lcw]
[(12.973406, 77.60162209999999)],[ChIJOZiW2PB8mjkR_0szBoCRC9g]
[(12.9776029, 77.61030389999996)],[ChIJQ7adyocWrjsR-1nJzf8BQyM]
[(12.970089, 77.53597300000001)],[ChIJka9Tft49rjsRaQdEO3b74lE]
[(12.9582358, 77.57358390000002)],[ChIJ9SMQzOQVrjsR97yhZp2zF34]
[(12.9570869, 77.61396339999999)],[ChIJ7d49Ay4UrjsRs9uqy9zU9Ug]
[(12.9751, 77.60563300000001)],[ChIJE8R9PncWrjsR0R8vD1VnU-g]
[(12.9675421, 77.5984621)],[ChIJZbQufHgWrjsRBGQRtLEfI0k]
[(12.9761891, 77.6010235)],[ChIJVQ947HgWrjsRZCIGnAwHBf0]
[(12.9738326, 77.60205719999999)],[ChIJ28rp8HsWrjsRdGg3THtvNGE]
[(12.950696, 77.60362099999998)],[ChIJuc0bP4cWrjsRAi-Hd_UtjSA]
[(12.9660801, 77.6058501)],[ChIJ47DpPn8WrjsRg2grsYw6LjI]
[(12.9630709, 77.5414882)],[ChIJw1u19Ao-rjsR42h5YIbdCwk]
[(12.9794896, 77.57563230000005)],[ChIJoSE4FRAWrjsR0wi-nbF4ad4]
[(12.9621841, 77.60545739999998)],[ChIJBYRYgtQVrjsRk-itDAdLwcY]
[(12.964219, 77.58739500000001)],[ChIJUx9oUt4VrjsR5Y_6OSu_Z2A]
[(12.980524, 77.60634099999993)],[ChIJAQAAwGIWrjsRdOpmoUas-K0]
[(12.9536616, 77.57432080000001)],[ChIJJ3KKWOUVrjsRkVT7osio8hU]
[(12.971599, 77.594563)],[ChIJ_8N9PncWrjsR55LInKs3CYM]
[(12.9536176, 77.59410330000003)],[ChIJ3QUNA8UVrjsRJD72iBuAGxg]
[(12.958756, 77.5188339)],[ChIJexdi35I9rjsROXVQkSX78KQ]
[(12.9621974, 77.53260550000005)],[ChIJ2UY6cHY-rjsR7d-cfro_vAI]
[(12.956933, 77.56408299999998)],[ChIJE8R9PncWrjsR1xM2yzzQk0Y]
[(12.971951, 77.60702300000003)],[ChIJu9JHPX4WrjsRD01Y90BZuFo]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRtUMGpxO3obY]
[(12.9664326, 77.60995700000001)],[ChIJKYU48ioUrjsRK0CwOnb9jVY]
[(12.970016, 77.59438499999999)],[ChIJVVVVlcSd-DkR7vQwf-0RSvQ]
[(12.9539299, 77.52309230000003)],[ChIJ_-i2a3s-rjsRz79E2iDgiN8]
[(12.980492, 77.53891799999997)],[ChIJOeq_CcI9rjsR_PPiuO5B79s]
[(12.957112, 77.56788600000004)],[ChIJzY389_MVrjsRrduBlcwfW10]
[(12.9582113, 77.59680309999999)],[ChIJ6yMxcNAVrjsR1t-MbyZ84Nw]
[(12.9525516, 77.57286750000003)],[ChIJzdeUJvAVrjsRUM2O2bDS1kE]
[(12.974043, 77.531027)],[ChIJleaRIts9rjsRd8G9xZeb9hE]
[(12.956089, 77.58180100000004)],[ChIJUaFeMuYVrjsRP6FXjNd4T8g]
