[(12.982426, 77.61036899999999)],[ChIJu4I0qokWrjsR2kpTZT31Xgs]
[(12.956719, 77.53422320000004)],[ChIJLV_0xHM-rjsRXR-9Y_vfHFg]
[(12.951301, 77.542598)],[ChIJMy9TRRI-rjsRyfwITjQfdRA]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsREXQ4IOSGofY]
[(12.9743637, 77.60770550000007)],[ChIJRebjyH8WrjsRVtkWGhgNWHk]
[(12.9634786, 77.57873870000003)],[ChIJd7Uw2TEVrjsR-lX2zaU2SCU]
[(12.953044, 77.57417199999998)],[ChIJ7yTVxO8VrjsRu4eWuw0rOLg]
[(12.981221, 77.61031500000001)],[ChIJn1Gnw4sWrjsRNm0xaFs7shk]
[(12.9747784, 77.60527849999994)],[ChIJ65lTxH0WrjsRPzT-sL_swuA]
[(12.9736212, 77.60751249999998)],[ChIJ9wB3_n0WrjsRpzHQ6bx1OtE]
[(12.982175, 77.60887000000002)],[ChIJc6MfQGIWrjsRl2hu7shXJLU]
[(12.974246, 77.60761400000001)],[ChIJ9wB3_n0WrjsRf17gq8l9hRc]
[(12.9721093, 77.57681639999998)],[ChIJ7Y5UPHcWrjsRczo86shLpso]
[(12.973924, 77.607211)],[ChIJ9Y5SYIcWrjsRcSh3bo9JpSQ]
[(12.982359, 77.60797300000002)],[ChIJ1Xe1NIgWrjsRXLG232wSAv0]
[(12.9822872, 77.60790559999998)],[ChIJNYxx0okWrjsRFmZZJGXIRYA]
[(12.9642765, 77.53500489999999)],[ChIJGQEOinU-rjsRFXKRhHzDr7M]
[(12.9796646, 77.61073710000005)],[ChIJ1Xe1NIgWrjsR6TtNZpoVQcA]
[(12.9713129, 77.59755799999994)],[ChIJLTudv3kWrjsRPdiAjeEbgm8]
[(12.9714253, 77.60706909999999)],[ChIJiYEgBH4WrjsRVVnoiUyyvAY]
[(12.97143, 77.59636079999996)],[ChIJiekDvHcWrjsRMMx38We8AaU]
[(12.9824899, 77.60718359999998)],[ChIJ1Xe1NIgWrjsRJNXycHWXoQk]
[(12.9579627, 77.55349539999997)],[ChIJrSV8MwQ-rjsR-s9x013KTTQ]
[(12.9820783, 77.60891860000004)],[ChIJNYxx0okWrjsRnH_kPkKhBEk]
[(12.974638, 77.57676600000002)],[ChIJuSDs-w4WrjsRdYlgt2a-8fo]
[(12.974167, 77.574613)],[ChIJVYqtrw8WrjsRECjwSIQKlNQ]
[(12.970989, 77.60687499999995)],[ChIJxz95MX4WrjsRVafdk9Zf2bE]
[(12.9639768, 77.60421789999998)],[ChIJxTs2W9QVrjsRStKzgmS_yJ0]
[(12.974967, 77.57478300000002)],[ChIJCfxonw8WrjsRMUhxE_h6p9g]
[(12.9819701, 77.60894589999998)],[ChIJNYxx0okWrjsRAzs2rfB2pjA]
[(12.9816636, 77.60987929999999)],[ChIJBWDxJ2IWrjsRRe4ojCMwvzk]
[(12.961167, 77.53731700000003)],[ChIJtSPA5nQ-rjsRkM-8I8yGYXs]
[(12.9730798, 77.60755999999992)],[ChIJJYbaA34WrjsRKfpHx1At_c8]
[(12.9684981, 77.53728699999999)],[ChIJDxhwQd49rjsR9h-F3D16wgg]
[(12.982333, 77.60911699999997)],[ChIJ1Xe1NIgWrjsRlhGz-pCk_gs]
[(12.971387, 77.594468)],[ChIJ7w5PACMWrjsRV6GN7xdX7co]
[(12.956466, 77.60182099999997)],[ChIJTUru_tEVrjsRfTek0dTfBOw]
[(12.9740864, 77.60776520000002)],[ChIJYdJy-H0WrjsRiTs2e8akWU4]
[(12.9719702, 77.58062789999997)],[ChIJu2sDwwsWrjsRqctHTkPfzek]
[(12.973609, 77.579925)],[ChIJH9qgzqcWrjsRehQ1xbJgbEk]
[(12.9644356, 77.58077500000002)],[ChIJE8R9PncWrjsR7fHaBbgl9Fg]
[(12.9702879, 77.60969090000003)],[ChIJiREwW4AWrjsRWQCGP1Qea-M]
[(12.9669224, 77.53041299999995)],[ChIJQQAAAAAAuTsRIxX6jpM6f8k]
[(12.9746889, 77.60773369999993)],[ChIJyzaE9X0WrjsRrIXVwrxe3qI]
[(12.973683, 77.542867)],[ChIJE1KfW-Y9rjsRRqrIdPPh_7k]
[(12.972724, 77.53547400000002)],[ChIJbV-NV9w9rjsRPHGfT_M0YQU]
[(12.956633, 77.53423299999997)],[ChIJ8aW7xXM-rjsRY1yTD6yvKdg]
[(12.971598, 77.594562)],[ChIJF8V9PncWrjsRH8feTAM4Yd4]
[(12.98023, 77.53948600000001)],[ChIJ5cnGsQ8WrjsRdq8o3q9TyvQ]
[(12.9590099, 77.55369910000002)],[ChIJbxaJNAQ-rjsRaMGPymr66lU]
[(12.9565786, 77.52907989999994)],[ChIJfTOY7HA-rjsROe8xwREDJKc]
[(12.982395, 77.60934900000007)],[ChIJl2JystxwrjsReprT3tKJcv0]
[(12.969429, 77.56742400000007)],[ChIJ6Tp0MgEWrjsRNuYOz_Gs36c]
[(12.957133, 77.56394799999998)],[ChIJfYNcWPgVrjsR70_RRQ67ykw]
[(12.9766637, 77.57125559999997)],[ChIJF8V9PncWrjsRb4zuULDxqQk]
[(12.973644, 77.53646100000003)],[ChIJ-TOjHN09rjsR-oqAd7PySMA]
[(12.967183, 77.5363926)],[ChIJcS81dN49rjsRpGOOIE-n1hk]
[(12.975477, 77.5757959)],[ChIJ_XEasg8WrjsRBkLROfbJ060]
[(12.9735551, 77.57953109999994)],[ChIJx16OFgwWrjsRKHoiDl-R8Kk]
[(12.9603511, 77.56202269999994)],[ChIJG4z9WfkVrjsRtCKcdmDBxBQ]
[(12.974183, 77.60781700000007)],[ChIJC5D4V4cWrjsRsJHa_J2Z9aI]
[(12.9669224, 77.53041299999995)],[ChIJVVVVVdk9rjsRRZuaImC9GM8]
[(12.9743528, 77.57217880000007)],[ChIJnQbZQgAWrjsR6E0scLt4BTE]
[(12.968459, 77.52322200000003)],[ChIJ64WbuNY9rjsRyj4ISHxrlMs]
[(12.9755263, 77.5755289)],[ChIJweGuug8WrjsRE350hE3u5Sc]
