[(12.9712167, 77.58045909999998)],[ChIJzwlI7QsWrjsRFLK1X8g56Z0]
[(12.950011, 77.53746899999999)],[ChIJBQzG4Gw-rjsR2HxmDJrZmiY]
[(12.9603763, 77.58067349999999)],[ChIJv8Qvc-QVrjsRhRZWy8h5rd8]
[(12.9828977, 77.59653609999998)],[ChIJ9dpTfWMWrjsRXpyp4ttLNwE]
[(12.982543, 77.60712999999998)],[ChIJ1Xe1NIgWrjsRRlgjL8fsrig]
[(12.9644018, 77.58813209999994)],[ChIJY0D9m9kVrjsR6rVTeEwGz5g]
[(12.9540596, 77.54271629999994)],[ChIJxfiluwU-rjsRJLGWY9NB2GQ]
[(12.9695696, 77.57743089999997)],[ChIJAQAAwAsWrjsRs3FSKujT_Bg]
[(12.9775872, 77.5990028)],[ChIJbaQ2gqIVrjsRKL93Hmwe-UM]
[(12.9654632, 77.60147540000003)],[ChIJw-t32NUVrjsRcQM6WAdOOno]
[(12.9815168, 77.61029719999999)],[ChIJNYxx0okWrjsRxNOprJE-SIg]
[(12.9624219, 77.59352939999997)],[ChIJQelPStkVrjsRu1TvWamXf_E]
[(12.964229, 77.58132899999998)],[ChIJqXd6r-EVrjsRF5ZovCLoMwM]
[(12.976676, 77.57973100000004)],[ChIJo0Yh4w0WrjsRi2Ry3KG02_M]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR8UsLqzqCVrc]
[(12.957571, 77.58184600000004)],[ChIJ4WrMseAVrjsRKlAKzTEZIEg]
[(12.975467, 77.60291699999993)],[ChIJj7YNZXwWrjsR0smY7iQ4EnU]
[(12.957239, 77.570697)],[ChIJ____zwI-rjsRM-eL3fBg55I]
[(12.95907, 77.5910235)],[ChIJaaWjpN0VrjsR88a7X0MPutw]
[(12.951212, 77.59540300000003)],[ChIJE8R9PncWrjsRWDyKJFVjbzE]
[(12.9591735, 77.59105260000001)],[ChIJE8R9PncWrjsRRcjiJJdEG88]
[(12.959085, 77.58373299999994)],[ChIJ1fgPb-YVrjsR42XFBwuFZNI]
[(12.95274, 77.60304500000007)],[ChIJl7kMOswVrjsROASYBKCzPFU]
[(12.964321, 77.58053199999995)],[ChIJl045J-IVrjsR2fYX7FQxO_4]
[(12.9626067, 77.57268840000006)],[ChIJVVVVxfwVrjsRACppDnyY_fY]
[(12.9581928, 77.58634940000002)],[ChIJaaWjpN0VrjsRaR3_8IPkx8k]
[(12.9640609, 77.58683719999999)],[ChIJmzD0ud8VrjsReGmxa4Zxxe0]
[(12.958526, 77.58645769999998)],[ChIJ92WiCt0VrjsRGuGFCJnzRF0]
[(12.9589, 77.58166699999992)],[ChIJE8R9PncWrjsRoHIleYd8B7A]
[(12.96092, 77.57990199999995)],[ChIJVVVVxfwVrjsRqHPP2qs1CzQ]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRYDAa5D1GQW8]
[(12.9683035, 77.5289133)],[ChIJedyt6tk9rjsRSymCTcESg40]
[(12.956361, 77.586683)],[ChIJkScvOt0VrjsRoWquZSjBbmY]
[(12.95765, 77.58133999999995)],[ChIJy4pWUOYVrjsR9xVAWURMKxs]
[(12.97381, 77.53589699999998)],[ChIJjaBa4dw9rjsRDzE7OhNC1Ws]
[(12.9800556, 77.61281770000005)],[ChIJrbT-r4gWrjsRWFVhBoJ6--4]
[(12.980391, 77.57701199999997)],[ChIJia8MqBEWrjsRleIC0m1XOzU]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsROE9f57_V9HY]
[(12.9586625, 77.59346210000001)],[ChIJE8R9PncWrjsRbPuFBbx6uhw]
[(12.952012, 77.564299)],[ChIJO3EbevcVrjsRxkjlqUoDZZw]
[(12.964559, 77.57915100000002)],[ChIJGzw2luEVrjsRENhjJIAdmLo]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRwI1KOTE7waI]
[(12.9651091, 77.60991939999997)],[ChIJ6Yw1uy4UrjsRRQfxO1ighLI]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRxt__HSK7YIY]
[(12.964746, 77.59034099999997)],[ChIJoa65Ld8VrjsRr7XWd8mcR1A]
[(12.960311, 77.58206500000006)],[ChIJ_WIWKOcVrjsRLWMy8C_YAKs]
[(12.959242, 77.58979499999998)],[ChIJ2egcfNwVrjsR01p5n3ac6qU]
[(12.9715987, 77.59456269999998)],[ChIJG4-rQAoWrjsR4gtbJPDBBIE]
[(12.958043, 77.58729500000004)],[ChIJQ02iBt0VrjsRZLKbE4FviPA]
[(12.9641618, 77.54207199999996)],[ChIJw8P61OE9rjsRxGP66E0-zh8]
[(12.956135, 77.589114)],[ChIJvXtwQtwVrjsRanU_J4VW0W8]
[(12.96106, 77.52919900000006)],[ChIJwcNOPnc-rjsRnIujMD5nXQU]
[(12.9675161, 77.57197199999996)],[ChIJVVVVlQcWrjsRK6WLFE2Pst0]
[(12.978998, 77.57952499999999)],[ChIJgXaDdegVrjsReI7wAqv7pIM]
[(12.9678, 77.58011699999997)],[ChIJE_FBFgoWrjsRh94-YG5Nzyg]
[(12.9698858, 77.53327960000001)],[ChIJVVVVVdk9rjsRb5DAhLdO8dg]
[(12.9592683, 77.57027760000005)],[ChIJ_4mXnvsVrjsRNOaUxnFkDpY]
[(12.9512169, 77.59531730000003)],[ChIJxwu07sUVrjsRfEnQr4n38HQ]
[(12.962328, 77.58192899999995)],[ChIJE8R9PncWrjsROnAKSnzo-wk]
[(12.958688, 77.55847900000003)],[ChIJV0zEyAM-rjsR8_fjXR5Hub4]
[(12.9676068, 77.5929959)],[ChIJVW2aLnYWrjsRufKRSpQQmaA]
[(12.9571768, 77.53259520000006)],[ChIJ1a1RXXE-rjsRLe90a6i1AkU]
[(12.958342, 77.58828289999997)],[ChIJpXJh-NwVrjsR4-6IiyJ4Zoo]
[(12.955884, 77.54974199999992)],[ChIJS82tmg8-rjsREu27oAqFvOo]
[(12.9594516, 77.56988869999998)],[ChIJe-NjmvsVrjsRJesg-knZGcU]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRdeYymNFCu9c]
[(12.9588301, 77.5860768)],[ChIJ_9sHmd0VrjsRCN4p71Jt6n8]
[(12.9591239, 77.59103920000007)],[ChIJ--nHhdsVrjsRT9uaMJGZOBc]
[(12.960689, 77.58180300000004)],[ChIJq6qq2uYVrjsRStP3mPYa26o]
[(12.9701158, 77.61251270000002)],[ChIJ_zl7l4EWrjsRtcu6TiDhTa8]
[(12.9592451, 77.5890071)],[ChIJBa3gQtwVrjsR1MbOYzPb4LU]
[(12.96923, 77.57309099999998)],[ChIJVVVVlQcWrjsREMazF7RxdH8]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR_LuU2UANBjg]
