[(12.5463868, 77.42465590000006)],[ChIJ-yUFAFZYrjsR6AOftfu422o]
[(12.5942466, 77.05495919999998)],[ChIJ7yU9oCevrzsRldRUmKfuVeA]
[(12.6060821, 78.11847929999999)],[ChIJI1nK6YzNrTsRSABZcIODCc4]
[(12.6414794, 77.4371016)],[ChIJiyFJyKdbrjsRTtQnT4DrizE]
[(12.6422017, 77.44054559999995)],[ChIJR09pOadbrjsRdds58JLdS0I]
[(12.6781467, 77.22712550000006)],[ChIJ6dvIZZ1SrjsRQiEMRzUNhQs]
[(12.6827335, 77.7158958)],[ChIJLz1wZWxlrjsR6KqdpG4zGbM]
[(12.6832358, 77.71303650000004)],[ChIJQ9R-t21lrjsRrqegZFbjU28]
[(12.699088, 77.245136)],[ChIJg-A9HZ9NrjsR5tv1f_g3clE]
[(12.7161194, 77.86973349999994)],[ChIJRft4wGR3rjsRr2X_r5PXs2s]
[(12.7207037, 77.86592129999997)],[ChIJF_34UG93rjsRREK3F-nZGCQ]
[(12.7300971, 77.70858950000002)],[ChIJA8MQaKRvrjsRr5pWGMaLsLo]
[(12.730479, 77.70684499999993)],[ChIJGUzzbaRvrjsRwTov2ooHzhk]
[(12.731112, 77.7078209)],[ChIJizSGFFFurjsRx4D5EJcOmtg]
[(12.7312816, 77.83481770000003)],[ChIJMXymk8pwrjsRuc_51YsPEvs]
[(12.7313349, 77.8302665)],[ChIJK6iCkslwrjsRlMwEE7hfp5w]
[(12.7335289, 77.82571209999992)],[ChIJQbxYmchwrjsR11ZIxA9EhEQ]
[(12.7339789, 77.27872520000005)],[ChIJZReG7y5MrjsRuLYm2sqw7qE]
[(12.735794, 77.82459829999993)],[ChIJzzfR-sVwrjsRkpkFgDtn2vU]
[(12.7357985, 77.8282428)],[ChIJ37Zy1s5wrjsRjJntBbxc7po]
[(12.740628, 77.4815595)],[ChIJX4G2BVdDrjsRNi_goTtiO7w]
[(12.7447013, 77.81442400000003)],[ChIJ2aHb8t1wrjsRMLmOf83sYg8]
[(12.7469025, 77.80617029999996)],[ChIJx7sQouNwrjsRwVbixlZiEnQ]
[(12.7547727, 77.62425740000003)],[ChIJ7X6FshBprjsREI3yL0KKjC8]
[(12.7648862, 77.48848029999999)],[ChIJFWjPh-xDrjsRwJ42_FAjmVU]
[(12.7672932, 77.89072750000003)],[ChIJE5tEY1p2rjsRklI79BTJbdU]
[(12.783574, 77.49635699999999)],[ChIJEZkBtGFBrjsR9bvR6PinCwc]
[(12.783846, 77.75285389999999)],[ChIJJ9RcPPtxrjsR5AH6_j4B2EE]
[(12.787723, 77.4979793)],[ChIJ_2tUsWZBrjsRFmVQLSmP6DA]
[(12.7957133, 77.38482299999998)],[ChIJ_6ta1BhGrjsRhqCFQVtUCrw]
[(12.8021031, 77.85538670000005)],[ChIJnwch8x50rjsRR60Iq3LPCEo]
[(12.8116549, 77.70822999999996)],[ChIJJx6GVchtrjsRjOg8r3kRxDs]
[(12.8122852, 77.70982939999999)],[ChIJ0WT54MdtrjsRht8V2cWevu0]
[(12.8161919, 77.68510689999994)],[ChIJ_____0ZsrjsRtfyRNvnZuc0]
[(12.824166, 77.60746399999994)],[ChIJq1MGLFNqrjsR0C7tAzSDdks]
[(12.8243819, 77.6205837)],[ChIJEUAboKVrrjsR-0bOA6luDJw]5
[(12.8249043, 77.76612820000003)],[ChIJFfiHumlyrjsRVvBcHxtLOSY]
[(12.8251371, 77.51486820000002)],[ChIJl6iwYQBBrjsRB46auSdlsrc]
[(12.82667, 77.55493339999998)],[ChIJ3ZuFnUBqrjsROiCbsHYALpc]
[(12.8282046, 77.58880620000002)],[ChIJtxVqHl9qrjsRD2tSfHuvAxo]
[(12.828343, 77.58799499999998)],[ChIJnbbABJ4VrjsR0iqIIPWQLCg]
[(12.8286441, 77.64776230000007)],[ChIJhWK8_4NrrjsROiB2PvcB_m4]
[(12.8320803, 77.58787239999992)],[ChIJdQ1HhV9qrjsRg_7JRPUSPsc]
[(12.8322367, 77.68231579999997)],[ChIJCyYQMllsrjsRDXv5yY40wYQ]
[(12.8327448, 77.68125770000006)],[ChIJaQUi2V5srjsRen7FNJ0ROhc]
[(12.8333516, 77.51241800000003)],[ChIJEwLrzP5ArjsRlq2KciuI4TU]
[(12.8345022, 77.68359929999997)],[ChIJzVPyv1hsrjsR7cyjgeT-9mU]
[(12.8400582, 77.68627479999998)],[ChIJaUZ7FPdsrjsRsIM6vkRN9hU]
[(12.8411787, 77.66818999999998)],[ChIJx40kMoVsrjsRsjqFw3-oHpY]
[(12.8418178, 77.58670210000002)],[ChIJwSkAmvJqrjsRq3mIlmEiHcQ]
[(12.842039, 77.66330800000003)],[ChIJWdpOv4VsrjsR3o8tIE2KlPI]
[(12.8430611, 77.66292180000005)],[ChIJQ5-6qIVsrjsRpfjceOQTICY]
[(12.8430611, 77.66292180000005)],[ChIJQ5-6qIVsrjsRpfjceOQTICY]2
[(12.8433728, 77.67591479999999)],[ChIJa1VVlQ0VrjsR66wqVBIOwRI]
[(12.843393, 77.66381100000001)],[ChIJL5Hsdf51AjoRU-AfBgtIBZk]
[(12.843566, 77.66385700000001)],[ChIJg3AgnoVsrjsRg2rnuWHZyOc]
[(12.844165, 77.65857400000004)],[ChIJo3rUaINsrjsRrfD2iCOzeos]
[(12.8446228, 77.70222179999996)],[ChIJs98huwNtrjsRAUsHdGIDIww]
[(12.8446732, 77.66324689999999)],[ChIJDzR_61oTrjsREcYqDfRq2Do]
[(12.8448849, 77.58807320000005)],[ChIJtS1Yb-pqrjsRteLbXS2lYOU]
[(12.8448849, 77.58807320000005)],[ChIJtS1Yb-pqrjsRteLbXS2lYOU]8
[(12.8458049, 77.67888399999993)],[ChIJN-g3jPJsrjsROfqCu2XmvoA]
[(12.8470863, 77.42636199999993)],[ChIJ52U9O3VHrjsR9jsDOnO-ys4]
[(12.847298, 77.67126099999996)],[ChIJc8Bi9I9srjsRy2NbANfGxXM]
[(12.8473373, 77.67017499999997)],[ChIJARK9No9srjsRTSNNzeCB1bE]
[(12.8483482, 77.67490799999996)],[ChIJ2aVQv10UrjsRv7kkBXzjm2c]
[(12.8483977, 77.46036079999999)],[ChIJ40hTPEhHrjsRiN_1Thk-VoM]
[(12.8494349, 77.66247120000003)],[ChIJufmWU5psrjsRHJIbTGg2QZI]
[(12.8510196, 77.59350259999997)],[ChIJtS1Yb-pqrjsRpDWpZ-OkwPI]
[(12.8516557, 77.67594910000003)],[ChIJSbktRJNsrjsR2JL7QgrNaPw]0
