[(12.9527584, 77.56990010000004)],[ChIJodk08PAVrjsRuXOuK8c3BUE]
[(12.95691, 77.58223199999998)],[ChIJ88GIqOgVrjsR1Ns09YG-Su0]
[(12.9847845, 77.55570650000004)],[ChIJMyiFg_M9rjsRY3nUVCrNt7M]
[(12.958627, 77.56337499999995)],[ChIJDwAAwPgVrjsRp-jPX4IZvQc]
[(12.9778629, 77.57235070000002)],[ChIJJwRKsRoWrjsRp_pn1YBnGHU]
[(12.9719532, 77.58456679999995)],[ChIJc1fuUwsWrjsRBTZDBOZ-QTk]
[(12.9717886, 77.58478939999998)],[ChIJnQPDUgsWrjsR93l_ffe58l4]
[(12.960255, 77.55221170000004)],[ChIJo4-RbQY-rjsR2BPCMEjta2U]
[(12.9635472, 77.53046389999997)],[ChIJcd4lLXY-rjsRwQah7_IKAco]
[(12.9636295, 77.52347009999994)],[ChIJ7YU_nng-rjsRbn739gmSvgE]
[(12.9524617, 77.58634239999992)],[ChIJDywuXsIVrjsRIpukmA8aWFc]
[(12.9747819, 77.57812680000006)],[ChIJRwfziQ4WrjsRD9cjL7tio6M]
[(12.9719161, 77.52988559999994)],[ChIJtwbLUdo9rjsRqaD359o8Ryo]
[(12.960399, 77.5520497)],[ChIJIcj8bAY-rjsRGOTpS9YLio8]
[(12.9815991, 77.57402330000002)],[ChIJiU1ImBAWrjsRzNlgQ6q4AbM]
[(12.9796356, 77.59071540000002)],[ChIJwcyPDm4WrjsR9UBloIFUSC4]
[(12.9764624, 77.57222060000004)],[ChIJsefrRgUWrjsRpYXao4b4q4E]
[(12.974942, 77.57601499999998)],[ChIJHwVLqg8WrjsRRiA4yJUyzfE]
[(12.9848309, 77.59344220000003)],[ChIJLQYb2GgWrjsRi3EeqhWhcPc]
[(12.9792586, 77.54923810000003)],[ChIJdxfjNO49rjsRN3qIhQnwnd8]
[(12.97335, 77.58015)],[ChIJx16OFgwWrjsRvF6DASBZiVw]
[(12.9818709, 77.57419060000007)],[ChIJ5R0YmRAWrjsRBZ6GsEYtQtg]
[(12.9542391, 77.59282529999996)],[ChIJzSvK58QVrjsR7vjCnZ9tUKs]
[(12.954344, 77.59304900000006)],[ChIJQcpF58QVrjsR8OWTcz55seQ]
[(12.9744822, 77.5772369)],[ChIJ6e77Vw4WrjsRzYGN-vPoInc]
[(12.9818096, 77.59777929999996)],[ChIJYYT5oGUWrjsRvnktX5QBROo]
[(12.9495289, 77.5478091)],[ChIJ7Y5UPHcWrjsRSPm4VuIAYcg]
[(12.9600421, 77.57089289999999)],[ChIJq6qqGuo9rjsRFLMZAxT7Qig]
[(12.9747891, 77.5747083)],[ChIJV8rHnw8WrjsR5xVUnhxZSYw]
[(12.977625, 77.54961090000006)],[ChIJi8hO6O89rjsR1R_Xno1tSiY]
[(12.9517865, 77.588751)],[ChIJhSVbucMVrjsRramIU2W8zJs]
[(12.97587, 77.58717869999998)],[ChIJsxX5-nIWrjsRzq18qZyPVAo]
[(12.9502729, 77.5966181)],[ChIJ6QsSq8gVrjsRT9zGExfshzs]
[(12.9573007, 77.53117470000007)],[ChIJEWLFPHE-rjsRAcjbTaJ5Z4k]
[(12.984085, 77.55413939999994)],[ChIJT1houvM9rjsR1yP9xnCoQvg]
[(12.968421, 77.53748900000005)],[ChIJe11VR949rjsRNrBNK_zgbFA]
[(12.9634558, 77.56025790000001)],[ChIJe3IjRgA-rjsRkz9blLTQEGA]
[(12.9556645, 77.52942759999996)],[ChIJNXVH9nA-rjsRTjUbNofVRUc]
[(12.9754181, 77.54169539999998)],[ChIJa76q0-c9rjsRhrJ67GxkzP8]
[(12.974919, 77.56333700000005)],[ChIJtUCwkgIWrjsRZy9VRbDFQDI]
[(12.972889, 77.58719529999996)],[ChIJ8XuhZHMWrjsR0rI4B8TrvWE]
[(12.9581917, 77.58664909999993)],[ChIJvRITC90VrjsRnquAkpu46Ws]
[(12.9615623, 77.58883029999993)],[ChIJU2UgktkVrjsR8lR_hVxeIFk]
[(12.9640609, 77.58683719999999)],[ChIJmzD0ud8VrjsRiH2_7cyRClo]
[(12.9805966, 77.57478070000002)],[ChIJ4wA7ixAWrjsRFAKbzNwkir0]
[(12.965604, 77.59305700000004)],[ChIJK4Vo89gVrjsReEAu6xzvbcc]
[(12.9778211, 77.55028549999997)],[ChIJX1wy3u89rjsRPtvZrE8kmRU]
[(12.962342, 77.59453899999994)],[ChIJBUsKjtkVrjsRnkeOZlaq_ZY]
[(12.96317, 77.54044599999997)],[ChIJr6qq6go-rjsR4Y8Lxd7QKKY]
[(12.984908, 77.57474179999997)],[ChIJeW1oaxcWrjsRT3UjMGHMnAc]
[(12.950958, 77.567363)],[ChIJ1R9ilvMVrjsRTdWdRWqIIZ0]
[(12.9805432, 77.57165859999998)],[ChIJ__elXhoWrjsRAJflkYDjhG8]
[(12.9782757, 77.59844859999998)],[ChIJfWwbznoWrjsRqqUIXh4F95s]
[(12.9791, 77.54082599999992)],[ChIJhWycyOk9rjsRR4TgbifQAQM]
[(12.9822629, 77.6033883)],[ChIJictGtGMWrjsRlxo1AThVjec]
[(12.972148, 77.5732961)],[ChIJSaY2_wUWrjsRX5SxTCF8_Sw]
[(12.968343, 77.60226599999999)],[ChIJAYaqungWrjsRPw5y2VRpLGU]
[(12.9828236, 77.56395399999997)],[ChIJhbKodx4WrjsR_6criLL0I0s]
[(12.9771128, 77.58874300000002)],[ChIJCe5DF3IWrjsRxyEWs2F2pvM]
[(12.9654632, 77.60147540000003)],[ChIJc7idFdUVrjsRUHTPj3mE_7o]
[(12.9593474, 77.58904370000005)],[ChIJaaWjpN0VrjsRPgpz1DdnwXg]
[(12.960768, 77.58405399999992)],[ChIJOXLATecVrjsRmy6JtS4V7XQ]
[(12.96186, 77.58474309999997)],[ChIJSZ3Hp-AVrjsR9iZO2WRf9DA]
[(12.963776, 77.58578050000006)],[ChIJLbEiM94VrjsRfsQ0uERYIwg]
[(12.9782706, 77.55021039999997)],[ChIJ57MM2e89rjsR9tSHq_xAoSA]
[(12.9598835, 77.58223220000002)],[ChIJE8R9PncWrjsRz_KcK2NuXPY]
[(12.9745095, 77.54601539999999)],[ChIJpQ3jwOU9rjsRzZxGPcFO9aY]
[(12.978317, 77.58783300000005)],[ChIJRwpJgG0WrjsR7P1fdtn1Ju8]
[(12.9566789, 77.593167)],[ChIJ8RBg8VsWrjsR5E2LJUWFVyA]
[(12.9849537, 77.5879913)],[ChIJsUGKnmsWrjsRUQ4ingPZnRw]
[(12.9765944, 77.5992708)],[ChIJuR-1AnsWrjsRE5ANbSRRR3Y]
[(12.9644018, 77.58813209999994)],[ChIJY0D9m9kVrjsR6rVTeEwGz5g]
[(12.9506952, 77.5956218)],[ChIJEQpN-8UVrjsRDK58u6QY2nM]
[(12.9647617, 77.60547159999999)],[ChIJF3r8_NQVrjsRRpt7v2hyfnc]
[(12.969633, 77.58346699999993)],[ChIJj4kuIAsWrjsR6muQcVH8n8A]
[(12.9715987, 77.59456269999998)],[ChIJfZn8aAsWrjsRs4ak2IXa2SA]
[(12.960292, 77.56966699999998)],[ChIJH_OTePwVrjsRdYWKajBK6Fc]
[(12.9514509, 77.56398390000004)],[ChIJl2UEuX8WrjsRheCrv5NjI68]
[(12.953657, 77.57791099999997)],[ChIJrXN8P-8VrjsRAe5X_l0zoEw]
[(12.960539, 77.52887899999996)],[ChIJhYKXcnc-rjsRlhwtjuVUt18]
[(12.959165, 77.582401)],[ChIJN0X7G-cVrjsRI5PCgsRmbGQ]
[(12.968363, 77.58459700000003)],[ChIJMVnHywoWrjsRjV6PmRh-Pcs]
[(12.9655305, 77.58678229999998)],[ChIJqyoigt8VrjsRkyJdZBHlBp0]
[(12.9536066, 77.580109)],[ChIJu8KBVO0VrjsRQTP8L1skE90]
[(12.9828059, 77.55433549999998)],[ChIJ4RRr2_M9rjsR9aup5u7otug]
[(12.970026, 77.58355000000006)],[ChIJRfH2IgsWrjsRNG3mOv15MsQ]
[(12.959543, 77.58395700000005)],[ChIJOfCkP-cVrjsR_hQsDAPyM7M]
[(12.958176, 77.588709)],[ChIJ1e3q9twVrjsRk1xD0kseVQA]
[(12.9767352, 77.57194479999998)],[ChIJE8R9PncWrjsR3cUWhlPdN5s]
[(12.9559503, 77.58671149999998)],[ChIJ3ZtHMd0VrjsRoZkmtz2lzN0]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRCL1Nt3Kvdss]
[(12.9698964, 77.53263379999999)],[ChIJg51F8-A9rjsRuvYzUcKByAQ]
[(12.9751439, 77.60402479999993)],[ChIJERmzRXwWrjsR14ehQxMzUfs]
[(12.949476, 77.537056)],[ChIJ128J72w-rjsRuUbBJxDcWWg]
[(12.9600009, 77.60489929999994)],[ChIJw5jbMdIVrjsR0pLVWdfA-F8]
[(12.9508, 77.53879299999994)],[ChIJyQ5mLG0-rjsRvX7NGNh2GHE]
[(12.984909, 77.602262)],[ChIJU7qEU2EWrjsRA8H69-yX4xE]
[(12.969896, 77.57174299999997)],[ChIJOcLCRgYWrjsRP3oYIwwRqaI]
