[(12.971852, 77.59652440000002)],[ChIJZ6NQWXcWrjsRIQfjg68ZeSo]
[(12.9700699, 77.60963270000002)],[ChIJM6hPW4AWrjsRm-i4llylaDQ]
[(12.9708672, 77.5984535)],[ChIJ_1UDsHkWrjsRXpHS5oDKufg]
[(12.9749419, 77.60550650000005)],[ChIJeRGxt30WrjsR7XGatpcHsbM]
[(12.9700365, 77.58397109999999)],[ChIJ____JAsWrjsRUrht5SBpDSw]
[(12.9715573, 77.59595609999997)],[ChIJYd07NHcWrjsRYm5lefs6MO0]
[(12.974844, 77.60770920000004)],[ChIJzYl59X0WrjsRN3RYyOI1qY8]
[(12.978147, 77.57708309999998)],[ChIJBUMRrSIWrjsR8J24gWDP_wg]
[(12.9718091, 77.5955414)],[ChIJr4P4XncWrjsRmEjLw11H9B0]
[(12.9548148, 77.58277739999994)],[ChIJ5zOJcOgVrjsRDkJnuDS0VoE]
[(12.9700178, 77.60983599999997)],[ChIJhTrzWoAWrjsRW39BU1S8Ysw]
[(12.9696591, 77.60981019999997)],[ChIJt7tgRYAWrjsRIWboYvgKcl4]
[(12.9703993, 77.60869100000002)],[ChIJpaudY4AWrjsRXBvnZwxeGVU]
[(12.9702711, 77.6097436)],[ChIJY1SyW4AWrjsRup1HNFPqAno]
[(12.95931, 77.59197199999994)],[ChIJjfv2l9sVrjsRw9Qp3lDCanA]
[(12.9745059, 77.60764979999999)],[ChIJqRUL9n0WrjsRQi9_NuBWVRk]
[(12.9794592, 77.55355980000002)],[ChIJ8euVAfE9rjsRUa6rhnSEHDw]
[(12.970383, 77.53748300000007)],[ChIJUels3t09rjsRh1W_-82tqqI]
[(12.9714253, 77.60706909999999)],[ChIJiYEgBH4WrjsRVVnoiUyyvAY]
[(12.9732863, 77.61122520000004)],[ChIJG294LoEWrjsR8Opfw2mWwu8]
[(12.9706175, 77.57770310000001)],[ChIJAQAAwAsWrjsR5PCbsVsrFdY]
[(12.973924, 77.607211)],[ChIJ9Y5SYIcWrjsRcSh3bo9JpSQ]
[(12.9716101, 77.5964242)],[ChIJAesDvHcWrjsRhDEeF1B8l1M]
[(12.9716451, 77.59633159999998)],[ChIJAesDvHcWrjsR0CEhj9MjRlc]
[(12.9714994, 77.59610010000006)],[ChIJh_GyQ3cWrjsRXF6AeWNPi5k]
[(12.9717255, 77.59614569999997)],[ChIJAesDvHcWrjsRGG95dKjutn0]
[(12.9732667, 77.58011549999992)],[ChIJn_KTFgwWrjsR-ZX_ixgfxys]
[(12.9698453, 77.60999140000001)],[ChIJySGqU4AWrjsRydKnu2Key6Y]
[(12.982013, 77.60840400000006)],[ChIJVaLJ0okWrjsRR6qnfqGWS1Q]
[(12.954077, 77.52411949999998)],[ChIJBWJTGHs-rjsR47u8WyJ8i24]
[(12.968817, 77.57915000000003)],[ChIJb-jeKQoWrjsRUGawPkv7W9w]
[(12.9745205, 77.60779969999999)],[ChIJI8mrWIcWrjsR3riSUOV2-sE]
[(12.97143, 77.59636079999996)],[ChIJiekDvHcWrjsRMMx38We8AaU]
[(12.9696295, 77.60687989999997)],[ChIJ9WwXCoAWrjsRsk-mV91LkQc]
[(12.9718565, 77.59613509999997)],[ChIJXdHUXncWrjsRoVKLIKYKsZo]
[(12.962804, 77.60505)],[ChIJ74IJf9QVrjsRI-HWS2CYrLc]
[(12.9644124, 77.55345050000005)],[ChIJhfCTdwc-rjsRrmbNDUigaZM]
[(12.9585439, 77.58775689999993)],[ChIJB1IpVdwVrjsR7YYsyO_9yBk]
[(12.968067, 77.578033)],[ChIJOW22-ggWrjsRM4l2T7JxFko]
[(12.9801093, 77.55651080000007)],[ChIJz7UX0vY9rjsRoHCyM3NMGBk]
[(12.974481, 77.57821799999999)],[ChIJg_jZjg4WrjsRxFMjOcvmKno]
[(12.9698882, 77.60999919999995)],[ChIJ9QR2T4AWrjsRxWEwrdBIkfQ]
[(12.9746889, 77.60773369999993)],[ChIJyzaE9X0WrjsRrIXVwrxe3qI]
[(12.9498143, 77.59605829999998)],[ChIJx-WiA8YVrjsRIb4vC2rSql4]
[(12.95845, 77.54611699999998)],[ChIJdeoQuA4-rjsRh9mV1VOVt2k]
[(12.9843434, 77.5826035)],[ChIJYSy2exQWrjsRfyZ9MHMFxR8]
[(12.974702, 77.60832800000003)],[ChIJlVo5T3wWrjsRKCTLkkDahMk]
[(12.9700602, 77.61045319999994)],[ChIJly5LW4AWrjsREr9ugFGYxag]
[(12.9672245, 77.60637139999994)],[ChIJu0F_XdUVrjsRSNQgXjzZiSY]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRWUA4Gsl3QCI]
[(12.9755329, 77.603117)],[ChIJZwnQgHsWrjsRrOB4Jn7B-Vs]
[(12.9823662, 77.60609420000003)],[ChIJ9xldXGIWrjsRb-3EyQ_Y_WI]
[(12.965759, 77.57655299999999)],[ChIJH7CNfOIVrjsRqU3DSmog-48]
[(12.9699508, 77.61002010000004)],[ChIJQUBmRYAWrjsR8FxW2xVAYew]
[(12.9674628, 77.58186990000002)],[ChIJWYBTYgoWrjsRXpa5cP4U6Js]
[(12.9571968, 77.58157340000002)],[ChIJtdKLTuYVrjsRSzzRauvOr1E]
[(12.9707405, 77.53701249999995)],[ChIJoxnV2t09rjsRr90LciCRW7A]
[(12.966179, 77.60569399999997)],[ChIJLy2OEtUVrjsRPgfFg7Z3ys4]
[(12.971407, 77.59652219999998)],[ChIJR2rXXXcWrjsRjw0hWbFu3EU]
[(12.9764063, 77.58056850000003)],[ChIJq6qqTgMWrjsRzEFSsxIxWas]
[(12.9706032, 77.53693610000005)],[ChIJXYMZ_N49rjsRIzeA1bBNX5c]
[(12.959715, 77.58959200000004)],[ChIJOwWKbNwVrjsRI851Rw9b7tc]
[(12.9541268, 77.58213939999996)],[ChIJYUSjYegVrjsR2_npUPcKGPk]
[(12.9849815, 77.55334399999992)],[ChIJ_____4w9rjsRpHPbM4vbNco]
[(12.9730115, 77.6073384)],[ChIJCR1ABH4WrjsRZqYPRBA4_yo]
[(12.9721241, 77.60780369999998)],[ChIJezZqpYAWrjsRR601OXzVXE4]
[(12.973581, 77.6075174)],[ChIJKa3bM34WrjsRCSs_jrGkggA]
[(12.9706869, 77.53701790000002)],[ChIJa_vd2t09rjsR7ZcTDAuWNiI]
[(12.970322, 77.60953100000006)],[ChIJUUETRYAWrjsRlEst61prZhU]
[(12.979317, 77.60694999999998)],[ChIJ9dpTfWMWrjsR6U6ckLZXDc8]
[(12.981641, 77.61019299999998)],[ChIJVZrnUIgWrjsRCgXFfqu_YAg]
[(12.9700602, 77.61045319999994)],[ChIJA_aTRIAWrjsRVmfQ4uOImvs]
[(12.949827, 77.56202800000005)],[ChIJbzNR2vIVrjsRqmUtQrTobJ4]
[(12.9851158, 77.55563380000001)],[ChIJFyJ6ePM9rjsRMtjSTgOIEUQ]
[(12.971383, 77.59590000000003)],[ChIJbQI8Z3cWrjsRwXz989YJoXc]
[(12.9594578, 77.56738189999999)],[ChIJqQfsWfkVrjsRzwpIY6zz3jk]
[(12.9698792, 77.57531849999998)],[ChIJyYo47ggWrjsRGkGvCOlGP5s]
[(12.9729979, 77.5749035)],[ChIJy7BePw8WrjsR928yFTDqnUY]
[(12.975477, 77.5757959)],[ChIJ_XEasg8WrjsRBkLROfbJ060]
[(12.9701327, 77.57964219999997)],[ChIJG2Za2gsWrjsR4aqbaCj3CnA]
[(12.9702009, 77.60990149999998)],[ChIJUyuEWoAWrjsRteQPkZaeayE]
[(12.9547691, 77.52304359999994)],[ChIJTdKuc3s-rjsRp2mzBFe7oUs]
[(12.971846, 77.59589900000003)],[ChIJgQgKXHcWrjsR3T9b6ZiC14s]
[(12.969013, 77.57980599999996)],[ChIJu2sDwwsWrjsRBzD_ntljKCs]
[(12.9849815, 77.55334399999992)],[ChIJE8R9PncWrjsRgk_fmAeN_ks]
[(12.9735134, 77.60735499999998)],[ChIJx7Dv_X0WrjsR_0RSGZ8RMJo]
[(12.970276, 77.60972909999998)],[ChIJNWqxW4AWrjsRdvLQFokz-Ww]
[(12.9701259, 77.61040530000002)],[ChIJK8WoSIAWrjsRPZ4nbyZbbns]
[(12.9816634, 77.60970299999997)],[ChIJ1Xe1NIgWrjsRHnNSIiiFuaE]
[(12.9692975, 77.57641379999995)],[ChIJVVVVKQ8WrjsR4OLZ1aLBuuk]
[(12.9716706, 77.59630459999994)],[ChIJjfOyQ3cWrjsRuqr7nsmsZuQ]
[(12.9736021, 77.60706110000001)],[ChIJSYzU4n0WrjsRWaNAzsf23D0]
[(12.973203, 77.60734100000002)],[ChIJD_4zBn4WrjsR5OGIWpwZHTI]
[(12.970835, 77.57527000000005)],[ChIJnW70wwgWrjsRbR-kwybY8GE]
[(12.971771, 77.61277199999995)],[ChIJNSWm9hAUrjsRuCepbYT4nrI]
[(12.9820202, 77.61063869999998)],[ChIJjZd5EdNxBRERdvBOj7bWKSc]
[(12.9709797, 77.59628550000002)],[ChIJt242Vg0WrjsRloyaaxQMXfw]
[(12.9716422, 77.59619369999996)],[ChIJAQCQ4XgWrjsRwG8wAK81kGg]
[(12.9639768, 77.60421789999998)],[ChIJxTs2W9QVrjsRStKzgmS_yJ0]
[(12.981758, 77.59941600000002)],[ChIJ12VO82QWrjsRvhpWq3qUvEg]
[(12.9659838, 77.59251100000006)],[ChIJbyDFk9gVrjsRnIXBTj24zZw]
[(12.9702794, 77.61101439999993)],[ChIJHetFcYMWrjsRbuak0coQJmA]
[(12.9745888, 77.60766560000002)],[ChIJ5VDE9X0WrjsRMgdEeIIf9Eg]
[(12.9584214, 77.56064679999997)],[ChIJA8XcagI-rjsRM_FTcuTm5wA]
[(12.9763629, 77.52610900000002)],[ChIJFbzYwc89rjsR740JapbYcTU]
[(12.976438, 77.57899399999997)],[ChIJ2XHmCg4WrjsRegYy_byvjFo]
[(12.9701175, 77.60996539999996)],[ChIJT6xsT4AWrjsR905-0VyTPXU]
[(12.9761822, 77.52609189999998)],[ChIJHVQJws89rjsR_VWu-XPOND4]
[(12.965579, 77.53638000000001)],[ChIJqX7lnt89rjsR3zTHmBrUhBU]
[(12.9544783, 77.6118897)],[ChIJdxH3SDIUrjsR1eq8hDvMJXA]
[(12.9715964, 77.53732029999992)],[ChIJ801Sx909rjsRJ-ohCwzycAk]
[(12.9482231, 77.55089299999997)],[ChIJkTMWAho-rjsRq-oS75YcOCo]
[(12.966359, 77.58068100000003)],[ChIJL4ez3-EVrjsRSMs7W3ZnOME]
[(12.9651547, 77.57946549999997)],[ChIJsxeZ9OEVrjsRtIHJx6gp6d8]
[(12.9736212, 77.60751249999998)],[ChIJ9wB3_n0WrjsRpzHQ6bx1OtE]
[(12.9852337, 77.60685050000006)],[ChIJUZjptmEWrjsR6kAtWsy_vuc]
[(12.9802, 77.60466700000006)],[ChIJ9dpTfWMWrjsRwsuDsq9D9fY]
[(12.9344947, 77.61109859999999)],[ChIJQcuviE0UrjsRCgSy9X7fLWA]
[(13.0454027, 77.62685780000004)],[ChIJHd-K42gXrjsRgAvPZs1EH3I]
[(12.888088, 77.59737500000006)],[ChIJH1Bu9i8VrjsRcqZOJPeezBc]
[(13.0115716, 77.55511449999995)],[ChIJ1dBBp3g9rjsRaQN4aWJKrVQ]
[(12.9343228, 77.61097100000006)],[ChIJk6Uehk0UrjsRoO5Hkkwi01o]
[(12.9302341, 77.55315389999998)],[ChIJe17YIy4-rjsRgEes049FVWU]
[(12.9973603, 77.69656239999995)],[ChIJp-fV_woRrjsREjVRdliemgo]
[(12.9921071, 77.57112619999998)],[ChIJnbcSBSMWrjsRy0893XqctiI]
[(12.988781, 77.54517699999997)],[ChIJDXXyXZM9rjsRcHxX9khw1XI]
[(12.9570224, 77.69767649999994)],[ChIJcfnKwMwTrjsRawvyj0ye-XU]
[(12.9271319, 77.55090270000005)],[ChIJyd-qJi4-rjsRm7ctO71hzPY]
[(12.916831, 77.6515723)],[ChIJNcMvOIIUrjsRZQW4h2mjlM8]
[(12.9699512, 77.64105689999997)],[ChIJv7Up8qcWrjsRXVBn3NTwetA]
[(12.9742311, 77.64117779999992)],[ChIJT44HOqYWrjsRCvlHG0WfYA4]
[(12.9345852, 77.61124280000001)],[ChIJtZnSmk0UrjsRQFncVWlJDKQ]
[(12.996549, 77.69677000000001)],[ChIJyxfT4woRrjsRVjJu_ROcvhA]
[(12.9162556, 77.59232099999997)],[ChIJF_WzNAkVrjsRDVJillVk4kI]
[(12.9792795, 77.7288562)],[ChIJXf40TfERrjsRyXznZ7Dizbs]
