[(12.972537, 77.59477500000003)],[ChIJSWBhxHkWrjsRK6iI2w8G5yE]
[(12.9706607, 77.60705189999999)],[ChIJC3joyH8WrjsRz8jAiMJGv3o]
[(12.9669771, 77.60805929999992)],[ChIJ03xVrSoUrjsRfYzAUhym4eY]
[(12.9761018, 77.6014841)],[ChIJ3f5vgnsWrjsRhDkIjzW274o]
[(12.9679108, 77.60713910000004)],[ChIJf9j-qyoUrjsRDfrYFyNGTmk]
[(12.971721, 77.59620919999998)],[ChIJLbvFWncWrjsRK3OoAW6k2us]
[(12.9755069, 77.60315549999996)],[ChIJ18U2W3wWrjsRXUOJYodYW24]
[(12.9732864, 77.60755889999996)],[ChIJq8At_30WrjsR43V2C56B2ZI]
[(12.9752031, 77.60343809999995)],[ChIJO-UQI3kWrjsRnZ2KmXtPCn4]
[(12.9805467, 77.60468330000003)],[ChIJp3EfImMWrjsRZefcMAeoskA]
[(12.973175, 77.60355400000003)],[ChIJhUwCoH4WrjsRXHFQjoJQxzQ]
[(12.9718487, 77.5985968)],[ChIJTWDVw3kWrjsRNHolmSx5oH0]
[(12.9719225, 77.59654180000007)],[ChIJ897J43kWrjsRwLzr4oSg67c]
[(12.9722822, 77.6007194)],[ChIJwQDFQnkWrjsR_fsYqDBlfhE]
[(12.9700973, 77.60997780000002)],[ChIJmdLFT4AWrjsRWSNT7lYC6UI]
[(12.974729, 77.609375)],[ChIJg6puU4EWrjsRelRlbD_1W8M]
[(12.9740125, 77.60919100000001)],[ChIJQyR2mXgWrjsR6kw60G63qBQ]
[(12.9788, 77.58477500000004)],[ChIJ9wbLIEUUrjsR7b3xEAvDuRI]
[(12.9671346, 77.61057370000003)],[ChIJ_dGBYioUrjsRks-lH2IUyRA]
[(12.9722741, 77.59630779999998)],[ChIJTdYKDoQWrjsRLeQyK3KdLuY]
[(12.9757732, 77.60147410000002)],[ChIJiUM0g3sWrjsRCjn7KPYh3gk]
[(12.9746886, 77.60489480000001)],[ChIJA9KeyX0WrjsR8RauoXdeE6U]
[(12.975702, 77.60608400000001)],[ChIJ24Ofo30WrjsRdupyJ9JGkkQ]
[(12.9678719, 77.57633680000004)],[ChIJcR7CGkAWrjsR_a5JzwnACwM]
[(12.9649063, 77.57592090000003)],[ChIJKTMkruIVrjsRj9qj4EAWzFg]
[(12.9765944, 77.5992708)],[ChIJT0IqcHwWrjsRSteRnPiuTE8]
[(12.9751703, 77.60288029999992)],[ChIJQVDLb3wWrjsRpCDMziIisxI]
[(12.9675046, 77.5999842)],[ChIJFwEGnXgWrjsRLXLUNIizrOU]
[(12.965787, 77.60154399999999)],[ChIJS-1vcdYVrjsRT7aJBOg0rCQ]
[(12.9752296, 77.60361650000004)],[ChIJlVo5T3wWrjsRUyNXkqtWdUc]
[(12.970161, 77.61049100000002)],[ChIJp0WLUoAWrjsRQWDXqIy5DOQ]
[(12.9747104, 77.60530040000003)],[ChIJIXozxn0WrjsRC6_KERKdlC8]
[(12.9789554, 77.57483760000002)],[ChIJVVVVhVkYrjsR-0U7Afyn31U]
[(12.9620952, 77.60153839999998)],[ChIJyw5SrNYVrjsRXN47ziaWwVs]
[(12.9641575, 77.59707530000003)],[ChIJ_8r9eNcVrjsRY4McvhVMxbU]
[(12.97533, 77.60527000000002)],[ChIJT75Lln0WrjsRCKw_UkS9KN0]
[(12.9733143, 77.60726219999992)],[ChIJ5-ghBH4WrjsRoJvj9oCdTOY]
[(12.9754143, 77.60465739999995)],[ChIJzf6cRHwWrjsRQm1GV1hiX40]
[(12.9717481, 77.59556090000001)],[ChIJseWiRHcWrjsRS3hDtTP1PkA]
[(12.972254, 77.59623399999998)],[ChIJlecISncWrjsRs8SRXcG8h10]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR6OvDTI87qSY]
[(12.9750903, 77.60723519999999)],[ChIJLU6lP4cWrjsRitlmY9AAQyo]
[(12.9743231, 77.60988780000002)],[ChIJo8C5O4cWrjsRg_3sg4NY_-4]
[(12.9650148, 77.6066485)],[ChIJlQ5fE9gVrjsRG8SbPkSaFhk]
[(12.9711506, 77.60583050000002)],[ChIJfcxFPn4WrjsRUXHy1gqE98U]
[(12.9733428, 77.60933069999999)],[ChIJQyR2mXgWrjsR4iWNXMEmrU0]
[(12.9709183, 77.6050841)],[ChIJYYdmVn4WrjsR2I6zIowKbVY]
[(12.964505, 77.60649799999999)],[ChIJs07I3dQVrjsRBWhAnpCFJd8]
[(12.954469, 77.57873199999995)],[ChIJV_zvUe8VrjsRAiF6stA7NMY]
[(12.9826485, 77.6028844)],[ChIJi6r1mGMWrjsR2_oFUGB_B7I]
[(12.9746743, 77.60488459999999)],[ChIJiTJmSnwWrjsRGfHDbgBkamc]
[(12.9717691, 77.59609799999998)],[ChIJbQI8Z3cWrjsRINCtdIXs7GM]
[(12.9676163, 77.60316779999994)],[ChIJ08gsRH4WrjsRMWOaE5SYZNA]
[(12.9680261, 77.60721269999999)],[ChIJf9j-qyoUrjsR-z3DNR-xhqs]
[(12.9668425, 77.59602530000006)],[ChIJWaqTCNgVrjsR7xWS1DoEvM0]
[(12.971386, 77.59799099999998)],[ChIJJfHwvnkWrjsR_KLXfuFyGPI]
